game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,oscorer,gametype
CLE195406202,"""version 7RS(19) of 07/07/92""",BOS,CLE,1954/06/20,CLE07,2,0:00PM,day,false,stevj901,romme101,nappl901,flahr901,"""  Indians""","""Jim Herdman""","""Jim Herdman""",1997/04/20 10:53AM,park,none,0,unknown,-1,unknown,unknown,unknown,127,36751,houta101,nixow101,,,,
CLE195406220,"""version 7RS(19) of 07/07/92""",PHA,CLE,1954/06/22,CLE07,0,0:00PM,night,false,honoj901,mcgob901,papaj901,chyln901,"""  Indians""","""Jim Herdman""","""Jim Herdman""",1997/07/27 8:17AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,148,12964,simaa101,wynne101,dixos101,,,
CLE195406230,"""version 7RS(19) of 07/07/92""",PHA,CLE,1954/06/23,CLE07,0,0:00PM,day,false,mcgob901,papaj901,chyln901,honoj901,"""  Indians""","""Jim Herdman""","""Jim Herdman""",1997/07/27 8:39AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,112,4549,lemob101,tricb101,,,,
CLE195406240,"""version 7RS(19) of 07/07/92""",PHA,CLE,1954/06/24,CLE07,0,0:00PM,day,false,papaj901,chyln901,honoj901,mcgob901,"""  Indians""","""Jim Herdman""","""Jim Herdman""",1997/07/27 11:09AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,134,4570,porta101,houta101,,,,
CLE195406250,"""version 7RS(19) of 07/07/92""",NYA,CLE,1954/06/25,CLE07,0,0:00PM,night,false,chyln901,honoj901,mcgob901,papaj901,"""  Indians""","""Jim Herdman""","""Jim Herdman""",1997/07/27 11:55AM,park,none,0,unknown,-1,unknown,unknown,unknown,172,49808,reyna102,garcm101,,,,
CLE195406260,"""version 7RS(19) of 07/07/92""",NYA,CLE,1954/06/26,CLE07,0,0:00PM,night,false,honoj901,mcgob901,papaj901,chyln901,"""  Indians""","""Jim Herdman""","""Jim Herdman""",1997/07/31 5:55AM,park,none,0,unknown,-1,unknown,unknown,unknown,173,46192,sainj101,wynne101,,,,
CLE195406270,"""version 7RS(19) of 07/07/92""",NYA,CLE,1954/06/27,CLE07,0,0:00PM,day,false,mcgob901,papaj901,chyln901,honoj901,"""  Indians""","""Jim Herdman""","""Jim Herdman""",1997/07/31 9:27PM,park,none,0,unknown,-1,unknown,unknown,unknown,174,47782,newhh101,fordw101,garcm101,,,
CLE195407021,"""version 7RS(19) of 07/07/92""",CHA,CLE,1954/07/02,CLE07,1,0:00PM,day,false,nappl901,flahr901,stevj901,romme101,"""  CHA -- CLE""","""Jim Herdman""","""Jim Herdman""",1997/08/01 5:36AM,park,none,0,unknown,-1,unknown,unknown,unknown,128,0,fellb101,trucv101,,,,
CLE195407022,"""version 7RS(19) of 07/07/92""",CHA,CLE,1954/07/02,CLE07,2,0:00PM,night,false,flahr901,stevj901,romme101,nappl901,"""  CHA -- CLE""","""Jim Herdman""","""Jim Herdman""",1997/08/01 6:00AM,park,none,0,unknown,-1,unknown,unknown,unknown,162,48331,wynne101,johnd102,,,,
CLE195407030,"""version 7RS(19) of 07/07/92""",CHA,CLE,1954/07/03,CLE07,0,0:00PM,night,false,stevj901,romme101,nappl901,flahr901,"""  CHA -- CLE""","""Jim Herdman""","""Jim Herdman""",1997/07/20 10:02AM,park,none,0,unknown,-1,unknown,unknown,unknown,239,27704,newhh101,harsj101,,,,
CLE195407040,"""version 7RS(19) of 07/07/92""",CHA,CLE,1954/07/04,CLE07,0,0:00PM,day,false,romme101,nappl901,flahr901,stevj901,"""  CHA -- CLE""","""Jim Herdman""","""Jim Herdman""",1997/07/27 3:10PM,park,none,0,unknown,-1,unknown,unknown,unknown,145,26842,narlr101,keegb101,wynne101,,,
CLE195407060,"""version 7RS(19) of 07/07/92""",BAL,CLE,1954/07/06,CLE07,0,0:00PM,night,false,stevj901,romme101,nappl901,flahr901,"""  BAL -- CLE""","""Jim Herdman""","""Jim Herdman""",1997/01/05 6:21PM,park,none,0,unknown,-1,unknown,unknown,unknown,120,11442,wynne101,colej101,,,,
CLE195407070,"""version 7RS(19) of 07/07/92""",BAL,CLE,1954/07/07,CLE07,0,0:00PM,night,false,romme101,nappl901,flahr901,stevj901,"""  Indians""","""Jim Herdman""","""Jim Herdman""",1997/01/05 7:17PM,park,none,0,unknown,-1,unknown,unknown,unknown,124,10854,garcm101,turlb101,narlr101,,,
CLE195407080,"""version 7RS(19) of 07/07/92""",BAL,CLE,1954/07/08,CLE07,0,0:00PM,day,false,nappl901,flahr901,stevj901,romme101,"""  BAL -- CLE""","""Jim Herdman""","""Jim Herdman""",1997/01/05 8:09PM,park,none,0,unknown,-1,unknown,unknown,unknown,126,8746,fellb101,kretl101,,,,
