rank,team,curr_year,last_3,last_1,home,away,prev_year
1,BOS,0.347,0.278,0.316,0.365,0.33,0.325
2,CHN,0.339,0.369,0.4,0.34,0.338,0.319
3,COL,0.336,0.342,0.378,0.369,0.302,0.315
4,PIT,0.332,0.259,0.333,0.344,0.322,0.323
5,DET,0.331,0.284,0.188,0.338,0.324,0.328
6,SFN,0.328,0.295,0.342,0.347,0.309,0.326
7,TOR,0.327,0.279,0.194,0.339,0.317,0.338
8,SEA,0.326,0.296,0.212,0.33,0.323,0.311
9,WAS,0.326,0.358,0.39,0.326,0.326,0.321
10,CLE,0.326,0.298,0.326,0.354,0.297,0.325
11,SLN,0.325,0.372,0.381,0.321,0.329,0.32
12,MIL,0.322,0.311,0.341,0.325,0.32,0.307
13,MIA,0.322,0.342,0.415,0.31,0.333,0.31
14,ANA,0.322,0.299,0.385,0.317,0.326,0.307
15,ATL,0.321,0.273,0.233,0.328,0.313,0.314
16,ARI,0.32,0.34,0.343,0.328,0.313,0.324
17,TEX,0.32,0.255,0.211,0.343,0.298,0.323
18,HOU,0.319,0.3,0.235,0.311,0.326,0.315
19,LAN,0.319,0.265,0.111,0.323,0.315,0.325
20,CHA,0.317,0.294,0.289,0.323,0.311,0.306
21,MIN,0.316,0.292,0.341,0.313,0.32,0.305
22,CIN,0.316,0.296,0.278,0.324,0.308,0.312
23,BAL,0.316,0.239,0.132,0.324,0.308,0.307
24,NYN,0.315,0.288,0.188,0.316,0.315,0.31
25,NYA,0.315,0.327,0.297,0.322,0.307,0.322
26,KCA,0.312,0.23,0.219,0.323,0.302,0.321
27,TBA,0.307,0.25,0.348,0.301,0.313,0.314
28,OAK,0.304,0.313,0.314,0.291,0.316,0.312
29,PHI,0.301,0.28,0.333,0.291,0.31,0.303
30,SDN,0.299,0.279,0.212,0.308,0.29,0.3
