game_id,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,howscored,pitches,oscorer,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save
OAK201604040,CHA,OAK,OAK01,2016/04/04,0,7:07PM,night,true,hallt901,cuzzp901,belld901,morag901,park,pitches,dybdc701,65,torf,5,unknown,unknown,sunny,176,35067,salec001,hillr001,robed002
OAK201604050,CHA,OAK,OAK01,2016/04/05,0,7:08PM,night,true,cuzzp901,belld901,morag901,hallt901,park,pitches,feldd701,70,torf,8,unknown,unknown,cloudy,208,10478,jonen001,dools001,robed002
OAK201604060,CHA,OAK,OAK01,2016/04/06,0,7:09PM,night,true,belld901,morag901,hallt901,cuzzp901,park,pitches,feldd701,83,unknown,0,unknown,unknown,cloudy,174,16468,grays001,rodoc001,madsr001
OAK201604070,CHA,OAK,OAK01,2016/04/07,0,12:37PM,day,true,morag901,hallt901,cuzzp901,belld901,park,pitches,dybdc701,69,torf,10,unknown,unknown,overcast,186,12577,latom001,gravk001,
OAK201604110,ANA,OAK,OAK01,2016/04/11,0,7:07PM,night,true,vanol901,marqa901,guccc901,rackd901,park,pitches,thomc701,63,torf,11,unknown,unknown,cloudy,185,13371,tropn001,grays001,streh001
OAK201604120,ANA,OAK,OAK01,2016/04/12,0,7:07PM,night,true,marqa901,guccc901,rackd901,vanol901,park,pitches,thomc701,58,torf,13,unknown,unknown,overcast,161,13492,morim002,dools001,streh001
OAK201604130,ANA,OAK,OAK01,2016/04/13,0,12:37PM,day,true,guccc901,rackd901,vanol901,marqa901,park,pitches,dybdc701,63,torf,11,unknown,unknown,cloudy,183,11216,shoem001,surke001,
OAK201604150,KCA,OAK,OAK01,2016/04/15,0,7:07PM,night,true,dimum901,wolcq901,gormb901,carlm901,park,pitches,younj701,65,fromlf,12,unknown,unknown,sunny,195,19451,volqe001,hillr001,daviw001
OAK201604160,KCA,OAK,OAK01,2016/04/16,0,1:07PM,day,true,wolcq901,gormb901,carlm901,dimum901,park,pitches,thomc701,70,torf,7,unknown,unknown,cloudy,182,25564,grays001,younc003,madsr001
OAK201604170,KCA,OAK,OAK01,2016/04/17,0,1:07PM,day,true,gormb901,carlm901,dimum901,wolcq901,park,pitches,younj701,70,torf,5,unknown,unknown,sunny,157,29668,axfoj001,sorij001,madsr001
OAK201604290,HOU,OAK,OAK01,2016/04/29,0,7:07PM,night,true,hobep901,knigb901,ticht901,millb901,park,pitches,dybdc701,63,torf,17,unknown,unknown,cloudy,193,20159,madsr001,sippt001,
OAK201604300,HOU,OAK,OAK01,2016/04/30,0,1:07PM,day,true,knigb901,ticht901,millb901,hobep901,park,pitches,santa701,70,tolf,15,unknown,unknown,sunny,147,23084,hahnj001,devec001,madsr001
