game_id,hometeam,visteam,home_first_inning_runs,visiting_first_inning_runs,wp,lp,winner,loser,home_final_score,visiting_final_score
ANA202304070,ANA,TOR,2,0,bassc001,hergj001,TOR,ANA,3,4
ANA202304080,ANA,TOR,0,0,barrj003,berrj001,ANA,TOR,9,5
ANA202304090,ANA,TOR,3,0,romaj004,estec001,TOR,ANA,11,12
ANA202304100,ANA,WAS,2,0,corbp001,davit005,WAS,ANA,4,6
ANA202304110,ANA,WAS,0,0,ohtas001,grayj004,ANA,WAS,2,0
ANA202304120,ANA,WAS,0,0,moorm003,thomm005,ANA,WAS,3,2
ANA202304210,ANA,KCA,0,0,ohtas001,yarbr001,ANA,KCA,2,0
ANA202304220,ANA,KCA,0,0,cuasj001,quijj001,KCA,ANA,8,11
ANA202304230,ANA,KCA,1,1,warra003,lylej001,ANA,KCA,4,3
ANA202304240,ANA,OAK,0,2,ollea001,barrj003,OAK,ANA,10,11
ANA202304250,ANA,OAK,4,1,canng001,millm004,ANA,OAK,5,3
ANA202304260,ANA,OAK,0,1,sandp002,medil002,ANA,OAK,11,3
ANA202304270,ANA,OAK,0,0,ohtas001,searj001,ANA,OAK,8,7
ANA202305050,ANA,TEX,0,0,estec001,smitw002,ANA,TEX,5,4
ANA202305060,ANA,TEX,0,0,eovan001,detmr001,TEX,ANA,1,10
ANA202305070,ANA,TEX,3,0,sborj002,suarj001,TEX,ANA,8,16
ANA202305080,ANA,HOU,0,0,moorm003,montr004,ANA,HOU,6,4
ANA202305090,ANA,HOU,0,0,valdf001,ohtas001,HOU,ANA,1,3
ANA202305100,ANA,HOU,0,1,javic001,canng001,HOU,ANA,4,5
ANA202305190,ANA,MIN,0,0,weisz001,jax-g001,ANA,MIN,5,4
ANA202305200,ANA,MIN,0,3,varll001,sandp002,MIN,ANA,2,6
ANA202305210,ANA,MIN,0,0,devec001,lopep002,ANA,MIN,4,2
ANA202305220,ANA,BOS,0,0,silsc001,crawk001,ANA,BOS,2,1
ANA202305230,ANA,BOS,1,0,canng001,bellb002,ANA,BOS,4,0
ANA202305240,ANA,BOS,0,0,andet002,paxtj001,ANA,BOS,7,3
ANA202305260,ANA,MIA,0,0,luzaj001,detmr001,MIA,ANA,2,6
ANA202305270,ANA,MIA,0,1,flord002,barrj003,MIA,ANA,5,8
ANA202305280,ANA,MIA,0,0,peree004,sandp002,MIA,ANA,0,2
ANA202306060,ANA,CHN,0,0,andet002,hughb002,ANA,CHN,7,4
ANA202306070,ANA,CHN,0,0,joycb001,tailj001,ANA,CHN,6,2
ANA202306080,ANA,CHN,0,0,detmr001,smyld001,ANA,CHN,3,1
ANA202306090,ANA,SEA,0,2,webbj002,castl003,ANA,SEA,5,4
