last_name,first_name,player_id,year,p_era
Pivetta,Nick,601713,2023,4.04
Miller,Bobby,676272,2023,3.76
Kopech,Michael,656629,2023,5.43
Canning,Griffin,656288,2023,4.32
Allen,Logan,671106,2023,3.81
Irvin,Jake,663623,2023,4.61
Gore,MacKenzie,669022,2023,4.42
Darvish,Yu,506433,2023,4.56
Miller,Bryce,682243,2023,4.32
Clevinger,Mike,605182,2023,3.77
Eovaldi,Nathan,543135,2023,3.63
Bibee,Tanner,676440,2023,2.98
Ober,Bailey,641927,2023,3.43
Megill,Tylor,656731,2023,4.70
Strider,Spencer,675911,2023,3.86
Flaherty,Jack,656427,2023,4.99
Brown,Hunter,686613,2023,5.09
Rodriguez,Eduardo,593958,2023,3.30
Ryan,Joe,657746,2023,4.51
Morton,Charlie,450203,2023,3.64
Anderson,Tyler,542881,2023,5.43
Sandoval,Patrick,663776,2023,4.11
Ashcraft,Graham,668933,2023,4.76
Gray,Jon,592351,2023,4.12
Hendricks,Kyle,543294,2023,3.74
Kelly,Merrill,518876,2023,3.29
Pérez,Martín,527048,2023,4.45
Lorenzen,Michael,547179,2023,4.18
Hill,Rich,448179,2023,5.41
Gray,Josiah,680686,2023,3.91
Kikuchi,Yusei,579328,2023,3.86
Greinke,Zack,425844,2023,5.06
Gomber,Austin,596295,2023,5.50
Cobb,Alex,502171,2023,3.87
Nelson,Ryne,669194,2023,5.31
Schmidt,Clarke,657376,2023,4.64
Steele,Justin,657006,2023,3.06
López,Pablo,641154,2023,3.66
Gray,Sonny,543243,2023,2.79
Dunning,Dane,641540,2023,3.70
Kremer,Dean,665152,2023,4.12
Castillo,Luis,622491,2023,3.34
Oviedo,Johan,670912,2023,4.31
Elder,Bryce,693821,2023,3.81
Berríos,José,621244,2023,3.65
Valdez,Framber,664285,2023,3.45
Cole,Gerrit,543037,2023,2.63
Gilbert,Logan,669302,2023,3.73
Kirby,George,669923,2023,3.35
Bassitt,Chris,605135,2023,3.60
Gallen,Zac,668678,2023,3.47
Lyles,Jordan,543475,2023,6.28
Webb,Logan,657277,2023,3.25
Ohtani,Shohei,660271,2023,3.14
Rodriguez,Grayson,680570,2023,4.35
Kershaw,Clayton,477132,2023,2.46
Civale,Aaron,650644,2023,3.46
Crawford,Kutter,676710,2023,4.04
Rea,Colin,607067,2023,4.55
Suárez,Ranger,624133,2023,4.18
Wacha,Michael,608379,2023,3.22
Bieber,Shane,669456,2023,3.80
Scherzer,Max,453286,2023,3.77
Stroman,Marcus,573186,2023,3.95
Detmers,Reid,672282,2023,4.48
Snell,Blake,605483,2023,2.25
Peralta,Freddy,642547,2023,3.86
Senga,Kodai,673540,2023,2.98
Weaver,Luke,596133,2023,6.40
Heaney,Andrew,571760,2023,4.15
Smyly,Drew,592767,2023,5.00
Lugo,Seth,607625,2023,3.57
Waldichuk,Ken,686610,2023,5.36
France,J. P.,641585,2023,3.83
Bradish,Kyle,680694,2023,2.83
Javier,Cristian,664299,2023,4.56
Garrett,Braxton,666129,2023,3.66
Gausman,Kevin,592332,2023,3.16
Taillon,Jameson,592791,2023,4.84
Luzardo,Jesús,666200,2023,3.58
Verlander,Justin,434378,2023,3.22
Cease,Dylan,656302,2023,4.58
Bello,Brayan,678394,2023,4.24
Williams,Trevor,592866,2023,5.55
Eflin,Zach,621107,2023,3.50
Sears,JP,676664,2023,4.54
Giolito,Lucas,608337,2023,4.88
Burnes,Corbin,669203,2023,3.39
Singer,Brady,663903,2023,5.52
Walker,Taijuan,592836,2023,4.38
Wheeler,Zack,554430,2023,3.61
Lynn,Lance,458681,2023,5.73
Freeland,Kyle,607536,2023,5.03
Nola,Aaron,605400,2023,4.46
Keller,Mitch,656605,2023,4.21
Alcantara,Sandy,645261,2023,4.14
Montgomery,Jordan,656756,2023,3.20
Gibson,Kyle,502043,2023,4.73
Corbin,Patrick,571578,2023,5.20
Mikolas,Miles,571945,2023,4.78
