year,game_id,hometeam,visteam,home_first_inning_runs,visiting_first_inning_runs,home_pitcher,vis_pitcher,home_ERA,vis_ERA,date,home_travel,vis_travel,home_last_location,visiting_last_location
2023,LAN202303310,LAN,ARI,0,0,vesia001,jamed003,4.35,3.32,2023-03-31,1e-06,1e-06,LAN,LAN
2023,MIA202303310,MIA,NYN,0,0,luzaj001,peted003,3.58,5.03,2023-03-31,1e-06,1e-06,MIA,MIA
2023,SDN202303310,SDN,COL,0,2,martn002,freek001,3.43,5.03,2023-03-31,1e-06,1e-06,SDN,SDN
2023,HOU202303310,HOU,CHA,0,1,marts003,gravk001,5.23,3.12,2023-03-31,1e-06,1e-06,HOU,HOU
2023,SEA202303310,SEA,CLE,1,0,ray-r002,sandn001,8.1,3.75,2023-03-31,1e-06,1e-06,SEA,SEA
2023,OAK202304010,OAK,ANA,0,0,fujis001,sandp002,7.18,4.11,2023-04-01,1e-06,1e-06,OAK,OAK
2023,HOU202304010,HOU,CHA,2,0,stanr002,kellj001,4.09,4.12,2023-04-01,1e-06,1e-06,HOU,HOU
2023,CHN202304010,CHN,MIL,0,0,assaj001,strzp001,3.05,4.38,2023-04-01,1e-06,1e-06,CHN,CHN
2023,NYA202304010,NYA,SFN,1,0,kingm002,junij001,2.75,3.87,2023-04-01,1e-06,1e-06,NYA,NYA
2023,TBA202304010,TBA,DET,1,0,efliz001,turns003,3.5,7.26,2023-04-01,1e-06,1e-06,TBA,TBA
2023,CIN202304010,CIN,PIT,3,1,lodon001,hillr001,6.29,5.41,2023-04-01,1e-06,1e-06,CIN,CIN
2023,TEX202304010,TEX,PHI,2,0,eovan001,wheez001,3.63,3.61,2023-04-01,1e-06,1e-06,TEX,TEX
2023,BOS202304010,BOS,BAL,0,3,jansk001,bautf001,3.63,1.48,2023-04-01,1e-06,1e-06,BOS,BOS
2023,KCA202304010,KCA,MIN,0,1,lylej001,grays001,6.28,2.79,2023-04-01,1e-06,1e-06,KCA,KCA
