rank,team,curr_year,last_3,last_1,home,away,prev_year
1,ATL,0.342,0.262,0.25,0.347,0.338,0.316
2,LAN,0.339,0.248,0.235,0.336,0.341,0.333
3,TEX,0.337,0.298,0.308,0.346,0.328,0.301
4,HOU,0.331,0.333,0.381,0.323,0.338,0.318
5,TBA,0.33,0.31,0.242,0.33,0.331,0.307
6,CHN,0.33,0.299,0.206,0.337,0.323,0.311
7,SDN,0.329,0.331,0.318,0.333,0.326,0.316
8,TOR,0.328,0.325,0.314,0.323,0.333,0.329
9,PHI,0.328,0.28,0.257,0.336,0.319,0.314
10,CIN,0.327,0.37,0.257,0.326,0.327,0.304
11,SLN,0.326,0.386,0.353,0.334,0.318,0.324
12,MIN,0.326,0.29,0.161,0.33,0.321,0.317
13,BOS,0.324,0.289,0.275,0.344,0.304,0.321
14,ARI,0.322,0.312,0.297,0.329,0.314,0.304
15,SEA,0.321,0.242,0.2,0.315,0.328,0.314
16,BAL,0.32,0.301,0.229,0.315,0.325,0.305
17,MIL,0.32,0.372,0.342,0.329,0.311,0.315
18,ANA,0.317,0.33,0.439,0.309,0.325,0.297
19,NYN,0.316,0.275,0.133,0.317,0.316,0.331
20,MIA,0.315,0.191,0.226,0.33,0.301,0.294
21,PIT,0.315,0.333,0.324,0.319,0.311,0.291
22,WAS,0.314,0.362,0.467,0.322,0.306,0.31
23,CLE,0.313,0.319,0.176,0.315,0.312,0.314
24,SFN,0.312,0.214,0.176,0.307,0.317,0.315
25,COL,0.31,0.311,0.162,0.33,0.29,0.315
26,DET,0.305,0.378,0.395,0.314,0.296,0.286
27,NYA,0.304,0.319,0.286,0.301,0.306,0.321
28,KCA,0.303,0.405,0.353,0.325,0.28,0.306
29,OAK,0.298,0.309,0.368,0.294,0.303,0.281
30,CHA,0.291,0.271,0.25,0.293,0.29,0.31
