game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,gametype,umplf,umprf
BSN195005302,"""version 7RS(19) of 07/07/92""",NY1,BSN,1950/05/30,BOS08,2,0:00PM,day,false,dascf901,jordl901,(none),goetl901,"""206""","""D Lamoureaux""","""D Lamoureaux""",2003/06/20 3:21AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,144,16112,jansl101,roy-n101,,,,,
BSN195006130,"""version 7RS(19) of 07/07/92""",CIN,BSN,1950/06/13,BOS08,0,0:00PM,night,false,stewb901,conlj102,(none),gorea901,"""115""","""Bob Kistler""","""Greg Beston""",1994/03/09 6:36PM,unknown,none,0,unknown,-1,unknown,unknown,night,120,9446,chipb101,ramsw101,,,,,
BSN195006151,"""version 7RS(19) of 07/07/92""",CIN,BSN,1950/06/15,BOS08,1,0:00PM,day,false,conlj102,gorea901,(none),stewb901,"""115""","""Bob Kistler""","""Greg Beston""",1994/03/09 7:25PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,131,0,spahw101,raffk101,,,,,
BSN195006152,"""version 7RS(19) of 07/07/92""",CIN,BSN,1950/06/15,BOS08,2,0:00PM,day,false,gorea901,stewb901,(none),conlj102,"""206""","""D Lamoureaux""","""D Lamoureaux""",2003/06/24 3:38AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,151,6932,hogub101,smitf104,,,,,
BSN195006160,"""version 7RS(19) of 07/07/92""",PIT,BSN,1950/06/16,BOS08,0,0:00PM,night,false,boggd901,robbs901,(none),pineb101,"""115""","""Bob Kistler""","""Greg Beston""",1994/03/10 10:32AM,unknown,none,0,unknown,-1,unknown,unknown,night,127,15866,sainj101,queem101,,,,,
BSN195006170,"""version 7RS(19) of 07/07/92""",PIT,BSN,1950/06/17,BOS08,0,0:00PM,day,false,robbs901,pineb101,(none),boggd901,"""115""","""Bob Kistler""","""Greg Beston""",1994/03/10 11:05AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,144,6272,hogub101,boroh101,,,,,
BSN195006181,"""version 7RS(19) of 07/07/92""",PIT,BSN,1950/06/18,BOS08,1,0:00PM,day,false,pineb101,boggd901,(none),robbs901,"""206""","""D Lamoureaux""","""D Lamoureaux""",2003/06/24 4:12AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,130,0,roy-n101,dickm101,,,,,
BSN195006182,"""version 7RS(19) of 07/07/92""",PIT,BSN,1950/06/18,BOS08,2,0:00PM,day,false,boggd901,robbs901,(none),pineb101,"""206""","""D Lamoureaux""","""D Lamoureaux""",2003/06/24 4:32AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,150,22817,,,,,,,
BSN195006190,"""version 7RS(19) of 07/07/92""",PIT,BSN,1950/06/19,BOS08,0,0:00PM,night,false,robbs901,pineb101,(none),boggd901,"""206""","""D Lamoureaux""","""D Lamoureaux""",2003/06/24 4:38AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,112,5578,chamc102,spahw101,,,,,
BSN195006200,"""version 7RS(19) of 07/07/92""",CHN,BSN,1950/06/20,BOS08,0,0:00PM,night,false,barla901,donaa901,(none),balll901,"""206""","""D Lamoureaux""","""D Lamoureaux""",2003/06/24 1:05PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,130,12334,rushb101,sainj101,,,,,
BSN195006210,"""version 7RS(19) of 07/07/92""",CHN,BSN,1950/06/21,BOS08,0,0:00PM,night,false,donaa901,balll901,(none),barla901,"""115""","""Bob Kistler""","""Greg Beston""",1994/03/10 11:46AM,unknown,none,0,unknown,-1,unknown,unknown,night,111,11317,schmj101,bickv101,,,,,
BSN195006230,"""version 7RS(19) of 07/07/92""",SLN,BSN,1950/06/23,BOS08,0,0:00PM,night,false,dascf901,jordl901,(none),goetl901,"""206""","""D Lamoureaux""","""D Lamoureaux""",2003/06/24 1:11PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,124,30720,spahw101,mungr101,,,,,
BSN195006240,"""version 7RS(19) of 07/07/92""",SLN,BSN,1950/06/24,BOS08,0,0:00PM,night,false,jordl901,goetl901,(none),dascf901,"""206""","""D Lamoureaux""","""D Lamoureaux""",2003/06/24 1:26PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,150,20826,braza101,chipb101,,,,,
BSN195006250,"""version 7RS(19) of 07/07/92""",SLN,BSN,1950/06/25,BOS08,0,0:00PM,day,false,goetl901,dascf901,(none),jordl901,"""206""","""D Lamoureaux""","""D Lamoureaux""",2003/06/24 1:45PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,104,17434,bickv101,martf101,,,,,
BSN195006270,"""version 7RS(19) of 07/07/92""",PHI,BSN,1950/06/27,BOS08,0,0:00PM,night,false,conlj102,gorea901,(none),stewb901,"""206""","""D Lamoureaux""","""D Lamoureaux""",2003/06/24 1:51PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,125,13361,simmc101,spahw101,konsj101,,,,
BSN195006280,"""version 7RS(19) of 07/07/92""",PHI,BSN,1950/06/28,BOS08,0,0:00PM,night,false,gorea901,stewb901,(none),conlj102,"""115""","""Bob Kistler""","""Greg Beston""",1994/03/10 3:25PM,unknown,none,0,unknown,-1,unknown,unknown,night,112,18724,sainj101,meyer101,,,,,
BSN195006290,"""version 7RS(19) of 07/07/92""",PHI,BSN,1950/06/29,BOS08,0,0:00PM,night,false,stewb901,conlj102,(none),gorea901,"""115""","""Bob Kistler""","""Greg Beston""",1994/03/10 5:54PM,unknown,none,0,unknown,-1,unknown,unknown,night,109,13980,bickv101,heink101,,,,,
BSN195007070,"""version 7RS(19) of 07/07/92""",NY1,BSN,1950/07/07,BOS08,0,0:00PM,night,false,conlj102,warnl101,(none),stewb901,"""71,104,96,276""","""John Gabcik/Smith""","""David W. Smith""",2013/03/20 11:57AM,park,none,0,unknown,-1,unknown,unknown,unknown,126,21885,sainj101,jansl101,,,,,
BSN195007080,"""version 7RS(19) of 07/07/92""",NY1,BSN,1950/07/08,BOS08,0,0:00PM,night,false,warnl101,stewb901,(none),conlj102,"""115""","""Bob Kistler/Smith""","""Greg Beston/Smith""",1994/03/19 10:14AM,unknown,none,0,unknown,-1,unknown,unknown,night,126,21885,chipb101,kosld101,,,,,
BSN195007250,"""version 7RS(19) of 07/07/92""",PIT,BSN,1950/07/25,BOS08,0,0:00PM,night,false,jordl901,goetl901,(none),dascf901,"""241""","""Comly""","""Comly""",2009/08/13 10:55AM,unknown,none,0,unknown,-1,unknown,unknown,night,130,18461,sainj101,pierb102,,,,,
BSN195007270,"""version 7RS(19) of 07/07/92""",PIT,BSN,1950/07/27,BOS08,0,0:00PM,night,false,dascf901,jordl901,(none),goetl901,"""241""","""Comly""","""Comly""",2009/08/13 11:18AM,unknown,none,0,unknown,-1,unknown,unknown,night,110,8302,spahw101,chamc102,,,,,
BSN195007280,"""version 7RS(19) of 07/07/92""",CIN,BSN,1950/07/28,BOS08,0,0:00PM,night,false,boggd901,robbs901,(none),pineb101,"""291""","""Comly""","""Comly""",2010/10/07 7:11AM,unknown,none,0,unknown,-1,unknown,unknown,night,151,13505,blace102,chipb101,smitf104,,,,
BSN195007290,"""version 7RS(19) of 07/07/92""",CIN,BSN,1950/07/29,BOS08,0,0:00PM,day,false,robbs901,pineb101,(none),boggd901,"""115""","""Bob Kistler""","""Greg Beston""",1994/03/19 3:47PM,unknown,none,89,unknown,-1,unknown,none,sunny,118,6394,sainj101,wehmh101,,,,,
BSN195007301,"""version 7RS(19) of 07/07/92""",CIN,BSN,1950/07/30,BOS08,1,0:00PM,day,false,pineb101,boggd901,(none),robbs901,"""534""","""DWV""","""DWV""",2015/02/21 12:09PM,park,none,96,tocf,-1,dry,none,sunny,122,0,bickv101,raffk101,,,,,
BSN195007302,"""version 7RS(19) of 07/07/92""",CIN,BSN,1950/07/30,BOS08,2,0:00PM,day,false,boggd901,robbs901,(none),pineb101,"""534""","""DWV""","""DWV""",2015/02/21 12:25PM,park,none,96,tocf,-1,dry,none,sunny,140,16562,antoj103,fox-h101,,,,,
BSN195007310,"""version 7RS(19) of 07/07/92""",SLN,BSN,1950/07/31,BOS08,0,0:00PM,night,false,robbs901,pineb101,(none),boggd901,"""241""","""Comly""","""Comly""",2009/08/13 11:46AM,unknown,none,0,unknown,-1,unknown,unknown,night,127,16104,spahw101,lanim101,,,,,
BSN195008010,,SLN,BSN,1950/08/01,BOS08,0,0:00PM,night,false,conlj102,gorea901,(none),stewb901,"""276,269,102""","""Wayne Townsend""","""Wayne Townsend""",2013/01/02 22:24,park,none,0,unknown,-1,unknown,unknown,unknown,133,14522,boyec101,chipb101,,,,,
BSN195008030,"""version 7RS(19) of 07/07/92""",SLN,BSN,1950/08/03,BOS08,0,0:00PM,day,false,stewb901,conlj102,(none),gorea901,"""115""","""Bob Kistler""","""Greg Beston""",1994/03/19 5:56PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,104,12036,bickv101,braza101,,,,,
BSN195008040,"""version 7RS(19) of 07/07/92""",CHN,BSN,1950/08/04,BOS08,0,0:00PM,night,false,barla901,donaa901,(none),balll901,"""115""","""Bob Kistler""","""Greg Beston""",1994/03/20 9:53AM,unknown,none,0,unknown,-1,unknown,unknown,night,132,16910,spahw101,rushb101,,,,,
BSN195008050,"""version 7RS(19) of 07/07/92""",CHN,BSN,1950/08/05,BOS08,0,0:00PM,day,false,donaa901,balll901,(none),warnl101,"""127""","""D Lamoureaux""","""D Lamoureaux""",2003/10/25 6:54PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,182,8246,minnp101,hogub101,,,,,
BSN195008061,"""version 7RS(19) of 07/07/92""",CHN,BSN,1950/08/06,BOS08,1,0:00PM,day,false,balll901,warnl101,barla901,donaa901,"""199""","""David W. Smith""","""David W. Smith""",2010/10/31 11:10PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,105,0,sainj101,schmj101,,,,,
BSN195008062,,CHN,BSN,1950/08/06,BOS08,2,0:00PM,day,false,warnl101,barla901,donaa901,balll901,"""276""","""Mark Pankin/Smith""","""Mark Pankin/Smith""",2013/04/01 20:18,park,none,0,unknown,-1,unknown,unknown,unknown,140,14680,hillf101,antoj103,,,,,
BSN195008070,,NY1,BSN,1950/08/07,BOS08,0,0:00PM,night,false,barla901,donaa901,(none),balll901,NY Daily Mirror (Inn 1-8),Mark Pankin,Mark Pankin,2013/02/09 12:51,park,none,0,unknown,-1,unknown,unknown,unknown,180,11916,kramj101,bickv101,,,,,
BSN195008080,,NY1,BSN,1950/08/08,BOS08,0,0:00PM,night,false,donaa901,balll901,warnl101,barla901,NY Daily Mirror,Mark Pankin,Mark Pankin,2013/02/09 14:44,park,none,0,unknown,-1,unknown,unknown,unknown,123,15471,jones103,spahw101,,,,,
