game_id,inputprogvers,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,umplf,oscorer
WS2196805200,"""version 7RS(19) of 07/07/92""",NYA,WS2,WAS10,1968/05/20,0,8:00PM,night,false,umonf901,valeb901,honoj901,ashfe901,"""Burt Hawkins""","""Michael House""","""Michael House""",1998/04/20 9:38PM,park,none,0,unknown,-1,unknown,unknown,night,146,9380,boutj101,bosmd101,,,,
WS2196805210,"""version 7RS(19) of 07/07/92""",NYA,WS2,WAS10,1968/05/21,0,8:01PM,night,false,valeb901,honoj901,ashfe901,umonf901,"""Burt Hawkins""","""Michael House""","""Michael House""",1998/04/20 9:57PM,park,none,0,unknown,-1,unknown,unknown,unknown,162,7685,stotm101,colej102,,,,
WS2196805220,"""version 7RS(19) of 07/07/92""",CHA,WS2,WAS10,1968/05/22,0,0:00PM,night,false,honoj901,ashfe901,umonf901,valeb901,"""Burt Hawkins""","""Michael House""","""Michael House""",1998/04/20 10:47PM,park,none,0,unknown,-1,unknown,unknown,unknown,149,6493,bertf101,peteg101,baldd101,,,
WS2196806040,"""version 7RS(19) of 07/07/92""",OAK,WS2,WAS10,1968/06/04,0,0:00PM,night,false,soarh901,chyln901,kinnb901,goetr901,"""Burt Hawkins""","""Michael House""","""Michael House""",1998/04/22 10:58AM,park,none,0,unknown,-1,unknown,unknown,unknown,144,6135,colej102,huntj101,,,,
WS2196806050,"""version 7RS(19) of 07/07/92""",OAK,WS2,WAS10,1968/06/05,0,0:00PM,night,false,chyln901,kinnb901,goetr901,soarh901,"""Burt Hawkins""","""Michael House""","""Michael House""",1998/04/22 6:32PM,park,none,0,unknown,-1,unknown,unknown,unknown,145,3797,pascc102,segud101,knowd101,,,
WS2196806060,"""version 7RS(19) of 07/07/92""",OAK,WS2,WAS10,1968/06/06,0,0:00PM,night,false,kinnb901,goetr901,soarh901,chyln901,"""Burt Hawkins""","""Michael House""","""Michael House""",1998/04/22 7:04PM,park,none,0,unknown,-1,unknown,unknown,unknown,150,4065,bertf101,dobsc101,higgd101,,,
WS2196806071,"""version 7RS(19) of 07/07/92""",MIN,WS2,WAS10,1968/06/07,1,0:00PM,day,false,goetr901,soarh901,chyln901,kinnb901,"""Burt Hawkins""","""Michael House""","""Michael House""",1998/04/23 10:09AM,park,none,0,unknown,-1,unknown,unknown,unknown,176,0,kaatj101,ortep101,worta101,,,
WS2196806072,"""version 7RS(19) of 07/07/92""",MIN,WS2,WAS10,1968/06/07,2,0:00PM,night,false,soarh901,chyln901,kinnb901,goetr901,"""Burt Hawkins""","""Michael House""","""Michael House""",1998/04/23 10:47AM,park,none,0,unknown,-1,unknown,unknown,unknown,170,16334,humpb102,perrr101,,,,
WS2196806090,"""version 7RS(19) of 07/07/92""",MIN,WS2,WAS10,1968/06/09,0,0:00PM,day,false,chyln901,kinnb901,goetr901,soarh901,"""Burt Hawkins""","""Michael House""","""Michael House""",1998/04/23 8:30PM,park,none,0,unknown,-1,unknown,unknown,unknown,135,33977,colej102,merrj102,,,,
WS2196806100,"""version 7RS(19) of 07/07/92""",BAL,WS2,WAS10,1968/06/10,0,0:00PM,night,false,odomj901,runge901,ricej901,drumc901,"""Orioles""","""Pavitt""","""Wayne Townsend""",1996/10/17 4:02PM,park,none,0,unknown,-1,unknown,unknown,night,128,6846,hardj101,pascc102,,,,
WS2196806110,"""version 7RS(19) of 07/07/92""",BAL,WS2,WAS10,1968/06/11,0,0:00PM,night,false,runge901,ricej901,drumc901,odomj901,"""Orioles""","""Pavitt""","""Wayne Townsend""",1996/10/18 10:16PM,park,none,0,unknown,-1,unknown,unknown,night,159,5825,nelsr101,bertf101,drabm101,,,
WS2196806250,"""version 7RS(19) of 07/07/92""",CLE,WS2,WAS10,1968/06/25,0,0:00PM,night,false,runge901,ricej901,drumc901,odomj901,"""Senators""","""D Lamoureaux""","""D Lamoureaux""",1998/08/07 3:36AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,173,4319,siebs101,colej102,wills102,,,
WS2196806260,"""version 7RS(19) of 07/07/92""",CLE,WS2,WAS10,1968/06/26,0,0:00PM,night,false,ricej901,drumc901,odomj901,runge901,"""Senators""","""D Lamoureaux""","""D Lamoureaux""",1998/08/07 4:21AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,129,4846,pascc102,hargs101,,,,
