game_id,inputprogvers,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,gametype,innings
CHA194604170,"""version 7RS(19) of 07/07/92""",CLE,CHA,CHI10,1946/04/17,0,0:00PM,day,false,pipgg101,berrc103,(none),hubbc901,"""68,39,111,276""","""Tom Thress/Townsend""","""David W. Smith/Townsend""",2015/01/07 7:43PM,park,none,0,unknown,-1,unknown,unknown,unknown,112,6424,reyna102,rignj101,,,,
CHA194604220,"""version 7RS(19) of 07/07/92""",DET,CHA,CHI10,1946/04/22,0,0:00PM,day,false,passa901,mcgob901,(none),rue-j901,"""212""","""DWV""","""DWV""",2014/07/22 8:53PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,115,9933,troud101,smite105,,,,
CHA194604230,"""version 7RS(19) of 07/07/92""",DET,CHA,CHI10,1946/04/23,0,0:00PM,day,false,mcgob901,rue-j901,(none),passa901,"""56,248,410,68,67,111""","""Tom Thress""","""David W. Smith""",2015/02/01 5:25PM,park,none,0,unknown,-1,unknown,unknown,unknown,102,6166,dietb101,benta101,haynj101,,,
CHA194604270,"""version 7RS(19) of 07/07/92""",SLA,CHA,CHI10,1946/04/27,0,0:00PM,day,false,mcgob901,rue-j901,(none),passa901,"""134""","""D Lamoureaux""","""D Lamoureaux""",2004/02/17 3:38PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,94,4533,zolds101,grovo101,,,,
CHA194604281,"""version 7RS(19) of 07/07/92""",SLA,CHA,CHI10,1946/04/28,1,0:00PM,day,false,rue-j901,passa901,(none),mcgob901,"""276""","""DWV/RWood""","""DWV/RWood""",2013/11/21 6:18PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,101,0,lyont102,galed101,,,,
CHA194605140,"""version 7RS(19) of 07/07/92""",BOS,CHA,CHI10,1946/05/14,0,0:00PM,day,false,summb901,papaj901,(none),grieb901,"""115""","""Bob Kistler""","""D Lamoureaux""",2002/10/29 6:32PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,91,13392,ferrd101,haynj101,,,,
CHA194605150,"""version 7RS(19) of 07/07/92""",BOS,CHA,CHI10,1946/05/15,0,0:00PM,day,false,papaj901,grieb901,(none),summb901,"""115""","""Bob Kistler""","""D Lamoureaux""",2002/10/29 6:42PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,101,9957,rignj101,hught102,smite105,,,
CHA194605170,"""version 7RS(19) of 07/07/92""",NYA,CHA,CHI10,1946/05/17,0,0:00PM,day,false,grieb901,summb901,(none),papaj901,"""98""","""M. Pankin""","""M. Pankin""",2015/01/05 9:53PM,park,none,48,unknown,-1,unknown,unknown,unknown,119,9342,gumpr101,dietb101,,,,
CHA194605180,"""version 7RS(19) of 07/07/92""",NYA,CHA,CHI10,1946/05/18,0,0:00PM,day,false,summb901,papaj901,(none),grieb901,"""209""","""DWV""","""DWV""",2014/02/21 6:30PM,unknown,none,0,unknown,-1,unknown,unknown,cloudy,95,8522,grovo101,bonht101,,,,
CHA194605191,"""version 7RS(19) of 07/07/92""",WS1,CHA,CHI10,1946/05/19,1,0:00PM,day,false,papaj901,grieb901,(none),summb901,"""68,111,222,276""","""Tom Thress/Townsend""","""David W. Smith/Townsend""",2015/02/08 8:26AM,park,none,0,unknown,-1,unknown,unknown,unknown,105,0,hudss101,lyont102,,,,
