game_id,hometeam,visteam,home_first_inning_runs,visiting_first_inning_runs
ASW195507310,ASW,ASE,0,0
BAL195504120,BAL,BOS,0,1
BAL195504180,BAL,NYA,0,0
BAL195504220,BAL,WS1,0,0
BAL195504230,BAL,WS1,0,0
BAL195504241,BAL,WS1,0,0
BAL195504242,BAL,WS1,0,0
BAL195505100,BAL,KC1,0,0
BAL195505110,BAL,KC1,0,0
BAL195505120,BAL,CHA,0,0
BAL195505151,BAL,CLE,0,0
BAL195505152,BAL,CLE,0,2
BAL195505170,BAL,DET,1,0
BAL195505180,BAL,DET,0,0
BAL195505240,BAL,BOS,0,0
BAL195505251,BAL,BOS,2,0
BAL195505252,BAL,BOS,0,1
BAL195505260,BAL,BOS,1,0
BAL195505270,BAL,NYA,1,4
BAL195505280,BAL,NYA,1,0
BAL195505290,BAL,NYA,0,0
BAL195506140,BAL,CHA,0,0
BAL195506151,BAL,CHA,1,0
BAL195506152,BAL,CHA,0,0
BAL195506160,BAL,CHA,0,2
BAL195506170,BAL,DET,0,0
BAL195506180,BAL,DET,0,3
BAL195506210,BAL,CLE,0,0
BAL195506220,BAL,CLE,0,0
BAL195506230,BAL,CLE,0,3
BAL195506240,BAL,KC1,0,0
BAL195506250,BAL,KC1,0,0
BAL195506261,BAL,KC1,0,0
BAL195506262,BAL,KC1,0,1
BAL195507010,BAL,BOS,0,0
BAL195507020,BAL,BOS,1,0
BAL195507030,BAL,BOS,0,1
BAL195507040,BAL,WS1,1,0
BAL195507060,BAL,NYA,0,0
BAL195507261,BAL,DET,0,1
BAL195507262,BAL,DET,1,1
BAL195507271,BAL,DET,0,0
BAL195507272,BAL,DET,1,0
BAL195507280,BAL,DET,2,3
BAL195507290,BAL,CLE,0,0
BAL195507300,BAL,CLE,0,0
BAL195507311,BAL,CLE,0,0
BAL195507312,BAL,CLE,0,0
BAL195508020,BAL,KC1,0,0
BAL195508031,BAL,KC1,0,0
BAL195508032,BAL,KC1,1,3
BAL195508040,BAL,KC1,2,0
BAL195508050,BAL,CHA,0,1
BAL195508060,BAL,CHA,0,0
BAL195508070,BAL,CHA,0,1
BAL195508091,BAL,WS1,0,0
BAL195508092,BAL,WS1,0,0
BAL195508141,BAL,NYA,1,0
BAL195508142,BAL,NYA,0,1
BAL195508151,BAL,NYA,0,1
BAL195508152,BAL,NYA,0,0
BAL195509020,BAL,BOS,0,0
BAL195509030,BAL,BOS,0,0
BAL195509040,BAL,BOS,0,0
BAL195509051,BAL,NYA,3,3
BAL195509052,BAL,NYA,0,0
BAL195509070,BAL,CLE,0,2
BAL195509080,BAL,CLE,1,2
BAL195509090,BAL,DET,0,2
BAL195509100,BAL,DET,0,0
BAL195509111,BAL,KC1,0,0
BAL195509112,BAL,KC1,0,0
BAL195509131,BAL,CHA,0,0
BAL195509132,BAL,CHA,4,0
BAL195509141,BAL,CHA,0,0
BAL195509142,BAL,CHA,0,0
BAL195509161,BAL,WS1,4,0
BAL195509162,BAL,WS1,0,0
BAL195509170,BAL,WS1,0,0
BAL195509180,BAL,WS1,1,0
BOS195504140,BOS,NYA,1,0
BOS195504150,BOS,NYA,1,3
BOS195504160,BOS,BAL,3,0
BOS195504171,BOS,BAL,0,2
BOS195504172,BOS,BAL,0,3
BOS195505060,BOS,NYA,0,1
BOS195505070,BOS,NYA,1,0
BOS195505080,BOS,NYA,0,2
BOS195505100,BOS,CHA,1,0
BOS195505110,BOS,CHA,0,1
BOS195505120,BOS,KC1,1,0
BOS195505130,BOS,KC1,2,1
BOS195505140,BOS,KC1,0,0
BOS195505151,BOS,DET,0,0
BOS195505152,BOS,DET,0,3
BOS195505170,BOS,CLE,0,0
BOS195505180,BOS,CLE,0,0
BOS195505270,BOS,WS1,3,0
BOS195505280,BOS,WS1,1,0
BOS195505290,BOS,WS1,0,2
BOS195505301,BOS,BAL,3,1
BOS195505302,BOS,BAL,1,0
BOS195506140,BOS,KC1,0,0
BOS195506150,BOS,KC1,2,1
BOS195506160,BOS,KC1,0,2
BOS195506171,BOS,CLE,0,0
BOS195506172,BOS,CLE,2,0
BOS195506180,BOS,CLE,0,0
BOS195506190,BOS,CLE,0,0
BOS195506210,BOS,DET,0,0
BOS195506220,BOS,DET,6,0
BOS195506230,BOS,DET,0,0
BOS195506240,BOS,CHA,0,0
BOS195506250,BOS,CHA,0,0
BOS195506261,BOS,CHA,1,1
BOS195506262,BOS,CHA,0,0
BOS195507060,BOS,WS1,3,2
BOS195507070,BOS,WS1,3,0
BOS195507080,BOS,BAL,0,1
BOS195507090,BOS,BAL,0,2
BOS195507100,BOS,BAL,3,0
BOS195507260,BOS,CLE,0,0
BOS195507270,BOS,CLE,0,0
BOS195507280,BOS,CLE,0,1
BOS195507290,BOS,DET,1,0
BOS195507300,BOS,DET,0,0
BOS195507311,BOS,DET,0,2
BOS195507312,BOS,DET,2,0
BOS195508020,BOS,CHA,0,0
BOS195508030,BOS,CHA,0,1
BOS195508040,BOS,CHA,1,0
BOS195508050,BOS,KC1,0,2
BOS195508060,BOS,KC1,0,1
BOS195508070,BOS,KC1,4,2
BOS195508130,BOS,WS1,0,0
BOS195508141,BOS,WS1,1,1
BOS195508142,BOS,WS1,2,0
BOS195508150,BOS,WS1,0,0
BOS195508160,BOS,NYA,0,1
BOS195508170,BOS,NYA,0,0
BOS195509051,BOS,WS1,1,0
BOS195509052,BOS,WS1,0,0
BOS195509070,BOS,DET,3,0
BOS195509080,BOS,DET,2,0
BOS195509090,BOS,CLE,1,0
BOS195509100,BOS,CLE,0,0
BOS195509111,BOS,CHA,3,0
BOS195509112,BOS,CHA,0,0
BOS195509131,BOS,KC1,0,0
BOS195509132,BOS,KC1,0,0
BOS195509140,BOS,KC1,0,0
BOS195509201,BOS,BAL,1,0
BOS195509202,BOS,BAL,0,0
BOS195509210,BOS,BAL,0,0
BOS195509231,BOS,NYA,0,1
BOS195509232,BOS,NYA,0,2
BOS195509251,BOS,NYA,0,1
BOS195509252,BOS,NYA,0,0
BRO195504130,BRO,PIT,0,0
BRO195504200,BRO,PHI,0,0
BRO195504210,BRO,PHI,0,1
BRO195504220,BRO,NY1,0,0
BRO195504230,BRO,NY1,0,0
BRO195504240,BRO,NY1,0,0
BRO195504270,BRO,CIN,1,0
BRO195504280,BRO,CHN,0,0
BRO195504300,BRO,CHN,0,0
BRO195505010,BRO,MLN,2,0
BRO195505020,BRO,MLN,0,0
BRO195505040,BRO,SLN,1,0
BRO195505050,BRO,SLN,0,1
BRO195505200,BRO,PHI,0,0
BRO195505210,BRO,PHI,0,1
BRO195505220,BRO,PHI,0,1
BRO195505301,BRO,PIT,0,0
BRO195505302,BRO,PIT,0,2
BRO195505310,BRO,PIT,0,0
BRO195506010,BRO,MLN,2,1
BRO195506020,BRO,MLN,0,0
BRO195506030,BRO,SLN,4,1
BRO195506040,BRO,SLN,0,0
BRO195506051,BRO,SLN,2,0
BRO195506052,BRO,SLN,0,0
BRO195506060,BRO,SLN,0,0
BRO195506070,BRO,CIN,0,0
BRO195506080,BRO,CIN,0,0
BRO195506100,BRO,CHN,0,0
BRO195506110,BRO,CHN,0,0
BRO195506121,BRO,CHN,1,0
BRO195506122,BRO,CHN,0,0
BRO195506280,BRO,NY1,0,1
BRO195506290,BRO,NY1,0,0
BRO195506300,BRO,NY1,0,2
BRO195507010,BRO,PIT,0,0
BRO195507020,BRO,PIT,4,0
BRO195507031,BRO,PIT,4,2
BRO195507032,BRO,PIT,0,0
BRO195507140,BRO,SLN,0,0
BRO195507150,BRO,SLN,0,0
BRO195507160,BRO,CIN,0,0
BRO195507171,BRO,CIN,2,1
BRO195507172,BRO,CIN,0,0
BRO195507180,BRO,CIN,0,0
BRO195507201,BRO,CHN,2,0
BRO195507202,BRO,CHN,0,0
BRO195507210,BRO,CHN,0,0
BRO195507220,BRO,MLN,1,0
BRO195507230,BRO,MLN,0,2
BRO195507241,BRO,MLN,1,1
BRO195507242,BRO,MLN,2,0
BRO195508090,BRO,NY1,0,2
BRO195508100,BRO,NY1,3,2
BRO195508141,BRO,PHI,0,0
BRO195508142,BRO,PHI,2,0
BRO195508230,BRO,CHN,3,1
BRO195508240,BRO,CHN,2,0
BRO195508251,BRO,CIN,0,0
BRO195508252,BRO,CIN,0,2
BRO195508260,BRO,CIN,0,0
BRO195508270,BRO,CIN,3,0
BRO195508280,BRO,SLN,0,0
BRO195508290,BRO,SLN,2,1
BRO195508300,BRO,MLN,0,0
BRO195508310,BRO,MLN,0,0
BRO195509010,BRO,MLN,0,1
BRO195509020,BRO,PIT,0,0
BRO195509030,BRO,PIT,1,0
BRO195509040,BRO,PIT,1,0
BRO195509051,BRO,PHI,0,0
BRO195509052,BRO,PHI,1,0
BRO195509160,BRO,NY1,1,0
BRO195509170,BRO,NY1,1,3
BRO195509180,BRO,NY1,3,2
BRO195509201,BRO,PHI,1,0
BRO195509202,BRO,PHI,2,0
CHA195504140,CHA,KC1,0,0
CHA195504160,CHA,CLE,1,1
CHA195504171,CHA,CLE,0,0
CHA195504172,CHA,CLE,0,0
CHA195504260,CHA,NYA,0,3
CHA195504270,CHA,NYA,5,2
CHA195504280,CHA,BOS,0,0
CHA195504290,CHA,BOS,0,0
CHA195504300,CHA,BOS,0,0
CHA195505011,CHA,BAL,1,0
CHA195505012,CHA,BAL,0,1
CHA195505030,CHA,WS1,0,0
CHA195505040,CHA,WS1,0,0
CHA195505060,CHA,DET,0,0
CHA195505070,CHA,DET,0,0
CHA195505081,CHA,DET,0,0
CHA195505082,CHA,DET,0,0
CHA195505200,CHA,KC1,0,1
CHA195505210,CHA,KC1,0,0
CHA195505221,CHA,KC1,0,1
CHA195505222,CHA,KC1,3,0
CHA195505301,CHA,CLE,0,2
CHA195505302,CHA,CLE,0,0
CHA195506010,CHA,BOS,0,0
CHA195506020,CHA,BOS,0,0
CHA195506030,CHA,NYA,0,0
CHA195506040,CHA,NYA,2,0
CHA195506051,CHA,NYA,5,2
CHA195506052,CHA,NYA,0,1
CHA195506080,CHA,BAL,0,0
CHA195506110,CHA,WS1,4,0
CHA195506121,CHA,WS1,1,0
CHA195506122,CHA,WS1,0,0
CHA195506280,CHA,DET,0,2
CHA195506290,CHA,DET,0,5
CHA195506300,CHA,DET,0,2
CHA195507080,CHA,CLE,0,1
CHA195507090,CHA,CLE,0,0
CHA195507101,CHA,CLE,1,0
CHA195507102,CHA,CLE,0,0
CHA195507141,CHA,WS1,1,0
CHA195507142,CHA,WS1,0,0
CHA195507150,CHA,WS1,1,0
CHA195507160,CHA,BAL,0,0
CHA195507171,CHA,BAL,0,0
CHA195507172,CHA,BAL,1,1
CHA195507180,CHA,BAL,0,2
CHA195507190,CHA,NYA,0,0
CHA195507200,CHA,NYA,4,0
CHA195507210,CHA,NYA,1,4
CHA195507220,CHA,BOS,5,0
CHA195507230,CHA,BOS,1,2
CHA195507241,CHA,BOS,0,0
CHA195507242,CHA,BOS,0,1
CHA195508160,CHA,KC1,1,1
CHA195508181,CHA,KC1,0,0
CHA195508182,CHA,KC1,1,0
CHA195508190,CHA,DET,0,0
CHA195508200,CHA,DET,2,2
CHA195508211,CHA,DET,0,0
CHA195508212,CHA,DET,0,0
CHA195508231,CHA,BAL,1,0
CHA195508232,CHA,BAL,0,0
CHA195508241,CHA,BAL,1,0
CHA195508242,CHA,BAL,0,0
CHA195508250,CHA,WS1,0,0
CHA195508260,CHA,WS1,0,6
CHA195508270,CHA,WS1,0,0
CHA195508281,CHA,NYA,0,0
CHA195508282,CHA,NYA,3,0
CHA195508300,CHA,BOS,0,0
CHA195508310,CHA,BOS,2,0
CHA195509200,CHA,CLE,0,0
CHA195509210,CHA,CLE,0,1
CHA195509230,CHA,KC1,4,0
CHA195509240,CHA,KC1,0,0
CHA195509250,CHA,KC1,1,0
CHN195504120,CHN,SLN,5,1
CHN195504200,CHN,MLN,0,1
CHN195504220,CHN,CIN,1,0
CHN195504230,CHN,CIN,0,0
CHN195504240,CHN,CIN,0,0
CHN195505100,CHN,BRO,0,0
CHN195505110,CHN,BRO,5,2
CHN195505120,CHN,PIT,1,0
CHN195505140,CHN,NY1,0,0
CHN195505151,CHN,NY1,0,0
CHN195505152,CHN,NY1,2,0
CHN195505181,CHN,PHI,0,1
CHN195505182,CHN,PHI,0,0
CHN195505251,CHN,SLN,0,0
CHN195505252,CHN,SLN,2,0
CHN195505260,CHN,SLN,1,0
CHN195505270,CHN,MLN,0,0
CHN195505280,CHN,MLN,0,0
CHN195505290,CHN,MLN,0,0
CHN195506140,CHN,NY1,0,0
CHN195506150,CHN,NY1,0,0
CHN195506160,CHN,NY1,0,0
CHN195506170,CHN,PHI,0,0
CHN195506180,CHN,PHI,0,0
CHN195506191,CHN,PHI,0,0
CHN195506192,CHN,PHI,3,1
CHN195506210,CHN,BRO,0,0
CHN195506220,CHN,BRO,0,1
CHN195506230,CHN,BRO,0,0
CHN195506240,CHN,PIT,0,0
CHN195506250,CHN,PIT,0,0
CHN195506261,CHN,PIT,0,0
CHN195506262,CHN,PIT,0,0
CHN195507010,CHN,SLN,0,0
CHN195507020,CHN,SLN,0,0
CHN195507031,CHN,SLN,1,3
CHN195507032,CHN,SLN,3,2
CHN195507041,CHN,CIN,0,0
CHN195507042,CHN,CIN,0,0
CHN195507060,CHN,MLN,0,0
CHN195507070,CHN,MLN,1,0
CHN195507260,CHN,NY1,0,5
CHN195507271,CHN,NY1,2,0
CHN195507272,CHN,NY1,2,2
CHN195507280,CHN,NY1,0,0
CHN195507290,CHN,PHI,1,1
CHN195507300,CHN,PHI,0,2
CHN195507311,CHN,PHI,0,0
CHN195507312,CHN,PHI,3,0
CHN195508020,CHN,PIT,1,3
CHN195508031,CHN,PIT,0,0
CHN195508032,CHN,PIT,0,0
CHN195508050,CHN,BRO,2,2
CHN195508070,CHN,BRO,0,0
CHN195508080,CHN,BRO,0,0
CHN195508090,CHN,CIN,3,0
CHN195508101,CHN,CIN,0,0
CHN195508102,CHN,CIN,0,0
CHN195508110,CHN,CIN,0,0
CHN195508120,CHN,MLN,2,0
CHN195508130,CHN,MLN,0,3
CHN195508140,CHN,MLN,0,0
CHN195509020,CHN,SLN,0,0
CHN195509030,CHN,SLN,0,3
CHN195509040,CHN,SLN,0,0
CHN195509051,CHN,MLN,0,0
CHN195509052,CHN,MLN,0,0
CHN195509070,CHN,PIT,0,0
CHN195509091,CHN,BRO,5,1
CHN195509092,CHN,BRO,0,0
CHN195509100,CHN,BRO,0,0
CHN195509110,CHN,NY1,1,0
CHN195509130,CHN,PHI,0,0
CHN195509170,CHN,CIN,0,0
CHN195509180,CHN,CIN,0,0
