game_id,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,oscorer
DET200303310,MIN,DET,DET05,2003/03/31,0,1:05PM,day,true,reilm901,hohnb901,coope901,timmt901,park,pitches,38,rtol,21,unknown,unknown,cloudy,130,40427,radkb001,marom001,guare001,
DET200304020,MIN,DET,DET05,2003/04/02,0,7:05PM,night,true,hohnb901,coope901,timmt901,reilm901,park,pitches,55,tocf,13,unknown,unknown,cloudy,160,21123,maysj001,bondj001,,
DET200304030,MIN,DET,DET05,2003/04/03,0,1:05PM,day,true,coope901,timmt901,reilm901,hohnb901,park,pitches,39,ltor,9,unknown,unknown,cloudy,120,8862,lohsk001,berna001,guare001,
DET200304090,KCA,DET,DET05,2003/04/09,0,1:05PM,day,true,younl901,relic901,everm901,wendh902,park,pitches,35,ltor,12,unknown,unknown,sunny,179,14286,affej001,bondj001,macdm001,
DET200304100,KCA,DET,DET05,2003/04/10,0,1:05PM,day,true,relic901,everm901,wendh902,younl901,park,pitches,44,fromlf,8,unknown,unknown,sunny,158,9080,asenm001,marom001,macdm001,
DET200304110,CHA,DET,DET05,2003/04/11,0,7:05PM,night,true,bellw901,danlk901,welkb901,hirsj901,park,pitches,65,fromlf,5,unknown,unknown,sunny,130,12577,loaie001,berna001,,
DET200304120,CHA,DET,DET05,2003/04/12,0,1:05PM,day,true,danlk901,welkb901,hirsj901,bellw901,park,pitches,50,ltor,14,unknown,unknown,sunny,183,12985,cornn001,stewj001,andem002,
DET200304130,CHA,DET,DET05,2003/04/13,0,1:05PM,day,true,welkb901,hirsj901,bellw901,danlk901,park,pitches,47,fromcf,6,unknown,unknown,sunny,147,12808,colob001,knotg001,kochb001,
DET200304290,BAL,DET,DET05,2003/04/29,0,7:05PM,night,true,monte901,gormb901,drecb901,rungb901,park,pitches,61,unknown,9,unknown,unknown,cloudy,180,10829,johnj007,bondj001,,
DET200305011,BAL,DET,DET05,2003/05/01,1,1:10PM,day,true,gormb901,rungb901,fichm901,monte901,park,pitches,66,tolf,10,unknown,unknown,cloudy,172,0,ryanb001,germf001,julij001,
DET200305012,BAL,DET,DET05,2003/05/01,2,5:30PM,night,true,drecb901,fichm901,monte901,rungb901,park,pitches,66,ltor,15,unknown,unknown,cloudy,144,16177,daalo001,marom001,julij001,
DET200305020,TBA,DET,DET05,2003/05/02,0,7:05PM,night,true,craft901,culbf901,fostm901,relic901,park,pitches,50,tocf,12,unknown,unknown,cloudy,129,14571,kennj001,knotg001,,
DET200305030,TBA,DET,DET05,2003/05/03,0,1:05PM,day,true,culbf901,fostm901,relic901,craft901,park,pitches,54,ltor,12,unknown,unknown,sunny,191,13371,levia001,ledew001,,
DET200305040,TBA,DET,DET05,2003/05/04,0,1:05PM,day,true,fostm901,relic901,craft901,culbf901,park,pitches,54,ltor,13,unknown,unknown,sunny,134,12956,bondj001,sosaj002,spurc001,
DET200305130,OAK,DET,DET05,2003/05/13,0,7:05PM,night,true,fleta901,brinj901,cousd901,dimum901,park,pitches,68,tolf,10,unknown,unknown,sunny,139,12563,lillt001,marom001,foulk001,
DET200305140,OAK,DET,DET05,2003/05/14,0,7:05PM,night,true,brinj901,cousd901,dimum901,fleta901,park,pitches,67,tolf,9,unknown,unknown,cloudy,153,11091,avers001,rincr001,,
DET200305150,OAK,DET,DET05,2003/05/15,0,7:05PM,night,true,cousd901,dimum901,fleta901,brinj901,park,pitches,59,unknown,8,unknown,unknown,overcast,155,10513,zitob001,berna001,,
DET200305160,SEA,DET,DET05,2003/05/16,0,7:05PM,night,true,vanol901,guccc901,mealj901,darlg901,park,pitches,60,ltor,8,unknown,unknown,cloudy,178,17641,mechg001,bondj001,sasak001,
DET200305170,SEA,DET,DET05,2003/05/17,0,1:05PM,day,true,guccc901,mealj901,darlg901,vanol901,park,pitches,61,ltor,15,unknown,unknown,cloudy,169,23274,moyej001,cornn001,sasak001,
DET200305180,SEA,DET,DET05,2003/05/18,0,1:05PM,day,true,mealj901,darlg901,vanol901,guccc901,park,pitches,55,ltor,13,unknown,unknown,cloudy,135,16263,pinej001,marom001,,
DET200305260,CLE,DET,DET05,2003/05/26,0,1:05PM,day,true,schrp901,herna901,marsr901,holbs901,park,pitches,62,unknown,7,unknown,unknown,cloudy,156,17619,avers001,boydj001,germf001,
DET200305270,CLE,DET,DET05,2003/05/27,0,7:05PM,night,true,herna901,marsr901,holbs901,schrp901,park,pitches,63,unknown,7,unknown,unknown,overcast,153,10844,miced001,walkj001,baezd001,
DET200305280,CLE,DET,DET05,2003/05/28,0,1:05PM,day,true,marsr901,holbs901,schrp901,herna901,park,pitches,64,rtol,7,unknown,unknown,cloudy,153,17388,rodrr005,marom001,,
