game_id,hometeam,visteam,home_first_inning_runs,visiting_first_inning_runs
ANA200303300,ANA,TEX,1,1
ANA200304010,ANA,TEX,2,0
ANA200304020,ANA,TEX,0,0
ANA200304110,ANA,OAK,0,2
ANA200304120,ANA,OAK,0,0
ANA200304130,ANA,OAK,1,0
ANA200304180,ANA,SEA,0,0
ANA200304190,ANA,SEA,1,0
ANA200304200,ANA,SEA,2,0
ANA200304220,ANA,NYA,0,1
ANA200304230,ANA,NYA,0,2
ANA200304240,ANA,NYA,1,0
ANA200304250,ANA,BOS,0,0
ANA200304260,ANA,BOS,0,0
ANA200304270,ANA,BOS,0,2
ANA200305060,ANA,CLE,2,1
ANA200305070,ANA,CLE,0,1
ANA200305080,ANA,CLE,1,0
ANA200305090,ANA,TOR,0,0
ANA200305100,ANA,TOR,0,0
ANA200305110,ANA,TOR,0,1
ANA200305200,ANA,BAL,0,4
ANA200305210,ANA,BAL,0,0
ANA200305220,ANA,BAL,0,0
ANA200305230,ANA,TBA,0,0
ANA200305240,ANA,TBA,0,0
ANA200305250,ANA,TBA,0,0
ANA200306090,ANA,PHI,0,0
ANA200306100,ANA,PHI,0,0
ANA200306110,ANA,PHI,0,0
ANA200306130,ANA,NYN,0,1
ANA200306140,ANA,NYN,2,0
ANA200306150,ANA,NYN,0,0
ANA200306240,ANA,SEA,0,0
ANA200306250,ANA,SEA,0,0
ANA200306260,ANA,SEA,0,0
ANA200306270,ANA,LAN,0,0
ANA200306280,ANA,LAN,0,0
ANA200306290,ANA,LAN,0,0
ANA200306300,ANA,TEX,0,2
ANA200307010,ANA,TEX,1,1
ANA200307020,ANA,TEX,0,0
ANA200307030,ANA,TEX,2,1
ANA200307080,ANA,KCA,0,0
ANA200307090,ANA,KCA,0,0
ANA200307100,ANA,KCA,2,0
ANA200307110,ANA,MIN,0,0
ANA200307120,ANA,MIN,0,0
ANA200307130,ANA,MIN,0,0
ANA200307250,ANA,OAK,0,0
ANA200307260,ANA,OAK,0,2
ANA200307270,ANA,OAK,0,1
ANA200307280,ANA,OAK,0,0
ANA200307290,ANA,NYA,0,4
ANA200307300,ANA,NYA,0,2
ANA200307310,ANA,NYA,0,0
ANA200308010,ANA,TOR,2,0
ANA200308020,ANA,TOR,0,0
ANA200308030,ANA,TOR,0,0
ANA200308110,ANA,CHA,0,0
ANA200308120,ANA,CHA,0,2
ANA200308130,ANA,CHA,0,0
ANA200308140,ANA,CHA,1,0
ANA200308150,ANA,DET,1,0
ANA200308160,ANA,DET,0,0
ANA200308170,ANA,DET,0,1
