game_id,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,howscored,pitches,oscorer,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,htbf
DET201104080,KCA,DET,DET05,2011/04/08,0,3:07PM,day,true,dimum901,fleta901,welkt901,reynj901,park,pitches,marod701,43,ltor,9,unknown,unknown,unknown,180,44799,schem001,davik002,valvj001,
DET201104090,KCA,DET,DET05,2011/04/09,0,4:09PM,day,true,fleta901,welkt901,reynj901,dimum901,park,pitches,marod701,46,fromcf,4,unknown,unknown,unknown,149,33810,chenb001,cokep001,sorij001,
DET201104100,KCA,DET,DET05,2011/04/10,0,1:06PM,day,true,welkt901,reynj901,dimum901,fleta901,park,pitches,marod701,64,rtol,11,unknown,unknown,sunny,182,28984,hochl001,porcr001,sorij001,
DET201104110,TEX,DET,DET05,2011/04/11,0,1:07PM,day,true,carlm901,timmt901,(none),coope901,park,pitches,klonc701,65,fromrf,23,unknown,unknown,unknown,139,18724,ogana001,verlj001,felin001,
DET201104120,TEX,DET,DET05,2011/04/12,0,1:06PM,day,true,timmt901,estam901,coope901,carlm901,park,pitches,klonc701,51,torf,18,unknown,unknown,cloudy,200,20609,valvj001,odayd001,,
DET201104130,TEX,DET,DET05,2011/04/13,0,1:05PM,day,true,estam901,coope901,carlm901,timmt901,park,pitches,klonc701,58,torf,7,unknown,unknown,sunny,192,20526,valvj001,olivd001,,
DET201104220,CHA,DET,DET05,2011/04/22,0,7:17PM,night,true,culbf901,johna901,cedeg901,barkl901,park,pitches,kleir701,41,ltor,17,wet,rain,unknown,150,23537,verlj001,buehm001,,
DET201104230,CHA,DET,DET05,2011/04/23,0,4:13PM,day,true,johna901,cedeg901,barkl901,culbf901,park,pitches,kleir701,72,rtol,22,unknown,unknown,sunny,181,35227,pennb002,jacke001,,
DET201104240,CHA,DET,DET05,2011/04/24,0,1:05PM,day,true,cedeg901,barkl901,culbf901,johna901,park,pitches,marod701,51,ltor,6,unknown,unknown,unknown,139,17784,schem001,dankj001,valvj001,
DET201104260,SEA,DET,DET05,2011/04/26,0,7:06PM,night,true,wolfj901,cousd901,joycj901,kulpr901,park,pitches,klonc701,72,fromrf,22,unknown,unknown,cloudy,162,18027,hernf002,cokep001,,
DET201104270,SEA,DET,DET05,2011/04/27,0,7:07PM,night,true,cousd901,joycj901,kulpr901,wolfj901,park,pitches,klonc701,68,rtol,23,unknown,unknown,unknown,181,18153,bedae001,verlj001,,
DET201104280,SEA,DET,DET05,2011/04/28,0,1:08PM,day,true,joycj901,kulpr901,wolfj901,cousd901,park,pitches,klonc701,49,rtol,30,unknown,unknown,unknown,189,21176,pinem001,pennb002,,
DET201105020,NYA,DET,DET05,2011/05/02,0,7:10PM,night,true,nelsj901,fostm901,welkb901,tscht901,park,pitches,marod701,58,rtol,5,unknown,unknown,unknown,193,22852,chamj002,valvj001,rivem002,
DET201105030,NYA,DET,DET05,2011/05/03,0,7:07PM,night,true,fostm901,welkb901,tscht901,nelsj901,park,pitches,klonc701,46,torf,10,unknown,unknown,unknown,174,23551,pennb002,sabac001,valvj001,
DET201105040,NYA,DET,DET05,2011/05/04,0,7:06PM,night,true,welkb901,tscht901,nelsj901,fostm901,park,pitches,klonc701,58,torf,9,unknown,unknown,cloudy,161,22569,schem001,garcf002,,
DET201105050,NYA,DET,DET05,2011/05/05,0,1:06PM,day,true,tscht901,nelsj901,fostm901,welkb901,park,pitches,klonc701,59,tolf,7,unknown,unknown,sunny,178,30572,porcr001,burna001,,
