game_id,visteam,hometeam,site,date,number,starttime,daynight,innings,tiebreaker,usedh,umphome,ump1b,ump2b,ump3b,umplf,umprf,inputtime,howscored,pitches,oscorer,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,htbf
TOR202206010,CHA,TOR,TOR02,2022/06/01,0,7:07PM,night,9,2,true,bacce901,blakr901,addir901,johna901,(none),(none),2022/09/26 06:25:06,unknown,pitches,starh701,68,fromcf,8,unknown,none,cloudy,194,23312,strir001,kopem001,,
TOR202206020,CHA,TOR,TOR02,2022/06/02,0,3:07PM,day,9,2,true,blakr901,addir901,johna901,bacce901,(none),(none),2022/09/26 06:25:07,unknown,pitches,lajor701,68,unknown,0,unknown,none,dome,185,25250,manoa001,cuetj001,,
TOR202206030,MIN,TOR,TOR02,2022/06/03,0,7:07PM,night,9,2,true,hoyej901,herna901,reybd901,merzd901,(none),(none),2022/09/26 06:25:09,unknown,pitches,lajor701,65,torf,9,unknown,none,cloudy,182,27753,cottj001,kikuy001,,
TOR202206040,MIN,TOR,TOR02,2022/06/04,0,3:07PM,day,9,2,true,herna901,reybd901,merzd901,hoyej901,(none),(none),2022/09/28 09:03:03,unknown,pitches,moreh701,67,fromlf,13,unknown,none,sunny,181,36987,berrj001,bundd001,,
TOR202206050,MIN,TOR,TOR02,2022/06/05,0,1:37PM,day,9,2,true,reybd901,merzd901,hoyej901,herna901,(none),(none),2022/09/26 06:25:11,unknown,pitches,moreh701,70,fromrf,12,unknown,none,sunny,200,34088,cottj001,gausk001,moraj003,
TOR202206130,BAL,TOR,TOR02,2022/06/13,0,7:07PM,night,9,2,true,lives901,whitc901,bakej902,emmep901,(none),(none),2022/09/26 06:25:20,unknown,pitches,starh701,67,fromrf,6,unknown,none,sunny,197,19716,manoa001,bradk001,,
TOR202206140,BAL,TOR,TOR02,2022/06/14,0,7:07PM,night,9,2,true,whitc901,bakej902,emmep901,lives901,(none),(none),2022/09/26 06:25:21,unknown,pitches,moreh701,71,fromrf,6,unknown,none,sunny,192,23106,lylej001,kikuy001,lopej004,
TOR202206150,BAL,TOR,TOR02,2022/06/15,0,7:07PM,night,9,2,true,bakej902,emmep901,lives901,whitc901,(none),(none),2022/09/26 06:25:22,unknown,pitches,starh701,72,ltor,14,unknown,none,sunny,173,19961,cimba001,bautf001,,
TOR202206160,BAL,TOR,TOR02,2022/06/16,0,3:07PM,day,9,2,true,emmep901,lives901,whitc901,bakej902,(none),(none),2022/09/26 06:25:23,unknown,pitches,lajor701,68,unknown,0,unknown,none,dome,178,36832,wellt003,gausk001,,
TOR202206170,NYA,TOR,TOR02,2022/06/17,0,7:07PM,night,9,2,true,guccc901,addir901,willr901,carlm901,(none),(none),2022/09/26 06:25:24,unknown,pitches,lajor701,73,rtol,36,unknown,none,cloudy,201,44688,montj004,strir001,,
TOR202206180,NYA,TOR,TOR02,2022/06/18,0,3:07PM,day,9,2,true,addir901,willr901,carlm901,guccc901,(none),(none),2022/09/26 06:25:26,unknown,pitches,starh701,63,fromlf,28,unknown,none,sunny,185,45055,tailj001,manoa001,,
TOR202206190,NYA,TOR,TOR02,2022/06/19,0,1:37PM,day,9,2,true,willr901,carlm901,guccc901,addir901,(none),(none),2022/09/26 06:25:27,unknown,pitches,lajor701,68,ltor,16,unknown,none,sunny,221,44395,garcy001,peraw002,romaj004,
TOR202206270,BOS,TOR,TOR02,2022/06/27,0,7:07PM,night,9,2,true,laynj901,mahrn901,reybd901,whitc901,(none),(none),2022/09/26 06:25:35,unknown,pitches,starh701,65,fromlf,20,unknown,none,overcast,179,25498,gausk001,seabc001,,
TOR202206280,BOS,TOR,TOR02,2022/06/28,0,7:07PM,night,9,2,true,mahrn901,reybd901,whitc901,laynj901,(none),(none),2022/09/26 06:25:36,unknown,pitches,moreh701,69,tocf,13,unknown,none,sunny,201,27140,romaj004,danit001,,
TOR202206290,BOS,TOR,TOR02,2022/06/29,0,7:07PM,night,9,2,true,reybd901,whitc901,laynj901,mahrn901,(none),(none),2022/09/26 06:25:38,unknown,pitches,starh701,75,fromcf,6,unknown,none,cloudy,234,27601,stram001,pheld001,,
TOR202206300,TBA,TOR,TOR02,2022/06/30,0,7:07PM,night,9,2,true,wegnm901,porta901,rehaj901,moorm901,(none),(none),2022/09/26 06:25:38,unknown,pitches,lajor701,72,tocf,11,unknown,none,cloudy,175,22987,kikuy001,yarbr001,cimba001,
TOR202207010,TBA,TOR,TOR02,2022/07/01,0,3:07PM,day,9,2,true,porta901,rehaj901,moorm901,wegnm901,(none),(none),2022/09/26 06:25:39,unknown,pitches,starh701,78,ltor,6,unknown,none,overcast,178,44445,berrj001,klubc001,,
TOR202207021,TBA,TOR,TOR02,2022/07/02,1,12:07PM,day,9,2,true,rehaj901,becka901,wegnm901,porta901,(none),(none),2022/10/12 09:01:04,unknown,pitches,starh701,71,torf,10,unknown,none,sunny,167,39426,mccls003,lawrc001,,
TOR202207022,TBA,TOR,TOR02,2022/07/02,2,6:07PM,night,9,2,true,moorm901,wegnm901,porta901,becka901,(none),(none),2022/10/12 09:01:04,unknown,pitches,lajor701,81,fromlf,19,unknown,none,cloudy,161,24180,garzr001,hatct001,,
TOR202207030,TBA,TOR,TOR02,2022/07/03,0,1:37PM,day,9,2,true,becka901,moorm901,rehaj901,wegnm901,(none),(none),2022/09/26 06:25:42,unknown,pitches,moreh701,68,tocf,8,unknown,none,sunny,207,35757,baz-s001,strir001,adamj002,
TOR202207120,PHI,TOR,TOR02,2022/07/12,0,7:07PM,night,9,2,true,rehaj901,cejan901,marqa901,barrl901,(none),(none),2022/09/26 06:25:54,unknown,pitches,lajor701,76,fromlf,18,unknown,none,sunny,172,32795,berrj001,famij001,romaj004,
TOR202207130,PHI,TOR,TOR02,2022/07/13,0,7:07PM,night,9,2,true,cejan901,marqa901,barrl901,rehaj901,(none),(none),2022/09/29 09:02:10,unknown,pitches,moreh701,70,fromcf,11,unknown,none,sunny,151,30853,strir001,wheez001,,
TOR202207140,KCA,TOR,TOR02,2022/07/14,0,7:07PM,night,9,2,true,ticht901,sches901,bacoj901,onorb901,(none),(none),2022/09/26 06:25:58,unknown,pitches,lajor701,75,fromlf,4,unknown,none,sunny,180,24426,zerpa001,gausk001,barls001,
TOR202207150,KCA,TOR,TOR02,2022/07/15,0,7:07PM,night,9,2,true,sches901,bacoj901,onorb901,ticht901,(none),(none),2022/09/26 06:25:59,unknown,pitches,moreh701,74,ltor,8,unknown,none,overcast,168,26422,manoa001,greiz001,,
TOR202207160,KCA,TOR,TOR02,2022/07/16,0,3:07PM,day,9,2,true,bacoj901,onorb901,ticht901,sches901,(none),(none),2022/09/26 06:26:00,unknown,pitches,moreh701,79,rtol,9,unknown,none,sunny,209,40135,romaj004,payaj001,,
TOR202207170,KCA,TOR,TOR02,2022/07/17,0,12:05PM,day,9,2,true,onorb901,ticht901,sches901,bacoj901,(none),(none),2022/09/26 06:26:01,unknown,pitches,moreh701,78,fromlf,14,unknown,none,cloudy,141,36681,mayzt001,millw002,romaj004,
TOR202207260,SLN,TOR,TOR02,2022/07/26,0,7:07PM,night,9,2,true,diazl901,onorb901,mahrn901,gibsh902,(none),(none),2022/09/26 06:26:08,unknown,pitches,starh701,71,tocf,4,unknown,none,cloudy,194,39756,mayzt001,hickj002,,
TOR202207270,SLN,TOR,TOR02,2022/07/27,0,7:07PM,night,9,2,true,onorb901,mahrn901,gibsh902,diazl901,(none),(none),2022/09/26 06:26:09,unknown,pitches,starh701,73,tocf,9,unknown,none,cloudy,177,36666,waina001,gausk001,,
TOR202207280,DET,TOR,TOR02,2022/07/28,0,7:07PM,night,9,2,true,marqa901,addir901,tosia901,barrl901,(none),(none),2022/09/26 06:26:10,unknown,pitches,lajor701,80,ltor,17,unknown,none,cloudy,172,27080,kikuy001,alext001,romaj004,
TOR202207290,DET,TOR,TOR02,2022/07/29,0,7:07PM,night,9,2,true,addir901,tosia901,barrl901,marqa901,(none),(none),2022/09/26 06:26:11,unknown,pitches,lajor701,79,fromlf,17,unknown,none,cloudy,200,28046,vestw001,manoa001,sotog003,
TOR202207300,DET,TOR,TOR02,2022/07/30,0,3:07PM,day,9,2,true,tosia901,barrl901,marqa901,addir901,(none),(none),2022/10/06 09:01:27,unknown,pitches,lajor701,75,rtol,10,unknown,none,cloudy,166,42933,richt001,law-d001,romaj004,
TOR202207310,DET,TOR,TOR02,2022/07/31,0,12:05PM,day,9,2,true,barrl901,marqa901,addir901,tosia901,(none),(none),2022/09/26 06:26:13,unknown,pitches,lajor701,73,tocf,7,unknown,none,sunny,139,40298,berrj001,hillg002,romaj004,
TOR202208120,CLE,TOR,TOR02,2022/08/12,0,7:07PM,night,9,2,true,ramoc901,reynj901,libkj901,muchm901,(none),(none),2022/09/26 06:26:26,unknown,pitches,moreh701,75,fromcf,10,unknown,none,sunny,153,41677,quanc001,berrj001,,
TOR202208130,CLE,TOR,TOR02,2022/08/13,0,3:07PM,day,9,2,true,reynj901,libkj901,muchm901,ramoc901,(none),(none),2022/09/26 06:26:28,unknown,pitches,lajor701,76,tocf,11,unknown,none,sunny,175,44977,bassa001,mcket001,romaj004,
TOR202208140,CLE,TOR,TOR02,2022/08/14,0,1:37PM,day,9,2,true,libkj901,muchm901,ramoc901,reynj901,(none),(none),2022/09/26 06:26:30,unknown,pitches,moreh701,75,rtol,16,unknown,none,sunny,174,41002,biebs001,gausk001,,
TOR202208150,BAL,TOR,TOR02,2022/08/15,0,7:07PM,night,9,2,true,segac901,emmep901,moorm901,hobep901,(none),(none),2022/10/12 09:01:05,unknown,pitches,starh701,77,fromrf,8,unknown,none,sunny,200,26769,bakeb001,kikuy001,,
