game_id,date,hometeam,visteam,home_first_inning_runs,visiting_first_inning_runs
ANA202204080,2022-04-08,ANA,HOU,2,1
ANA202204090,2022-04-09,ANA,HOU,0,0
ANA202204100,2022-04-10,ANA,HOU,0,0
ANA202204110,2022-04-11,ANA,MIA,3,0
ANA202204120,2022-04-12,ANA,MIA,0,0
ANA202204220,2022-04-22,ANA,BAL,0,0
ANA202204230,2022-04-23,ANA,BAL,1,2
ANA202204240,2022-04-24,ANA,BAL,6,0
ANA202204250,2022-04-25,ANA,CLE,0,0
ANA202204260,2022-04-26,ANA,CLE,0,0
ANA202204270,2022-04-27,ANA,CLE,2,2
ANA202204280,2022-04-28,ANA,CLE,0,0
ANA202205060,2022-05-06,ANA,WAS,1,0
ANA202205070,2022-05-07,ANA,WAS,0,1
ANA202205080,2022-05-08,ANA,WAS,0,0
ANA202205090,2022-05-09,ANA,TBA,0,0
ANA202205100,2022-05-10,ANA,TBA,2,0
ANA202205110,2022-05-11,ANA,TBA,0,0
ANA202205200,2022-05-20,ANA,OAK,1,1
ANA202205210,2022-05-21,ANA,OAK,0,0
ANA202205220,2022-05-22,ANA,OAK,1,0
ANA202205240,2022-05-24,ANA,TEX,0,0
ANA202205250,2022-05-25,ANA,TEX,1,1
ANA202205260,2022-05-26,ANA,TOR,0,1
ANA202205270,2022-05-27,ANA,TOR,0,0
ANA202205280,2022-05-28,ANA,TOR,0,1
ANA202205290,2022-05-29,ANA,TOR,1,0
ANA202206060,2022-06-06,ANA,BOS,0,0
ANA202206070,2022-06-07,ANA,BOS,2,0
ANA202206080,2022-06-08,ANA,BOS,0,0
ANA202206090,2022-06-09,ANA,BOS,0,0
ANA202206100,2022-06-10,ANA,NYN,0,0
ANA202206110,2022-06-11,ANA,NYN,2,0
ANA202206120,2022-06-12,ANA,NYN,1,0
ANA202206200,2022-06-20,ANA,KCA,0,2
ANA202206210,2022-06-21,ANA,KCA,0,1
ANA202206220,2022-06-22,ANA,KCA,0,0
ANA202206240,2022-06-24,ANA,SEA,0,1
ANA202206250,2022-06-25,ANA,SEA,0,1
ANA202206260,2022-06-26,ANA,SEA,0,0
ANA202206270,2022-06-27,ANA,CHA,0,0
ANA202206280,2022-06-28,ANA,CHA,0,0
ANA202206290,2022-06-29,ANA,CHA,2,0
ANA202207120,2022-07-12,ANA,HOU,1,2
ANA202207130,2022-07-13,ANA,HOU,0,0
ANA202207140,2022-07-14,ANA,HOU,0,2
ANA202207150,2022-07-15,ANA,LAN,0,2
ANA202207160,2022-07-16,ANA,LAN,0,1
ANA202207280,2022-07-28,ANA,TEX,0,0
ANA202207290,2022-07-29,ANA,TEX,0,0
ANA202207300,2022-07-30,ANA,TEX,0,0
ANA202207310,2022-07-31,ANA,TEX,1,1
ANA202208020,2022-08-02,ANA,OAK,1,0
ANA202208030,2022-08-03,ANA,OAK,0,0
ANA202208040,2022-08-04,ANA,OAK,1,0
ANA202208120,2022-08-12,ANA,MIN,0,0
ANA202208130,2022-08-13,ANA,MIN,0,1
ANA202208140,2022-08-14,ANA,MIN,0,2
ANA202208150,2022-08-15,ANA,SEA,1,1
ANA202208160,2022-08-16,ANA,SEA,1,0
ANA202208170,2022-08-17,ANA,SEA,0,0
ANA202208290,2022-08-29,ANA,NYA,0,0
ANA202208300,2022-08-30,ANA,NYA,0,1
ANA202208310,2022-08-31,ANA,NYA,0,0
ANA202209020,2022-09-02,ANA,HOU,0,0
ANA202209030,2022-09-03,ANA,HOU,0,0
ANA202209040,2022-09-04,ANA,HOU,0,0
ANA202209050,2022-09-05,ANA,DET,2,0
ANA202209060,2022-09-06,ANA,DET,1,0
ANA202209070,2022-09-07,ANA,DET,0,0
ANA202209160,2022-09-16,ANA,SEA,2,1
ANA202209170,2022-09-17,ANA,SEA,1,0
ANA202209180,2022-09-18,ANA,SEA,1,0
ANA202209190,2022-09-19,ANA,SEA,0,1
ANA202209270,2022-09-27,ANA,OAK,0,0
ANA202209280,2022-09-28,ANA,OAK,0,1
ANA202209290,2022-09-29,ANA,OAK,2,0
ANA202209300,2022-09-30,ANA,TEX,0,0
ANA202210010,2022-10-01,ANA,TEX,0,0
ANA202210020,2022-10-02,ANA,TEX,6,0
ARI202204080,2022-04-08,ARI,SDN,0,0
ARI202204090,2022-04-09,ARI,SDN,1,0
ARI202204100,2022-04-10,ARI,SDN,0,0
ARI202204120,2022-04-12,ARI,HOU,0,0
ARI202204130,2022-04-13,ARI,HOU,0,0
ARI202204220,2022-04-22,ARI,NYN,0,0
ARI202204230,2022-04-23,ARI,NYN,1,0
ARI202204240,2022-04-24,ARI,NYN,0,1
ARI202204250,2022-04-25,ARI,LAN,0,2
ARI202204260,2022-04-26,ARI,LAN,0,3
ARI202204270,2022-04-27,ARI,LAN,0,0
ARI202205060,2022-05-06,ARI,COL,0,1
ARI202205070,2022-05-07,ARI,COL,0,0
ARI202205080,2022-05-08,ARI,COL,0,0
ARI202205090,2022-05-09,ARI,MIA,2,0
ARI202205100,2022-05-10,ARI,MIA,2,2
ARI202205110,2022-05-11,ARI,MIA,0,2
ARI202205130,2022-05-13,ARI,CHN,0,0
ARI202205140,2022-05-14,ARI,CHN,0,0
