rank,team,curr_year,last_3,last_1,home,away,prev_year
1,LAN,0.333,0.307,0.308,0.335,0.33,0.329
2,NYN,0.331,0.283,0.069,0.329,0.334,0.315
3,TOR,0.329,0.331,0.409,0.326,0.331,0.33
4,SLN,0.324,0.262,0.25,0.326,0.322,0.313
5,NYA,0.321,0.236,0.289,0.325,0.318,0.322
6,BOS,0.321,0.354,0.389,0.331,0.311,0.329
7,HOU,0.318,0.321,0.313,0.329,0.308,0.338
8,MIN,0.317,0.304,0.381,0.325,0.309,0.314
9,SDN,0.316,0.248,0.25,0.308,0.323,0.321
10,ATL,0.316,0.194,0.129,0.323,0.309,0.319
11,COL,0.315,0.241,0.182,0.345,0.284,0.317
12,SFN,0.315,0.319,0.386,0.322,0.309,0.326
12,MIL,0.315,0.303,0.286,0.324,0.307,0.316
14,PHI,0.314,0.223,0.188,0.325,0.304,0.318
15,CLE,0.314,0.291,0.25,0.319,0.31,0.303
16,SEA,0.314,0.264,0.172,0.305,0.322,0.303
17,CHN,0.311,0.307,0.458,0.322,0.301,0.311
18,CHA,0.31,0.262,0.289,0.31,0.311,0.337
19,WAS,0.31,0.257,0.257,0.301,0.319,0.337
20,TBA,0.307,0.236,0.204,0.311,0.303,0.32
21,KCA,0.307,0.19,0.206,0.318,0.296,0.306
22,BAL,0.305,0.278,0.257,0.307,0.304,0.304
23,ARI,0.304,0.245,0.306,0.307,0.301,0.309
24,CIN,0.304,0.311,0.3,0.321,0.287,0.328
25,TEX,0.301,0.31,0.4,0.306,0.296,0.294
26,ANA,0.297,0.268,0.242,0.308,0.286,0.31
27,MIA,0.294,0.345,0.463,0.302,0.286,0.298
28,PIT,0.291,0.386,0.412,0.303,0.28,0.309
29,DET,0.286,0.286,0.27,0.292,0.281,0.308
30,OAK,0.281,0.287,0.194,0.278,0.283,0.317
