game_id,date,hometeam,visteam,home_first_inning_runs,visiting_first_inning_runs
ANA201404010,2014-04-01,ANA,SEA,0,0
ANA201404110,2014-04-11,ANA,NYN,1,1
ANA201404140,2014-04-14,ANA,OAK,1,0
ANA201404280,2014-04-28,ANA,CLE,1,0
ANA201405020,2014-05-02,ANA,TEX,0,0
ANA201405050,2014-05-05,ANA,NYA,0,0
ANA201405150,2014-05-15,ANA,TBA,0,0
ANA201405190,2014-05-19,ANA,HOU,0,3
ANA201405230,2014-05-23,ANA,KCA,0,1
ANA201406060,2014-06-06,ANA,CHA,2,0
ANA201406090,2014-06-09,ANA,OAK,0,0
ANA201406200,2014-06-20,ANA,TEX,0,0
ANA201406240,2014-06-24,ANA,MIN,5,0
ANA201407030,2014-07-03,ANA,HOU,1,0
ANA201407070,2014-07-07,ANA,TOR,0,0
ANA201407180,2014-07-18,ANA,SEA,0,0
ANA201407210,2014-07-21,ANA,BAL,1,2
ANA201407240,2014-07-24,ANA,DET,0,0
ANA201408060,2014-08-06,ANA,LAN,0,0
ANA201408080,2014-08-08,ANA,BOS,0,0
ANA201408120,2014-08-12,ANA,PHI,0,0
ANA201408250,2014-08-25,ANA,MIA,0,0
ANA201408280,2014-08-28,ANA,OAK,0,0
ANA201409120,2014-09-12,ANA,HOU,0,1
ANA201409150,2014-09-15,ANA,SEA,0,0
ANA201409190,2014-09-19,ANA,TEX,0,3
ARI201403230,2014-03-23,ARI,LAN,0,1
ARI201404010,2014-04-01,ARI,SFN,2,4
ARI201404110,2014-04-11,ARI,LAN,0,2
ARI201404140,2014-04-14,ARI,NYN,1,0
ARI201404250,2014-04-25,ARI,PHI,0,0
ARI201404280,2014-04-28,ARI,COL,0,1
ARI201405120,2014-05-12,ARI,WAS,0,1
ARI201405160,2014-05-16,ARI,LAN,0,0
ARI201405260,2014-05-26,ARI,SDN,0,0
ARI201405290,2014-05-29,ARI,CIN,1,0
ARI201406060,2014-06-06,ARI,ATL,1,0
ARI201406090,2014-06-09,ARI,HOU,0,2
ARI201406160,2014-06-16,ARI,MIL,0,0
ARI201406200,2014-06-20,ARI,SFN,0,1
ARI201406240,2014-06-24,ARI,CLE,1,0
ARI201407070,2014-07-07,ARI,MIA,0,0
ARI201407180,2014-07-18,ARI,CHN,0,0
ARI201407210,2014-07-21,ARI,DET,0,0
ARI201407310,2014-07-31,ARI,PIT,0,0
ARI201408050,2014-08-05,ARI,KCA,1,0
ARI201408080,2014-08-08,ARI,COL,3,0
ARI201408220,2014-08-22,ARI,SDN,3,0
ARI201408260,2014-08-26,ARI,LAN,0,2
ARI201408290,2014-08-29,ARI,COL,0,0
ARI201409120,2014-09-12,ARI,SDN,1,0
ARI201409150,2014-09-15,ARI,SFN,0,0
ARI201409260,2014-09-26,ARI,SLN,2,0
ATL201404080,2014-04-08,ATL,NYN,0,0
ATL201404110,2014-04-11,ATL,WAS,0,0
ATL201404210,2014-04-21,ATL,MIA,0,0
ATL201404250,2014-04-25,ATL,CIN,3,0
ATL201405020,2014-05-02,ATL,SFN,0,1
ATL201405050,2014-05-05,ATL,SLN,0,0
ATL201405090,2014-05-09,ATL,CHN,0,0
ATL201405190,2014-05-19,ATL,MIL,1,0
ATL201405230,2014-05-23,ATL,COL,0,0
ATL201405260,2014-05-26,ATL,BOS,0,0
ATL201406030,2014-06-03,ATL,SEA,4,0
ATL201406130,2014-06-13,ATL,ANA,4,0
ATL201406160,2014-06-16,ATL,PHI,0,0
ATL201406300,2014-06-30,ATL,NYN,0,1
ATL201407040,2014-07-04,ATL,ARI,2,0
ATL201407180,2014-07-18,ATL,PHI,0,0
ATL201407210,2014-07-21,ATL,MIA,0,0
ATL201407250,2014-07-25,ATL,SDN,0,1
ATL201408080,2014-08-08,ATL,WAS,2,0
ATL201408110,2014-08-11,ATL,LAN,0,0
ATL201408150,2014-08-15,ATL,OAK,0,0
ATL201408290,2014-08-29,ATL,MIA,0,0
ATL201409010,2014-09-01,ATL,PHI,0,0
ATL201409150,2014-09-15,ATL,WAS,0,0
ATL201409190,2014-09-19,ATL,NYN,0,0
ATL201409220,2014-09-22,ATL,PIT,0,0
BAL201404020,2014-04-02,BAL,BOS,0,0
BAL201404110,2014-04-11,BAL,TOR,0,0
BAL201404140,2014-04-14,BAL,TBA,1,0
BAL201404250,2014-04-25,BAL,KCA,0,2
BAL201405011,2014-05-01,BAL,PIT,0,0
BAL201405090,2014-05-09,BAL,HOU,0,0
BAL201405120,2014-05-12,BAL,DET,0,0
BAL201405220,2014-05-22,BAL,CLE,0,0
BAL201406060,2014-06-06,BAL,OAK,0,1
BAL201406090,2014-06-09,BAL,BOS,1,0
BAL201406120,2014-06-12,BAL,TOR,2,0
BAL201406230,2014-06-23,BAL,CHA,2,0
BAL201406272,2014-06-27,BAL,TBA,0,0
BAL201406300,2014-06-30,BAL,TEX,3,0
BAL201407090,2014-07-09,BAL,WAS,1,2
BAL201407110,2014-07-11,BAL,NYA,0,0
BAL201407290,2014-07-29,BAL,ANA,2,1
BAL201408010,2014-08-01,BAL,SEA,0,0
BAL201408080,2014-08-08,BAL,SLN,0,0
