game_id,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,howscored,pitches,oscorer,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save
SEA201404080,ANA,SEA,SEA03,2014/04/08,0,7:12PM,night,true,muchm901,wintm901,fleta901,bucks901,park,pitches,peted701,56,unknown,1,dry,none,dome,179,45661,paxtj001,santh001,rodnf001
SEA201404090,ANA,SEA,SEA03,2014/04/09,0,7:10PM,night,true,wintm901,fleta901,bucks901,muchm901,park,pitches,radoe701,56,torf,3,unknown,unknown,sunny,173,16437,richg002,eliar001,friee001
SEA201404110,OAK,SEA,SEA03,2014/04/11,0,7:10PM,night,true,guccc901,hobep901,hallt901,coope901,park,pitches,padud701,60,ltor,2,unknown,unknown,cloudy,189,38968,hernf002,milot001,rodnf001
SEA201404120,OAK,SEA,SEA03,2014/04/12,0,6:12PM,night,true,hobep901,hallt901,coope901,guccc901,park,pitches,radoe701,59,ltor,3,unknown,unknown,sunny,188,22061,grays001,ramie004,gregl001
SEA201404130,OAK,SEA,SEA03,2014/04/13,0,1:11PM,day,true,hallt901,coope901,guccc901,hobep901,park,pitches,padud701,62,tocf,6,unknown,unknown,sunny,164,22628,oterd001,furbc001,dools001
SEA201404210,HOU,SEA,SEA03,2014/04/21,0,7:10PM,night,true,diazl901,barrs901,nelsj901,pattm903,park,pitches,radoe701,54,ltor,6,unknown,unknown,unknown,169,14630,keucd001,hernf002,
SEA201404220,HOU,SEA,SEA03,2014/04/22,0,7:10PM,night,true,barrs901,nelsj901,pattm903,diazl901,park,pitches,padud701,51,torf,4,unknown,unknown,unknown,182,10466,mchuc001,ramie004,fielj002
SEA201404230,HOU,SEA,SEA03,2014/04/23,0,12:42PM,day,true,nelsj901,pattm903,diazl901,barrs901,park,pitches,peted701,53,fromlf,2,unknown,unknown,unknown,170,13739,rodnf001,fielj002,
SEA201404250,TEX,SEA,SEA03,2014/04/25,0,7:10PM,night,true,wendh902,estam901,morag901,dimum901,park,pitches,radoe701,55,fromlf,6,unknown,unknown,cloudy,175,31145,mediy001,cottn001,rodnf001
SEA201404260,TEX,SEA,SEA03,2014/04/26,0,6:10PM,night,true,estam901,morag901,dimum901,wendh902,park,pitches,peted701,56,tolf,3,unknown,unknown,unknown,193,30038,porea001,furbc001,sorij001
SEA201404270,TEX,SEA,SEA03,2014/04/27,0,1:12PM,day,true,morag901,dimum901,wendh902,estam901,park,pitches,radoe701,52,fromrf,6,unknown,unknown,unknown,190,26300,farqd001,ogana001,rodnf001
SEA201405080,KCA,SEA,SEA03,2014/05/08,0,7:10PM,night,true,pattm903,diazl901,barrs901,nelsj901,park,pitches,radoe701,57,unknown,0,dry,none,dome,145,12577,iwakh001,duffd001,rodnf001
SEA201405090,KCA,SEA,SEA03,2014/05/09,0,7:12PM,night,true,diazl901,barrs901,nelsj901,pattm903,park,pitches,padud701,54,unknown,0,unknown,unknown,cloudy,165,20858,vargj001,maurb001,
SEA201405100,KCA,SEA,SEA03,2014/05/10,0,6:10PM,night,true,barrs901,nelsj901,pattm903,diazl901,park,pitches,peted701,58,ltor,1,unknown,unknown,unknown,138,29359,younc003,venty001,rodnf001
SEA201405110,KCA,SEA,SEA03,2014/05/11,0,1:10PM,day,true,pattm903,diazl901,barrs901,nelsj901,park,pitches,radoe701,60,torf,6,unknown,unknown,cloudy,181,30447,colel001,farqd001,hollg001
SEA201405120,TBA,SEA,SEA03,2014/05/12,0,7:10PM,night,true,rippm901,cedeg901,danlk901,barkl901,park,pitches,radoe701,76,torf,2,unknown,unknown,sunny,190,12392,hernf002,ramoc001,
SEA201405130,TBA,SEA,SEA03,2014/05/13,0,7:11PM,night,true,cedeg901,danlk901,barkl901,rippm901,park,pitches,peted701,75,fromcf,5,unknown,unknown,sunny,168,13446,pricd001,rodnf001,
SEA201405140,TBA,SEA,SEA03,2014/05/14,0,12:43PM,day,true,danlk901,barkl901,rippm901,cedeg901,park,pitches,padud701,74,ltor,3,unknown,unknown,sunny,201,20951,odorj001,maurb001,balfg001
SEA201405220,HOU,SEA,SEA03,2014/05/22,0,7:10PM,night,true,nauep901,coope901,barbs901,hallt901,park,pitches,radoe701,71,unknown,1,unknown,unknown,unknown,189,13836,leond003,cosaj001,rodnf001
SEA201405230,HOU,SEA,SEA03,2014/05/23,0,7:10PM,night,true,coope901,barbs901,hallt901,nauep901,park,pitches,radoe701,69,fromrf,2,unknown,unknown,cloudy,160,21192,hernf002,owenr001,
SEA201405240,HOU,SEA,SEA03,2014/05/24,0,7:11PM,night,true,barbs901,hallt901,nauep901,coope901,park,pitches,padud701,65,torf,2,unknown,unknown,cloudy,198,21585,oberb001,maurb001,
SEA201405250,HOU,SEA,SEA03,2014/05/25,0,1:10PM,day,true,hallt901,nauep901,coope901,barbs901,park,pitches,radoe701,61,unknown,1,dry,none,dome,148,26839,keucd001,iwakh001,
SEA201405260,ANA,SEA,SEA03,2014/05/26,0,1:12PM,day,true,buckc901,gibsh902,scotd901,iassd901,park,pitches,padud701,64,unknown,0,unknown,unknown,cloudy,160,22710,younc003,skagt001,
SEA201405270,ANA,SEA,SEA03,2014/05/27,0,7:10PM,night,true,gibsh902,scotd901,iassd901,buckc901,park,pitches,radoe701,64,torf,6,unknown,unknown,sunny,183,13064,weavj003,eliar001,friee001
SEA201405280,ANA,SEA,SEA03,2014/05/28,0,7:10PM,night,true,scotd901,iassd901,buckc901,gibsh902,park,pitches,peted701,63,unknown,0,dry,none,dome,150,13895,hernf002,wilsc004,rodnf001
