game_id,date,hometeam,visteam,home_first_inning_runs,visiting_first_inning_runs,home_ERA,vis_ERA,home_travel,vis_travel,home_last_location,visiting_last_location
ARI201403230,2014-03-23,ARI,LAN,0,1,5.61,3.38,1e-06,1e-06,ARI,ARI
ARI201404010,2014-04-01,ARI,SFN,2,4,4.34,,1e-06,1e-06,ARI,ARI
TEX201404010,2014-04-01,TEX,PHI,0,0,3.25,4.4,1e-06,1e-06,TEX,TEX
SDN201404010,2014-04-01,SDN,LAN,0,2,3.63,2.71,1e-06,1e-06,SDN,SDN
TBA201404010,2014-04-01,TBA,TOR,0,3,2.87,4.48,1e-06,1e-06,TBA,TBA
MIA201404010,2014-04-01,MIA,COL,0,0,4.37,2.91,1e-06,1e-06,MIA,MIA
ANA201404010,2014-04-01,ANA,SEA,0,0,4.51,5.26,1e-06,1e-06,ANA,ANA
MIL201404010,2014-04-01,MIL,ATL,1,0,3.54,2.78,1e-06,1e-06,MIL,MIL
HOU201404020,2014-04-02,HOU,NYA,1,0,3.69,3.71,1e-06,1e-06,HOU,HOU
CHA201404020,2014-04-02,CHA,MIN,0,0,5.56,,1e-06,1e-06,CHA,CHA
OAK201404021,2014-04-02,OAK,CLE,1,0,3.55,2.44,1e-06,1e-06,OAK,OAK
OAK201404022,2014-04-02,OAK,CLE,2,0,7.09,2.07,1e-06,1e-06,OAK,OAK
SDN201404020,2014-04-02,SDN,LAN,0,3,2.81,4.02,1e-06,1e-06,SDN,SDN
ANA201404020,2014-04-02,ANA,SEA,0,0,3.75,3.04,1e-06,1e-06,ANA,ANA
BAL201404020,2014-04-02,BAL,BOS,0,0,4.81,3.82,1e-06,1e-06,BAL,BAL
ARI201404020,2014-04-02,ARI,SFN,0,0,5.61,3.57,1e-06,1e-06,ARI,ARI
DET201404020,2014-04-02,DET,KCA,0,0,2.51,3.86,1e-06,1e-06,DET,DET
NYN201404020,2014-04-02,NYN,WAS,1,0,4.09,3.57,1e-06,1e-06,NYN,NYN
MIL201404020,2014-04-02,MIL,ATL,0,0,3.64,3.57,1e-06,1e-06,MIL,MIL
PIT201404020,2014-04-02,PIT,CHN,0,0,5.23,4.64,1e-06,1e-06,PIT,PIT
MIA201404020,2014-04-02,MIA,COL,1,3,2.65,4.33,1e-06,1e-06,MIA,MIA
TBA201404020,2014-04-02,TBA,TOR,0,0,2.7,3.39,1e-06,1e-06,TBA,TBA
CIN201404020,2014-04-02,CIN,SLN,0,0,4.88,4.03,1e-06,1e-06,CIN,CIN
TEX201404020,2014-04-02,TEX,PHI,0,1,6.75,2.04,1e-06,1e-06,TEX,TEX
CHA201404030,2014-04-03,CHA,MIN,0,0,5.03,3.4,1e-06,1e-06,CHA,CHA
TBA201404030,2014-04-03,TBA,TOR,0,0,3.33,5.67,1e-06,1e-06,TBA,TBA
CIN201404030,2014-04-03,CIN,SLN,3,0,3.71,2.74,1e-06,1e-06,CIN,CIN
HOU201404030,2014-04-03,HOU,NYA,1,0,4.39,8.27,1e-06,1e-06,HOU,HOU
NYN201404030,2014-04-03,NYN,WAS,2,0,3.54,2.85,1e-06,1e-06,NYN,NYN
MIA201404030,2014-04-03,MIA,COL,1,1,2.11,4.87,1e-06,1e-06,MIA,MIA
ARI201404030,2014-04-03,ARI,SFN,2,1,4.34,2.58,1e-06,1e-06,ARI,ARI
BAL201404030,2014-04-03,BAL,BOS,0,0,3.54,5.54,1e-06,1e-06,BAL,BAL
PIT201404030,2014-04-03,PIT,CHN,0,1,6.75,3.47,1e-06,1e-06,PIT,PIT
OAK201404030,2014-04-03,OAK,SEA,0,1,2.35,4.75,1e-06,592.0809005913671,OAK,ANA
LAN201404040,2014-04-04,LAN,SFN,0,6,3.38,3.36,179.52869961196944,574.8341159449532,SDN,ARI
CLE201404040,2014-04-04,CLE,MIN,0,2,2.86,7.99,3466.040146226439,494.38381964269325,OAK,CHA
COL201404040,2014-04-04,COL,ARI,1,0,5.38,4.87,2773.388608504832,942.6579354569091,MIA,ARI
KCA201404040,2014-04-04,KCA,CHA,3,1,4.13,6.46,1034.95696626315,663.9206411727051,DET,CHA
TBA201404040,2014-04-04,TBA,TEX,1,0,4.13,6.7,1e-06,1496.616116420437,TBA,TEX
PIT201404040,2014-04-04,PIT,SLN,0,0,3.65,3.74,1e-06,415.25842934625814,PIT,CIN
WAS201404040,2014-04-04,WAS,ATL,0,0,2.18,4.57,326.3648041771951,1025.9779093655507,NYN,MIL
CHN201404040,2014-04-04,CHN,PHI,0,0,5.03,,660.0502267315369,1309.650558347085,PIT,TEX
MIA201404040,2014-04-04,MIA,SDN,2,0,3.81,4.3,1e-06,3647.9520321048794,MIA,SDN
