game_id,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,howscored,pitches,oscorer,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,htbf
BOS201704030,PIT,BOS,BOS07,2017/04/03,0,2:06PM,day,true,demud901,nauep901,guccc901,torrc901,park,pitches,shalm701,48,fromrf,13,unknown,unknown,cloudy,183,36594,porcr001,coleg001,kimbc001,
BOS201704050,PIT,BOS,BOS07,2017/04/05,0,7:10PM,night,true,nauep901,guccc901,torrc901,demud901,park,pitches,shalm701,40,fromrf,8,unknown,unknown,unknown,233,36137,kellj001,basta001,,
BOS201704110,BAL,BOS,BOS07,2017/04/11,0,7:10PM,night,true,coope901,johna901,morag901,cedeg901,park,pitches,ellib701,74,tolf,16,unknown,unknown,unknown,195,37497,pomed001,bundd001,,
BOS201704120,BAL,BOS,BOS07,2017/04/12,0,7:10PM,night,true,johna901,morag901,cedeg901,coope901,park,pitches,scogc701,51,rtol,6,unknown,unknown,unknown,226,32211,givem001,wrigs001,,
BOS201704130,PIT,BOS,BOS07,2017/04/13,0,2:06PM,day,true,morag901,cedeg901,coope901,johna901,park,pitches,shalm701,53,torf,15,unknown,unknown,cloudy,195,32400,barnm001,nicaj001,kimbc001,
BOS201704140,TBA,BOS,BOS07,2017/04/14,0,7:10PM,night,true,barkl901,tumpj901,barrt901,herna901,park,pitches,scogc701,53,fromrf,9,unknown,unknown,sunny,217,36813,archc001,porcr001,,
BOS201704150,TBA,BOS,BOS07,2017/04/15,0,4:06PM,day,true,tumpj901,barrt901,herna901,barkl901,park,pitches,scogc701,69,tocf,23,unknown,unknown,cloudy,174,36686,salec001,huntt002,kimbc001,
BOS201704160,TBA,BOS,BOS07,2017/04/16,0,1:35PM,day,true,barrt901,herna901,barkl901,tumpj901,park,pitches,shalm701,85,torf,23,unknown,unknown,sunny,226,36209,kellj001,farqd001,kimbc001,
BOS201704170,TBA,BOS,BOS07,2017/04/17,0,11:06AM,day,true,herna901,barkl901,tumpj901,barrt901,park,pitches,shalm701,70,torf,15,unknown,unknown,cloudy,187,37318,wrigs001,snelb001,kimbc001,
BOS201704260,NYA,BOS,BOS07,2017/04/26,0,7:10PM,night,true,culbf901,carlm901,gonzm901,barkl901,park,pitches,shalm701,53,fromcf,8,unknown,unknown,unknown,196,32072,sevel001,porcr001,chapa001,
BOS201704270,NYA,BOS,BOS07,2017/04/27,0,7:10PM,night,true,carlm901,gonzm901,barkl901,culbf901,park,pitches,ellib701,53,fromrf,10,unknown,unknown,unknown,141,34054,tanam001,salec001,,
BOS201704280,CHN,BOS,BOS07,2017/04/28,0,7:11PM,night,true,everm901,welkb901,drecb901,bakej902,park,pitches,scogc701,81,tocf,13,unknown,unknown,cloudy,208,37054,pomed001,arrij001,kimbc001,
BOS201704290,CHN,BOS,BOS07,2017/04/29,0,4:05PM,day,true,welkb901,drecb901,bakej902,everm901,park,pitches,shalm701,83,torf,20,unknown,unknown,unknown,180,36776,lackj001,wrigs001,daviw001,
