rank,team,curr_year,last_3,last_1,home,away,prev_year
1,HOU,0.342,0.317,0.243,0.342,0.343,0.319
2,COL,0.338,0.351,0.359,0.364,0.313,0.336
3,CLE,0.336,0.212,0.212,0.34,0.333,0.326
4,NYA,0.335,0.267,0.156,0.343,0.327,0.315
5,LAN,0.335,0.333,0.316,0.334,0.336,0.319
6,MIN,0.334,0.315,0.333,0.347,0.322,0.316
7,SLN,0.334,0.253,0.152,0.339,0.329,0.325
8,CHN,0.333,0.214,0.156,0.342,0.324,0.339
9,WAS,0.331,0.336,0.479,0.352,0.311,0.326
10,MIA,0.331,0.413,0.308,0.332,0.33,0.322
11,BOS,0.33,0.357,0.351,0.341,0.318,0.347
12,ARI,0.329,0.252,0.133,0.35,0.309,0.32
13,CIN,0.329,0.296,0.297,0.335,0.323,0.316
14,ATL,0.326,0.356,0.381,0.325,0.327,0.321
15,SEA,0.325,0.316,0.235,0.334,0.317,0.326
16,DET,0.324,0.24,0.219,0.341,0.306,0.331
17,MIL,0.322,0.347,0.25,0.318,0.326,0.322
18,NYN,0.32,0.328,0.229,0.31,0.33,0.315
19,TEX,0.32,0.349,0.257,0.347,0.293,0.32
20,OAK,0.319,0.31,0.342,0.327,0.312,0.304
21,PIT,0.318,0.35,0.479,0.325,0.311,0.332
22,TBA,0.317,0.386,0.378,0.322,0.312,0.307
23,ANA,0.315,0.327,0.306,0.318,0.312,0.322
24,PHI,0.315,0.347,0.439,0.322,0.307,0.301
25,CHA,0.314,0.2,0.152,0.315,0.312,0.317
26,TOR,0.312,0.191,0.133,0.314,0.311,0.327
27,BAL,0.312,0.202,0.097,0.323,0.3,0.316
28,KCA,0.311,0.294,0.216,0.315,0.308,0.312
29,SFN,0.309,0.366,0.303,0.308,0.309,0.328
30,SDN,0.299,0.303,0.359,0.306,0.293,0.299
