game_id,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,howscored,pitches,oscorer,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,htbf
CIN201005290,HOU,CIN,CIN09,2010/05/29,0,7:10PM,night,false,mcclt901,everm901,fleta901,johna901,park,pitches,rothr701,87,fromlf,3,unknown,unknown,sunny,152,36918,haraa001,moehb001,,
CIN201005300,HOU,CIN,CIN09,2010/05/30,0,1:11PM,day,false,everm901,fleta901,johna901,mcclt901,park,pitches,rothr701,86,unknown,1,unknown,unknown,cloudy,192,36038,lyonb003,owinm001,lindm001,
CIN201006070,SFN,CIN,CIN09,2010/06/07,0,7:13PM,night,false,emmep901,hohnb901,darlg901,drecb901,park,pitches,rothr701,74,ltor,15,unknown,unknown,cloudy,180,18457,romos001,herrd001,wilsb001,
CIN201006080,SFN,CIN,CIN09,2010/06/08,0,7:10PM,night,false,hohnb901,darlg901,drecb901,emmep901,park,pitches,rothr701,75,rtol,5,unknown,unknown,unknown,170,13011,cainm001,lecus001,,
CIN201006090,SFN,CIN,CIN09,2010/06/09,0,7:10PM,night,false,darlg901,drecb901,emmep901,hohnb901,park,pitches,camem701,80,rtol,9,unknown,unknown,cloudy,160,14700,haraa001,sancj002,,
CIN201006100,SFN,CIN,CIN09,2010/06/10,0,12:35PM,day,false,drecb901,emmep901,hohnb901,darlg901,park,pitches,denip701,81,rtol,8,unknown,unknown,cloudy,208,19241,rhoda001,motag001,cordf002,
CIN201006110,KCA,CIN,CIN09,2010/06/11,0,7:10PM,night,false,dimum901,welkt901,reynj901,welkb901,park,pitches,rothr701,83,tolf,10,unknown,unknown,cloudy,209,25847,martv002,owinm001,sorij001,
CIN201006120,KCA,CIN,CIN09,2010/06/12,0,7:10PM,night,false,welkt901,reynj901,welkb901,dimum901,park,pitches,jonem701,86,unknown,7,unknown,unknown,cloudy,178,34240,cuetj001,bannb001,,
CIN201006130,KCA,CIN,CIN09,2010/06/13,0,1:10PM,day,false,reynj901,welkb901,dimum901,welkt901,park,pitches,jonem701,80,ltor,8,unknown,unknown,cloudy,146,23747,greiz001,lecus001,,
CIN201006150,LAN,CIN,CIN09,2010/06/15,0,7:11PM,night,false,wintm901,wendh902,laynj901,rungb901,park,pitches,rothr701,86,unknown,6,unknown,unknown,cloudy,197,22639,kuroh001,haraa001,,
CIN201006160,LAN,CIN,CIN09,2010/06/16,0,7:09PM,night,false,wendh902,laynj901,rungb901,wintm901,park,pitches,camem701,82,torf,12,unknown,unknown,cloudy,171,23083,kersc001,leakm001,kuo-h001,
CIN201006170,LAN,CIN,CIN09,2010/06/17,0,12:35PM,day,false,laynj901,rungb901,wintm901,wendh902,park,pitches,rothr701,78,unknown,4,unknown,unknown,cloudy,146,25585,arrob001,ely-j001,,
