game_id,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,inputter,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,oscorer,translator
LAN198704140,HOU,LAN,LOS03,1987/04/14,0,0:00PM,night,false,quicj901,willc901,kiblj901,froeb901,"""Kimes""","""Robert Ostrove""",unknown,none,0,unknown,-1,unknown,unknown,unknown,210,40110,niedt001,kerfc001,,guerp001,,
LAN198704150,HOU,LAN,LOS03,1987/04/15,0,0:00PM,night,false,quicj901,willc901,kiblj901,froeb901,"""Kimes""","""Robert Ostrove""",unknown,none,0,unknown,-1,unknown,unknown,unknown,132,43381,scotm001,penaa001,,hatcb001,,
LAN198704240,SDN,LAN,LOS03,1987/04/24,0,0:00PM,night,false,monte901,palld901,rennd901,weyel901,"""David Bradley""","""Robert Ostrove""",unknown,none,0,unknown,-1,unknown,unknown,unknown,156,48980,welcb001,wojne001,,woodt001,,
LAN198704250,SDN,LAN,LOS03,1987/04/25,0,0:00PM,night,false,palld901,rennd901,weyel901,monte901,"""Jeff Eby""","""Robert Ostrove""",unknown,none,0,unknown,-1,unknown,unknown,unknown,151,48687,herso001,davis001,,,,
LAN198704260,SDN,LAN,LOS03,1987/04/26,0,0:00PM,day,false,rennd901,weyel901,monte901,palld901,"""Brigg Hewitt""","""Robert Ostrove""",unknown,none,0,unknown,-1,unknown,unknown,unknown,154,48116,showe001,honer001,,,,
LAN198705060,PIT,LAN,LOS03,1987/05/06,0,0:00PM,night,false,tatat901,crawj901,davib902,wendh901,"""Robert Ostrove""","""Robert Ostrove""",unknown,none,0,unknown,-1,unknown,unknown,unknown,127,32789,herso001,reusr001,,madlb001,,
LAN198705070,PIT,LAN,LOS03,1987/05/07,0,0:00PM,night,false,crawj901,davib902,wendh901,tatat901,"""Peter Palmieri""","""Robert Ostrove""",unknown,none,0,unknown,-1,unknown,unknown,unknown,164,27621,honer001,kippb001,younm001,hatcm001,,
LAN198705080,SLN,LAN,LOS03,1987/05/08,0,0:00PM,night,false,brocf901,willb901,mcshj901,pullf901,"""Zminda""","""Zminda""",unknown,none,0,unknown,-1,unknown,unknown,unknown,175,48667,conrt001,penaa001,hortr001,pendt001,,
LAN198705090,SLN,LAN,LOS03,1987/05/09,0,0:00PM,night,false,willb901,mcshj901,pullf901,brocf901,"""Robert Ostrove""","""Robert Ostrove""",unknown,none,0,unknown,-1,unknown,unknown,unknown,150,48657,valef001,cox-d001,,,,
LAN198705100,SLN,LAN,LOS03,1987/05/10,0,0:00PM,day,false,mcshj901,pullf901,brocf901,willb901,"""Scott Sharp""","""Robert Ostrove""",unknown,none,0,unknown,-1,unknown,unknown,unknown,182,41360,younm001,perrp001,,landk001,,
LAN198705110,CHN,LAN,LOS03,1987/05/11,0,0:00PM,night,false,harvd901,steld901,grege901,davig901,"""O'Donnell""","""Dewan""",unknown,none,0,unknown,-1,unknown,unknown,unknown,175,35819,sands001,herso001,smitl001,sandr001,,
LAN198705120,CHN,LAN,LOS03,1987/05/12,0,0:00PM,night,false,steld901,grege901,davig901,harvd901,"""O'Donnell""","""O'Donnell""",unknown,none,0,unknown,-1,unknown,unknown,unknown,172,41216,honer001,lynce001,,guerp001,,
LAN198705130,CHN,LAN,LOS03,1987/05/13,0,0:00PM,night,false,grege901,davig901,harvd901,steld901,"""O'Donnell""","""O'Donnell""",unknown,none,0,unknown,-1,unknown,unknown,unknown,188,39294,sutcr001,penaa001,,morek001,,
