game_id,inputprogvers,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,htbf,gametype
NY1191305210,"""version 7RS(19) of 07/07/92""",SLN,NY1,NYC14,1913/05/21,0,0:00PM,day,false,riglc901,byrol901,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2013/09/15 1:28PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,115,1900,salls101,tesrj101,,,,
NY1191305290,"""version 7RS(19) of 07/07/92""",PHI,NY1,NYC14,1913/05/29,0,0:00PM,day,false,odayh101,emslb101,(none),(none),"""96,99,266,606,65""","""Jim Herdman/RWood""","""Jim Herdman/RWood""",2025/02/17 9:38AM,park,none,0,unknown,-1,unknown,unknown,unknown,190,10000,tesrj101,seatt102,,,,
NY1191305301,"""version 7RS(19) of 07/07/92""",PHI,NY1,NYC14,1913/05/30,1,0:00AM,day,false,odayh101,emslb101,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2013/09/20 3:42PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,143,18000,froma101,seatt102,marqr102,,,
NY1191305302,"""version 7RS(19) of 07/07/92""",PHI,NY1,NYC14,1913/05/30,2,0:00PM,day,false,odayh101,emslb101,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2013/09/20 7:41PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,105,38000,tesrj101,chalg101,,,,
NY1191305310,"""version 7RS(19) of 07/07/92""",PHI,NY1,NYC14,1913/05/31,0,0:00PM,day,false,odayh101,emslb101,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2013/09/24 3:36PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,97,35000,mathc102,rixee101,,,,
NY1191306210,"""version 7RS(19) of 07/07/92""",BRO,NY1,NYC14,1913/06/21,0,0:00PM,day,false,klemb901,ortha101,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2013/10/27 7:44PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,116,33000,ruckn101,marqr102,,,,
NY1191306231,"""version 7RS(19) of 07/07/92""",BRO,NY1,NYC14,1913/06/23,1,0:00PM,day,false,klemb901,ortha101,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2013/10/28 1:42PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,119,0,ragap101,crand101,,,,
NY1191306232,"""version 7RS(19) of 07/07/92""",BRO,NY1,NYC14,1913/06/23,2,0:00PM,day,false,klemb901,ortha101,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2013/10/28 3:38PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,82,25000,mathc102,curtc101,,,,
NY1191306240,"""version 7RS(19) of 07/07/92""",BRO,NY1,NYC14,1913/06/24,0,0:00PM,day,false,klemb901,ortha101,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2013/10/29 3:40PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,101,10000,tesrj101,stace101,,,,
NY1191306251,"""version 7RS(19) of 07/07/92""",BSN,NY1,NYC14,1913/06/25,1,0:00,day,false,quige901,ortha101,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2013/10/31 1:21PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,110,0,demaa101,rudod101,,,,
NY1191306252,"""version 7RS(19) of 07/07/92""",BSN,NY1,NYC14,1913/06/25,2,0:00PM,day,false,klemb901,ortha101,(none),(none),"""73""","""Cliff Blau/RWood""","""Cliff Blau/RWood""",2013/10/31 3:35PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,115,10000,perdh101,marqr102,,,,
NY1191306261,"""version 7RS(19) of 07/07/92""",BSN,NY1,NYC14,1913/06/26,1,0:00,day,false,quige901,ortha101,(none),(none),"""73""","""Cliff Blau/RWood""","""Cliff Blau/RWood""",2013/11/03 3:55PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,130,0,crand101,tylel101,mathc102,,,
