game_id,inning,batting_home,batter_id,count_raw,balls,strikes,pitches,event_raw
CHA193704230,1.0,0.0,whitj104,??,,,,W
CHA193704230,1.0,0.0,cochm101,??,,,,W.1-2
CHA193704230,1.0,0.0,gehrc101,??,,,,13/SH.2-3;1-2
CHA193704230,1.0,0.0,greeh102,??,,,,W
CHA193704230,1.0,0.0,walkg101,??,,,,7/F.3-H;2-3;1-2
CHA193704230,1.0,0.0,goslg101,??,,,,W
CHA193704230,1.0,0.0,yorkr101,??,,,,6/P
CHA193704230,1.0,1.0,radcr101,??,,,,7
CHA193704230,1.0,1.0,rosel101,??,,,,43
CHA193704230,1.0,1.0,walkd101,??,,,,43
CHA193704230,2.0,0.0,rogeb102,??,,,,D9
CHA193704230,2.0,0.0,lawsr101,??,,,,14/SH.2-3
CHA193704230,2.0,0.0,whitj104,??,,,,S8.3-H
CHA193704230,2.0,0.0,cochm101,??,,,,S7.1-3;B-2(E7/TH3)
CHA193704230,2.0,0.0,gehrc101,??,,,,W
CHA193704230,2.0,0.0,greeh102,??,,,,NP
CHA193704230,2.0,0.0,greeh102,??,,,,S7.3-H;2-3;1-2
CHA193704230,2.0,0.0,walkg101,??,,,,D7.3-H;2-H;1-3
CHA193704230,2.0,0.0,goslg101,??,,,,43.3-H;2-3
CHA193704230,2.0,0.0,yorkr101,??,,,,13
CHA193704230,2.0,1.0,bonuz101,??,,,,8
CHA193704230,2.0,1.0,appll101,??,,,,W
CHA193704230,2.0,1.0,hayej101,??,,,,2/FL
CHA193704230,2.0,1.0,bergb101,??,,,,64(1)/FO
CHA193704230,3.0,0.0,rogeb102,??,,,,43
CHA193704230,3.0,0.0,lawsr101,??,,,,S9
CHA193704230,3.0,0.0,whitj104,??,,,,8
CHA193704230,3.0,0.0,cochm101,??,,,,13
CHA193704230,3.0,1.0,sewel101,??,,,,8
CHA193704230,3.0,1.0,browc103,??,,,,S7
CHA193704230,3.0,1.0,radcr101,??,,,,WP.1-2
CHA193704230,3.0,1.0,radcr101,??,,,,43.2-3
CHA193704230,3.0,1.0,rosel101,??,,,,7
CHA193704230,4.0,0.0,gehrc101,??,,,,7
CHA193704230,4.0,0.0,greeh102,??,,,,53
CHA193704230,4.0,0.0,walkg101,??,,,,K
CHA193704230,4.0,1.0,walkd101,??,,,,4/P
CHA193704230,4.0,1.0,bonuz101,??,,,,6/P
CHA193704230,4.0,1.0,appll101,??,,,,3/G
CHA193704230,5.0,0.0,goslg101,??,,,,5/P
CHA193704230,5.0,0.0,yorkr101,??,,,,13
CHA193704230,5.0,0.0,rogeb102,??,,,,8
CHA193704230,5.0,1.0,hayej101,??,,,,8
CHA193704230,5.0,1.0,bergb101,??,,,,6/P
CHA193704230,5.0,1.0,sewel101,??,,,,W
CHA193704230,5.0,1.0,browc103,??,,,,K/C
CHA193704230,6.0,0.0,lawsr101,??,,,,S9
CHA193704230,6.0,0.0,whitj104,??,,,,53.1-2
