game_id,hometeam,home_recent_form
CHA191107122,CHA,
CHA191107130,CHA,
CHA191107140,CHA,
CHA191107150,CHA,
CHA191107160,CHA,
CHA191107170,CHA,
CHA191107180,CHA,
CHA191107200,CHA,
CHA191107210,CHA,
CHA191107220,CHA,
CHA191108130,CHA,
CHA191108140,CHA,
CHA191108150,CHA,
CHA191108160,CHA,
CHA191108171,CHA,
CHA191108172,CHA,
CHA191108180,CHA,
CHA191108190,CHA,
CHA191108200,CHA,
CHA191108210,CHA,
CHA191108220,CHA,
CHA191108240,CHA,
CHA191108250,CHA,
CHA191108260,CHA,
CHA191108270,CHA,
CHA191108280,CHA,
CHA191108290,CHA,
CHA191109010,CHA,
CHA191109020,CHA,
CHA191109031,CHA,
CHA191109032,CHA,
CHA191109100,CHA,
CHA191110041,CHA,
CHA191110042,CHA,
CHA191110071,CHA,
CHA191110072,CHA,
CHA191110080,CHA,
CHN191104120,CHN,
CHN191104140,CHN,
CHN191104150,CHN,
CHN191104160,CHN,
CHN191104170,CHN,
CHN191104180,CHN,
CHN191104300,CHN,
CHN191105030,CHN,
CHN191105040,CHN,
CHN191105050,CHN,
CHN191105060,CHN,
CHN191105070,CHN,
CHN191106020,CHN,
CHN191106030,CHN,
CHN191106040,CHN,
CHN191106050,CHN,
CHN191106060,CHN,
CHN191106070,CHN,
CHN191106080,CHN,
CHN191106090,CHN,
CHN191106100,CHN,
CHN191106110,CHN,
CHN191106120,CHN,
CHN191106130,CHN,
CHN191106150,CHN,
CHN191106160,CHN,
CHN191106170,CHN,
CHN191106180,CHN,
CHN191106200,CHN,
CHN191106210,CHN,
CHN191106220,CHN,
CHN191106250,CHN,
CHN191107020,CHN,
CHN191107041,CHN,
CHN191107042,CHN,
CHN191107261,CHN,
CHN191107262,CHN,
CHN191107270,CHN,
CHN191107280,CHN,
CHN191107290,CHN,
CHN191107300,CHN,
CHN191107310,CHN,
CHN191108020,CHN,
CHN191108030,CHN,
CHN191108050,CHN,
CHN191108060,CHN,
CHN191108070,CHN,
CHN191108080,CHN,
CHN191108090,CHN,
CHN191108100,CHN,
CHN191108120,CHN,
CHN191108130,CHN,
CHN191109031,CHN,
CHN191109032,CHN,
CHN191109041,CHN,
CHN191109042,CHN,
CHN191109050,CHN,
CHN191109060,CHN,
CHN191109071,CHN,
CHN191109072,CHN,
CHN191109080,CHN,
CHN191109090,CHN,
CHN191109100,CHN,
CHN191109160,CHN,
CHN191109171,CHN,
CHN191109172,CHN,
CHN191109180,CHN,
CHN191109190,CHN,
CHN191109201,CHN,
CHN191109202,CHN,
CHN191109211,CHN,
CHN191109212,CHN,
CHN191109220,CHN,
CHN191109230,CHN,
CHN191109250,CHN,
CHN191109261,CHN,
CHN191109262,CHN,
CHN191109270,CHN,
CHN191109280,CHN,
CHN191109300,CHN,
CHN191110010,CHN,
CHN191110070,CHN,
CHN191110080,CHN,
CHN191110090,CHN,
CIN191104120,CIN,
CIN191104150,CIN,
CIN191104160,CIN,
CIN191104170,CIN,
CIN191104180,CIN,
CIN191104230,CIN,
CIN191104240,CIN,
CIN191104250,CIN,
CIN191104260,CIN,
CIN191104270,CIN,
CIN191105070,CIN,
CIN191105280,CIN,
CIN191106020,CIN,
CIN191106030,CIN,
CIN191106040,CIN,
CIN191106050,CIN,
CIN191106060,CIN,
CIN191106070,CIN,
CIN191106080,CIN,
CIN191106090,CIN,
CIN191106100,CIN,
CIN191106110,CIN,
CIN191106120,CIN,
CIN191106130,CIN,
CIN191106150,CIN,
CIN191106170,CIN,
CIN191106180,CIN,
CIN191106200,CIN,
CIN191106210,CIN,
CIN191106220,CIN,
CIN191106230,CIN,
CIN191106251,CIN,
CIN191106252,CIN,
CIN191106290,CIN,
CIN191106300,CIN,
CIN191107010,CIN,
CIN191107230,CIN,
CIN191107240,CIN,
CIN191107250,CIN,
CIN191107260,CIN,
CIN191107270,CIN,
CIN191107280,CIN,
CIN191107290,CIN,
CIN191107301,CIN,
CIN191107310,CIN,
CIN191108030,CIN,
CIN191108061,CIN,
CIN191108062,CIN,
CIN191108070,CIN,
CIN191108080,CIN,
CIN191108090,CIN,
CIN191108110,CIN,
CIN191108120,CIN,
CIN191108131,CIN,
CIN191108132,CIN,
CIN191109020,CIN,
CIN191109030,CIN,
CIN191109110,CIN,
CIN191109120,CIN,
CIN191109130,CIN,
CIN191109160,CIN,
CIN191109171,CIN,
CIN191109172,CIN,
CIN191109180,CIN,
CIN191109190,CIN,
CIN191109201,CIN,
CIN191109202,CIN,
CIN191109211,CIN,
CIN191109212,CIN,
CIN191109220,CIN,
CIN191109230,CIN,
CIN191109240,CIN,
CIN191109250,CIN,
CIN191109290,CIN,
CIN191109301,CIN,
CIN191109302,CIN,
CIN191110080,CIN,
CIN191110091,CIN,
CIN191110092,CIN,
CIN191110120,CIN,
CLE191104200,CLE,
CLE191104210,CLE,
CLE191104270,CLE,
CLE191104280,CLE,
CLE191104290,CLE,
