visitor_bin,avg_home_runs_first_inning,num_games
0,0.5818969811696723,20074
1,0.6022699830958705,4141
2,0.5383427689140504,1943
3,0.625139043381535,899
4,0.5054347826086957,368
4+,0.6432160804020101,199
