year,travel_diff
2014,-0.01885958815569269
2015,-0.010161301929950795
2016,-0.002211254432063603
2017,-0.014179301362025387
2018,-5.851637325859915e-05
2019,0.01366571946608941
2020,0.0384218936282035
2021,0.019562253045334196
2022,0.005151730505812108
2023,-0.003929673974602796
2024,-0.018940346472043096
