inning,games,visitor_avg_runs,home_avg_runs,visitor_p_scored,home_p_scored,home_minus_vis_runs,home_minus_vis_prob,year
1.0,2430,0.48559670781893005,0.5679012345679012,0.2716049382716049,0.31810699588477365,0.08230452674897115,0.046502057613168724,2010
2.0,2430,0.42345679012345677,0.46502057613168724,0.24773662551440329,0.25637860082304526,0.04156378600823046,0.00864197530864197,2010
3.0,2430,0.4382716049382716,0.5403292181069959,0.25020576131687244,0.2773662551440329,0.10205761316872425,0.02716049382716046,2010
4.0,2430,0.4905349794238683,0.5489711934156378,0.2781893004115226,0.2876543209876543,0.058436213991769514,0.009465020576131689,2010
5.0,2430,0.4732510288065844,0.560082304526749,0.26625514403292183,0.291358024691358,0.08683127572016464,0.02510288065843619,2010
6.0,2430,0.4810699588477366,0.5510288065843622,0.2716049382716049,0.3045267489711934,0.06995884773662553,0.032921810699588494,2010
7.0,2425,0.4894845360824742,0.5154639175257731,0.26350515463917523,0.2705154639175258,0.02597938144329892,0.007010309278350557,2010
8.0,2424,0.4451320132013201,0.4867986798679868,0.24587458745874588,0.2590759075907591,0.041666666666666685,0.013201320132013222,2010
9.0,2423,0.43087082129591414,0.22492777548493603,0.247214197276104,0.13536937680561287,-0.2059430458109781,-0.11184482047049113,2010
10.0,220,0.37727272727272726,0.34545454545454546,0.23636363636363636,0.29545454545454547,-0.0318181818181818,0.05909090909090911,2010
11.0,118,0.5508474576271186,0.4576271186440678,0.3050847457627119,0.3728813559322034,-0.09322033898305082,0.06779661016949151,2010
12.0,49,0.5714285714285714,0.2653061224489796,0.32653061224489793,0.1836734693877551,-0.3061224489795918,-0.14285714285714282,2010
13.0,27,0.2962962962962963,0.25925925925925924,0.25925925925925924,0.25925925925925924,-0.037037037037037035,0.0,2010
14.0,13,0.46153846153846156,0.3076923076923077,0.38461538461538464,0.3076923076923077,-0.15384615384615385,-0.07692307692307693,2010
15.0,4,0.0,0.25,0.0,0.25,0.25,0.25,2010
16.0,3,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.0,2010
17.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2010
18.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2010
19.0,1,1.0,1.0,1.0,1.0,0.0,0.0,2010
20.0,1,1.0,0.0,1.0,0.0,-1.0,-1.0,2010
,0,,,,,,,2010
1.0,2429,0.49279538904899134,0.5553725813091808,0.2799505969534788,0.3025936599423631,0.06257719226018943,0.0226430629888843,2011
2.0,2429,0.41704405104981473,0.44133388225607245,0.24495677233429394,0.25524907369287775,0.024289831206257717,0.010292301358583805,2011
3.0,2429,0.4857966241251544,0.5339645944833264,0.2577192260189378,0.28777274598600244,0.04816797035817205,0.030053519967064624,2011
4.0,2429,0.5187319884726225,0.48167970358172085,0.2803622890078222,0.27706875257307534,-0.03705228489090162,-0.0032935364347468354,2011
5.0,2429,0.45738987237546314,0.48785508439687114,0.2626595306710581,0.2671881432688349,0.030465212021408006,0.0045286125977768155,2011
6.0,2429,0.5109098394400988,0.531082750102923,0.28777274598600244,0.293124742692466,0.02017291066282423,0.00535199670646358,2011
7.0,2429,0.4545080279950597,0.4866200082338411,0.2622478386167147,0.26101276245368465,0.032111980238781423,-0.0012350761630300355,2011
8.0,2425,0.4144329896907217,0.4812371134020619,0.23175257731958762,0.2651546391752577,0.0668041237113402,0.0334020618556701,2011
9.0,2422,0.40503715937241946,0.22089182493806772,0.23781998348472336,0.1490503715937242,-0.18414533443435174,-0.08876961189099916,2011
10.0,237,0.4388185654008439,0.4008438818565401,0.24050632911392406,0.32489451476793246,-0.03797468354430383,0.08438818565400841,2011
11.0,126,0.6666666666666666,0.30952380952380953,0.29365079365079366,0.24603174603174602,-0.3571428571428571,-0.047619047619047644,2011
12.0,67,0.373134328358209,0.44776119402985076,0.1791044776119403,0.373134328358209,0.07462686567164178,0.1940298507462687,2011
13.0,38,0.39473684210526316,0.47368421052631576,0.2631578947368421,0.2894736842105263,0.0789473684210526,0.026315789473684237,2011
14.0,21,0.7619047619047619,0.5714285714285714,0.2857142857142857,0.5238095238095238,-0.19047619047619047,0.23809523809523814,2011
15.0,5,0.6,0.0,0.2,0.0,-0.6,-0.2,2011
16.0,4,0.25,0.25,0.25,0.25,0.0,0.0,2011
17.0,2,0.0,0.0,0.0,0.0,0.0,0.0,2011
18.0,2,0.0,0.0,0.0,0.0,0.0,0.0,2011
19.0,2,0.0,1.0,0.0,1.0,1.0,1.0,2011
,0,,,,,,,2011
1.0,2430,0.5189300411522634,0.6041152263374485,0.29588477366255145,0.3325102880658436,0.08518518518518514,0.03662551440329215,2012
2.0,2430,0.4176954732510288,0.4567901234567901,0.24403292181069958,0.25967078189300413,0.039094650205761305,0.015637860082304555,2012
3.0,2430,0.4728395061728395,0.525514403292181,0.25102880658436216,0.2802469135802469,0.052674897119341535,0.02921810699588473,2012
4.0,2430,0.4802469135802469,0.5477366255144033,0.28353909465020577,0.2946502057613169,0.06748971193415637,0.011111111111111127,2012
5.0,2430,0.4641975308641975,0.5419753086419753,0.24814814814814815,0.2909465020576132,0.07777777777777778,0.04279835390946504,2012
6.0,2430,0.48477366255144033,0.528395061728395,0.2683127572016461,0.29958847736625516,0.04362139917695468,0.031275720164609055,2012
7.0,2429,0.44709757101687936,0.46068340881020997,0.2647179909427748,0.25854261012762453,0.013585837793330613,-0.006175380815150289,2012
8.0,2426,0.4253915910964551,0.4711459192085738,0.24278647980214343,0.2662819455894477,0.045754328112118714,0.023495465787304243,2012
