games,visitor_avg_runs_1st,home_avg_runs_1st,visitor_p_scored_1st,home_p_scored_1st,home_minus_vis_runs,home_minus_vis_prob,year
1216,0.5773026315789473,0.647203947368421,0.3100328947368421,0.3412828947368421,0.06990131578947367,0.03125,1911
1232,0.5836038961038961,0.6331168831168831,0.3189935064935065,0.3457792207792208,0.04951298701298701,0.0267857142857143,1912
1227,0.5175224123879381,0.5517522412387939,0.2974735126324368,0.29991850040749796,0.03422982885085579,0.002444987775061136,1913
1842,0.5141150922909881,0.5532030401737242,0.28610206297502716,0.3132464712269272,0.039087947882736174,0.027144408251900065,1914
1812,0.4917218543046358,0.48013245033112584,0.27759381898454744,0.26490066225165565,-0.011589403973509937,-0.012693156732891786,1915
1222,0.43944353518821605,0.5155482815057283,0.26104746317512273,0.28805237315875615,0.07610474631751224,0.02700490998363342,1916
1230,0.43333333333333335,0.4983739837398374,0.27154471544715447,0.27479674796747966,0.06504065040650403,0.0032520325203251876,1917
991,0.4772956609485368,0.4863773965691221,0.2785065590312815,0.2815338042381433,0.009081735620585285,0.0030272452068617617,1918
1106,0.4945750452079566,0.5533453887884268,0.2757685352622061,0.3155515370705244,0.058770343580470175,0.039783001808318286,1919
1212,0.5239273927392739,0.6047854785478548,0.29207920792079206,0.33663366336633666,0.08085808580858089,0.044554455445544594,1920
1212,0.6056105610561056,0.66996699669967,0.3234323432343234,0.34983498349834985,0.06435643564356441,0.026402640264026445,1921
1212,0.5585808580858086,0.6328382838283828,0.3028052805280528,0.33745874587458746,0.07425742574257421,0.034653465346534684,1922
1174,0.5570698466780238,0.6592844974446337,0.30664395229982966,0.34497444633730834,0.10221465076660985,0.03833049403747868,1923
1173,0.6069906223358909,0.6751918158567775,0.3145780051150895,0.34697357203751067,0.0682011935208866,0.03239556692242118,1924
1170,0.5632478632478632,0.676923076923077,0.3076923076923077,0.34615384615384615,0.11367521367521372,0.038461538461538436,1925
1190,0.5117647058823529,0.6571428571428571,0.29327731092436976,0.34705882352941175,0.14537815126050424,0.05378151260504199,1926
1176,0.5544217687074829,0.5467687074829932,0.30612244897959184,0.29931972789115646,-0.007653061224489721,-0.006802721088435382,1927
1134,0.5202821869488536,0.6481481481481481,0.2821869488536155,0.3492063492063492,0.1278659611992945,0.06701940035273368,1928
1195,0.5857740585774058,0.6644351464435146,0.3079497907949791,0.3472803347280335,0.07866108786610881,0.03933054393305441,1929
1186,0.6500843170320405,0.7192242833052277,0.32377740303541314,0.357504215851602,0.06913996627318719,0.03372681281618889,1930
1171,0.5943637916310845,0.7198975234842016,0.3193851409052092,0.3595217762596072,0.125533731853117,0.04013663535439799,1931
1147,0.6146469049694856,0.6573670444638187,0.3051438535309503,0.34786399302528337,0.042720139494333065,0.042720139494333065,1932
1160,0.5775862068965517,0.6068965517241379,0.29051724137931034,0.31724137931034485,0.02931034482758621,0.02672413793103451,1933
1165,0.6034334763948498,0.6626609442060086,0.311587982832618,0.344206008583691,0.05922746781115884,0.032618025751072977,1934
1151,0.5134665508253693,0.5577758470894874,0.2710686359687228,0.3205907906168549,0.04430929626411806,0.04952215464813209,1935
1330,0.6127819548872181,0.724812030075188,0.3225563909774436,0.35413533834586464,0.11203007518796992,0.03157894736842104,1936
1429,0.5605318404478656,0.6934919524142757,0.2967109867039888,0.3435969209237229,0.1329601119664101,0.04688593421973408,1937
1337,0.5355272999252056,0.6866118175018698,0.27673896783844426,0.3470456245325355,0.1510845175766642,0.07030665669409125,1938
1317,0.595292331055429,0.6294608959757023,0.31738800303720577,0.31586940015186027,0.034168564920273314,-0.0015186028853454991,1939
1151,0.5551694178974804,0.6655082536924414,0.2953953084274544,0.3266724587315378,0.11033883579496095,0.0312771503040834,1940
1120,0.49375,0.6705357142857142,0.2625,0.3419642857142857,0.1767857142857142,0.07946428571428571,1941
1121,0.4255129348795718,0.552185548617306,0.24531668153434433,0.2988403211418377,0.12667261373773414,0.053523639607493345,1942
1179,0.46904156064461405,0.5233248515691263,0.25699745547073793,0.2866836301950806,0.054283290924512284,0.02968617472434265,1943
1119,0.5272564789991063,0.5781948168007149,0.2797140303842717,0.31814119749776587,0.05093833780160861,0.0384271671134942,1944
1086,0.5174953959484346,0.6206261510128913,0.2900552486187845,0.3278084714548803,0.10313075506445668,0.03775322283609578,1945
1193,0.490360435875943,0.5624476110645432,0.26571668063704945,0.3076278290025147,0.0720871751886002,0.04191114836546522,1946
1204,0.5913621262458472,0.584717607973422,0.3014950166112957,0.30066445182724255,-0.006644518272425182,-0.0008305647840531338,1947
1257,0.5552903739061257,0.6555290373906125,0.2840095465393795,0.32140015910898967,0.10023866348448685,0.03739061256961018,1948
1267,0.579321231254933,0.6140489344909235,0.2983425414364641,0.31886345698500396,0.034727703235990504,0.020520915548539853,1949
1131,0.5464190981432361,0.74447391688771,0.28205128205128205,0.3359858532272325,0.19805481874447395,0.05393457117595046,1950
1156,0.5224913494809689,0.5899653979238755,0.27249134948096887,0.31833910034602075,0.06747404844290661,0.045847750865051884,1951
1164,0.4991408934707904,0.5592783505154639,0.26374570446735396,0.30584192439862545,0.06013745704467355,0.042096219931271495,1952
1196,0.5108695652173914,0.6112040133779264,0.2959866220735786,0.33277591973244147,0.10033444816053505,0.03678929765886285,1953
1197,0.556390977443609,0.6131996658312447,0.30158730158730157,0.32247284878863824,0.05680868838763575,0.020885547201336674,1954
1203,0.47880299251870323,0.6475477971737323,0.2684954280964256,0.33083956774729845,0.1687448046550291,0.06234413965087282,1955
