year,intercept,beta_home,mu_home,mu_away,home_advantage,beta_intercept,beta_home_only
2014,-0.851559328105067,0.24508053019079556,0.5452674897119343,0.4267489711934156,0.11851851851851869,-0.851559328105067,0.24508053019079556
2015,-0.6861727933150001,0.1612507503918525,0.5916014820913956,0.5034993824619185,0.08810209962947713,-0.6861727933150001,0.1612507503918525
2016,-0.7232497879678565,0.2542341383842405,0.6256177924217463,0.4851729818780891,0.1404448105436572,-0.7232497879678565,0.2542341383842405
2017,-0.6278373520181503,0.13468723941088187,0.6106995884773663,0.5337448559670782,0.07695473251028806,-0.6278373520181503,0.13468723941088187
2018,-0.7093200398055463,0.19876861401220838,0.6001645413410118,0.4919786096256685,0.10818593171534335,-0.7093200398055463,0.19876861401220838
2019,-0.6023007077863731,0.11225399417723786,0.6125977768629066,0.547550432276657,0.06504734458624961,-0.6023007077863731,0.11225399417723786
2020,-0.7575372346198186,0.18390383560508455,0.5634743875278397,0.46881959910913124,0.0946547884187085,-0.7575372346198186,0.18390383560508455
2021,-0.6804654806357091,0.1762053297765183,0.6039522437216961,0.506381226842322,0.09757101687937408,-0.6804654806357091,0.1762053297765183
2022,-0.8525241135151659,0.2735870638900293,0.5604938271604938,0.42633744855967076,0.13415637860082302,-0.8525241135151659,0.2735870638900293
2023,-0.7437909133787,0.23159260580073734,0.5991769547325104,0.47530864197530875,0.12386831275720167,-0.7437909133787,0.23159260580073734
2024,-0.7949004687269424,0.18580984424709518,0.5438452037875668,0.4516261836146562,0.09221902017291067,-0.7949004687269424,0.18580984424709518
