year,intercept,beta_home,mu_home,mu_away,home_advantage,beta_intercept,beta_home_only
2014,-0.9753242634583481,0.447367599762174,0.5898089171974523,0.3770700636942675,0.21273885350318483,-0.9753242634583481,0.447367599762174
2015,-0.7033774488107604,0.23082604748622598,0.6234096692111959,0.4949109414758269,0.12849872773536897,-0.7033774488107604,0.23082604748622598
2016,-0.6655419144680562,0.26198338463047327,0.6679389312977099,0.513994910941476,0.1539440203562339,-0.6655419144680562,0.26198338463047327
2017,-0.6969664086269407,0.2532965894848972,0.6416772554002541,0.49809402795425667,0.14358322744599744,-0.6969664086269407,0.2532965894848972
2018,-0.6805999645078566,0.169353376728072,0.5997474747474747,0.5063131313131313,0.09343434343434343,-0.6805999645078566,0.169353376728072
2019,-0.5773553274701396,0.17699227124587064,0.670076726342711,0.561381074168798,0.10869565217391297,-0.5773553274701396,0.17699227124587064
2020,-0.8507761247635287,0.31177962403084153,0.5833333333333333,0.4270833333333332,0.15625000000000006,-0.8507761247635287,0.31177962403084153
2021,-0.7110733968280971,0.13288518904791607,0.5609137055837563,0.49111675126903565,0.06979695431472066,-0.7110733968280971,0.13288518904791607
2022,-0.8019500404087444,0.16395467992387905,0.5283505154639174,0.4484536082474227,0.07989690721649473,-0.8019500404087444,0.16395467992387905
2023,-0.6728933236554474,0.1400887931706815,0.5869565217391304,0.5102301790281331,0.07672634271099732,-0.6728933236554474,0.1400887931706815
2024,-0.7214631006772333,-0.04267314112607532,0.46573604060913715,0.48604060913705577,-0.02030456852791862,-0.7214631006772333,-0.04267314112607532
