year,intercept,beta_home,beta_travel,mean_travel,mu_home,mu_away,home_advantage,beta_intercept,beta_home_only,beta_travel_only
2014,-0.9392542396083061,0.38935133259955873,-0.05402645221528081,0.0,0.5770058308829342,0.39091925877854006,0.18608657210439417,-0.9392542396083061,0.38935133259955873,-0.05402645221528081
2015,-0.7035912563910544,0.23932539229740946,-0.01864002407783844,0.0,0.6285964110342762,0.49480513707626333,0.13379127395801288,-0.7035912563910544,0.23932539229740946,-0.01864002407783844
2016,-0.6621923793429271,0.26597948459339216,-0.012368145288818225,0.0,0.6728634315960736,0.5157194415253471,0.15714399007072655,-0.6621923793429271,0.26597948459339216,-0.012368145288818225
2017,-0.6706658861322016,0.21905060792331815,-0.05144511501921453,0.0,0.636599036140751,0.5113679515625915,0.12523108457815946,-0.6706658861322016,0.21905060792331815,-0.05144511501921453
2018,-0.6872662844243875,0.17467547808057038,0.009413170179025326,-3.657877661570657e-17,0.5989418246643988,0.5029491112767697,0.09599271338762916,-0.6872662844243875,0.17467547808057038,0.009413170179025326
2019,-0.5727807512133858,0.1873573573933288,0.0354298804908502,1.4822273496951242e-16,0.6801625985913403,0.563955037608979,0.11620756098236129,-0.5727807512133858,0.1873573573933288,0.0354298804908502
2020,-0.8935346523539989,0.4178233274839042,0.11381383776232981,-5.2054412876197816e-17,0.6214428514523735,0.4092067897280621,0.21223606172431142,-0.8935346523539989,0.4178233274839042,0.11381383776232981
2021,-0.7475652519848754,0.18183272139292705,0.05520642835594546,9.192014692886161e-17,0.5679439580168991,0.4735180474986618,0.09442591051823734,-0.7475652519848754,0.18183272139292705,0.05520642835594546
2022,-0.8168693822382026,0.1935587325735723,0.019932618374694504,1.4939137676953486e-16,0.53616643681557,0.44181263820460986,0.0943537986109601,-0.8168693822382026,0.1935587325735723,0.019932618374694504
2023,-0.6656604233034239,0.13818026333483144,-0.01186818091890953,3.7055683742378105e-17,0.5900900303154631,0.5139340016124134,0.07615602870304972,-0.6656604233034239,0.13818026333483144,-0.01186818091890953
2024,-0.6911028984226629,-0.0975190495111897,-0.052628786771609114,1.4707223508617858e-16,0.45447064817009475,0.5010231865533059,-0.04655253838321116,-0.6911028984226629,-0.0975190495111897,-0.052628786771609114
