game_id,date,home_team,vis_team,home_score,vis_score,home_travel_km,vis_travel_km,first_game_of_series
ARI201403220,2014-03-22,ARI,LAN,0,0,,,False
ARI201403230,2014-03-23,ARI,LAN,0,1,0.0,0.0,False
SDN201403300,2014-03-30,SDN,LAN,0,0,,481.0116368281714,True
ANA201403310,2014-03-31,ANA,SEA,2,0,,,False
BAL201403310,2014-03-31,BAL,BOS,0,0,,,False
OAK201403310,2014-03-31,OAK,CLE,0,0,,,False
NYN201403310,2014-03-31,NYN,WAS,3,0,,,False
CHA201403310,2014-03-31,CHA,MIN,0,0,,,False
MIL201403310,2014-03-31,MIL,ATL,0,0,,,False
TBA201403310,2014-03-31,TBA,TOR,1,0,,,False
MIA201403310,2014-03-31,MIA,COL,0,0,,,False
TEX201403310,2014-03-31,TEX,PHI,0,0,,,False
ARI201403310,2014-03-31,ARI,SFN,0,0,0.0,,False
CIN201403310,2014-03-31,CIN,SLN,0,0,,,False
DET201403310,2014-03-31,DET,KCA,0,0,,,False
PIT201403310,2014-03-31,PIT,CHN,0,0,,,False
ARI201404010,2014-04-01,ARI,SFN,2,4,0.0,0.0,False
TEX201404010,2014-04-01,TEX,PHI,0,0,0.0,0.0,False
SDN201404010,2014-04-01,SDN,LAN,0,2,0.0,0.0,False
TBA201404010,2014-04-01,TBA,TOR,0,3,0.0,0.0,False
MIA201404010,2014-04-01,MIA,COL,0,0,0.0,0.0,False
ANA201404010,2014-04-01,ANA,SEA,0,0,0.0,0.0,False
MIL201404010,2014-04-01,MIL,ATL,1,0,0.0,0.0,False
HOU201404010,2014-04-01,HOU,NYA,4,0,,,False
HOU201404020,2014-04-02,HOU,NYA,1,0,0.0,0.0,False
CHA201404020,2014-04-02,CHA,MIN,0,0,0.0,0.0,False
OAK201404021,2014-04-02,OAK,CLE,1,0,0.0,0.0,False
OAK201404022,2014-04-02,OAK,CLE,2,0,0.0,0.0,False
SDN201404020,2014-04-02,SDN,LAN,0,3,0.0,0.0,False
ANA201404020,2014-04-02,ANA,SEA,0,0,0.0,0.0,False
BAL201404020,2014-04-02,BAL,BOS,0,0,0.0,0.0,False
ARI201404020,2014-04-02,ARI,SFN,0,0,0.0,0.0,False
DET201404020,2014-04-02,DET,KCA,0,0,0.0,0.0,False
NYN201404020,2014-04-02,NYN,WAS,1,0,0.0,0.0,False
MIL201404020,2014-04-02,MIL,ATL,0,0,0.0,0.0,False
PIT201404020,2014-04-02,PIT,CHN,0,0,0.0,0.0,False
MIA201404020,2014-04-02,MIA,COL,1,3,0.0,0.0,False
TBA201404020,2014-04-02,TBA,TOR,0,0,0.0,0.0,False
CIN201404020,2014-04-02,CIN,SLN,0,0,0.0,0.0,False
TEX201404020,2014-04-02,TEX,PHI,0,1,0.0,0.0,False
CHA201404030,2014-04-03,CHA,MIN,0,0,0.0,0.0,False
TBA201404030,2014-04-03,TBA,TOR,0,0,0.0,0.0,False
CIN201404030,2014-04-03,CIN,SLN,3,0,0.0,0.0,False
HOU201404030,2014-04-03,HOU,NYA,1,0,0.0,0.0,False
NYN201404030,2014-04-03,NYN,WAS,2,0,0.0,0.0,False
MIA201404030,2014-04-03,MIA,COL,1,1,0.0,0.0,False
ARI201404030,2014-04-03,ARI,SFN,2,1,0.0,0.0,False
BAL201404030,2014-04-03,BAL,BOS,0,0,0.0,0.0,False
PIT201404030,2014-04-03,PIT,CHN,0,1,0.0,0.0,False
OAK201404030,2014-04-03,OAK,SEA,0,1,0.0,592.0808995913671,True
LAN201404040,2014-04-04,LAN,SFN,0,6,179.52869861196945,574.8341149449532,True
CLE201404040,2014-04-04,CLE,MIN,0,2,3466.040145226439,494.38381864269326,True
COL201404040,2014-04-04,COL,ARI,1,0,2773.388607504832,942.6579344569091,True
KCA201404040,2014-04-04,KCA,CHA,3,1,1034.9569652631499,663.9206401727051,True
TBA201404040,2014-04-04,TBA,TEX,1,0,0.0,1496.616115420437,True
PIT201404040,2014-04-04,PIT,SLN,0,0,0.0,415.25842834625814,True
WAS201404040,2014-04-04,WAS,ATL,0,0,326.3648031771951,1025.9779083655505,True
CHN201404040,2014-04-04,CHN,PHI,0,0,660.0502257315369,1309.650557347085,True
MIA201404040,2014-04-04,MIA,SDN,2,0,0.0,3647.9520311048796,True
NYN201404040,2014-04-04,NYN,CIN,0,0,0.0,913.3322248208743,True
TOR201404040,2014-04-04,TOR,NYA,1,2,1789.4597510855479,2094.913693918614,True
BOS201404040,2014-04-04,BOS,MIL,0,0,578.81170696599,1380.0911914179385,True
DET201404040,2014-04-04,DET,BAL,0,2,0.0,638.3359422178316,True
HOU201404040,2014-04-04,HOU,ANA,0,1,0.0,2169.9670200701003,True
CLE201404050,2014-04-05,CLE,MIN,0,3,0.0,0.0,False
WAS201404050,2014-04-05,WAS,ATL,2,0,0.0,0.0,False
LAN201404050,2014-04-05,LAN,SFN,0,0,0.0,0.0,False
NYN201404050,2014-04-05,NYN,CIN,0,0,0.0,0.0,False
TBA201404050,2014-04-05,TBA,TEX,0,2,0.0,0.0,False
KCA201404050,2014-04-05,KCA,CHA,0,0,0.0,0.0,False
DET201404050,2014-04-05,DET,BAL,0,1,0.0,0.0,False
MIA201404050,2014-04-05,MIA,SDN,0,0,0.0,0.0,False
COL201404050,2014-04-05,COL,ARI,0,1,0.0,0.0,False
PIT201404050,2014-04-05,PIT,SLN,0,3,0.0,0.0,False
CHN201404050,2014-04-05,CHN,PHI,0,1,0.0,0.0,False
TOR201404050,2014-04-05,TOR,NYA,0,0,0.0,0.0,False
