year,subset,intercept,beta_home,beta_opp_era,beta_travel,mean_opp_ERA,mean_travel_home,mean_travel_away,mu_home,mu_away,home_advantage
2018,all,-0.567096606877756,-0.029516190347664933,0.3519484986032758,0.002488421474571361,5.629299843169808e-17,-0.02429387254019655,0.024293872540196524,0.5506404351558092,0.5672040556536517,-0.016563620497842546
2018,home,-0.3693192138520641,-0.26157865842957856,0.44676680824692955,-0.01183484212870951,-1.448801677525027e-16,-0.07359320459753915,0.07255668058912307,0.5325774700472421,0.6906114525316261,-0.15803398248438405
2018,visiting,-0.8000352542973265,0.23053777337137152,0.2581899238273184,0.03323684523943208,2.1272804807503e-16,0.007983822962954776,-0.008096271173700645,0.5659598589722197,0.44919223219014415,0.11676762678207553
2019,all,-0.6310307406917244,0.0842972952481794,0.08427044382476817,0.10198784705539676,-4.629866230351717e-16,-0.06671657561139416,0.06671657561139413,0.57491232656295,0.5356756344073158,0.03923669215563419
2019,home,-0.9714658128272411,0.44362885142826375,-0.09681060558736017,0.09741597359485608,5.217271836000735e-16,-0.1394061799897175,0.13746998304541574,0.5819228791119788,0.3836310327245069,0.19829184638747194
2019,visiting,-0.32461502426870836,-0.3738964443401213,0.26775790494400975,0.16329542975509526,5.111818242878418e-16,0.011344112954293708,-0.011508520388413958,0.4982471565354555,0.7214484778773723,-0.22320132134191684
2020,all,-0.575241542258493,0.08930207609926621,0.33531902309676453,0.014998791532446605,7.074950647121095e-17,-0.0675050604339592,0.06750506043395914,0.6144965523500393,0.5631388545601654,0.05135769778987387
2020,home,-0.6224150892519736,0.027575148370513346,-0.3958666864039711,-0.07281491199642663,-5.995204332975846e-17,-0.07230601306089693,0.07230601306089687,0.5545629322721886,0.5338288242603788,0.02073410801180975
2020,visiting,-0.5586423777808429,-0.0021354236163975363,0.5638852001803566,0.04818252669561992,5.764619550938313e-17,-0.06230595931477411,0.06230595931477397,0.5690540489810013,0.5737047893487404,-0.004650740367739048
2021,all,-0.5801277263404592,0.06720278420644209,0.15085806770746973,0.11123788709900255,4.062943834798445e-16,-0.0863504093220582,0.0875839865980875,0.5930180872308298,0.5653077144605309,0.027710372770298974
2021,home,-0.5803306913419769,0.024277059479403573,0.19378512690304237,0.08118620248682351,1.0223636485756838e-16,-0.20608481055644773,0.20314074183421263,0.5639527119712068,0.5690206999784173,-0.005067988007210533
2021,visiting,-0.6030004714553188,0.13592887644120777,0.10543510920127235,0.11153155156848941,6.211037900000876e-17,-0.0041109787266109775,0.00428716352917986,0.6265478700599828,0.5474291032510982,0.07911876680888463
2022,all,-0.9683121550663237,0.4012134354987758,0.31438110729853114,-0.05859436448246004,-1.8964663765838974e-16,0.018010530742171574,-0.018139177390329955,0.5665703429011198,0.38012721670148764,0.18644312619963221
2022,home,-0.9672008196188844,0.40053312250714834,0.34468242513072933,-0.03297656049286431,7.999904915029496e-16,-0.025642834760094824,0.02528166807333298,0.5678930986250822,0.3798288501448126,0.1880642484802696
2022,visiting,-0.9742762748559879,0.40212960878968484,0.29432423838409444,-0.08081063723690632,2.6645352591003756e-16,0.062275657485631845,-0.06408074900695437,0.5614799565885846,0.3794251750826371,0.1820547815059475
2023,all,-0.9589308804743036,0.3309372814943263,0.11969021326968807,-0.13477720049813138,5.008524923121007e-16,-0.0781985105647015,0.07819851056470153,0.5393156690476727,0.3792839079607935,0.16003176108687922
2023,home,-0.8213552677999447,0.2495583804858145,0.2417607243430209,-0.16091948959798796,-5.368839701172399e-16,-0.16503178243517302,0.165031782435173,0.5797026048989524,0.4283082647124201,0.1513943401865323
2023,visiting,-1.1581626295256136,0.468756955845711,0.006300357012863718,-0.10111760137097428,-9.420074148334661e-16,0.01465085782876573,-0.014650857828765865,0.5011313015551461,0.31452831662731184,0.18660298492783423
2024,all,-0.7276259872846832,-0.02688112327102484,0.23027028234557287,0.1560172756924633,1.9774538400870713e-16,0.03956151852561404,-0.039861226999292974,0.47315377850336476,0.4800595946207904,-0.006905816117425634
2024,home,-0.5400249007958138,-0.3621391212321382,0.26179999694777467,0.26701908031111704,-8.198570028001156e-17,0.011097274376064881,-0.011097274376064807,0.40689470461523275,0.581009550171028,-0.1741148455557952
2024,visiting,-1.053045591714577,0.44608735710463937,0.09680204889803501,0.049094136063396784,1.0526559048297781e-16,0.061258666752296964,-0.06217297521128665,0.5466476722666527,0.3478103495839413,0.19883732268271137
