year,intercept,beta_home,beta_travel,mean_travel,mu_away,mu_home,home_advantage
2014,-0.8404221443297122,0.22699681959751733,-0.04024512045156177,1.1773699018394369e-17,0.4315283177407919,0.5414928997950674,0.1099645820542755
2015,-0.6873758330557032,0.16646921441656512,-0.004938262169345585,2.3547398036788737e-17,0.5028940169078193,0.5939817888215002,0.09108777191368089
2016,-0.7275020298185625,0.2651687134962129,0.022591144957228734,-7.067146978136098e-17,0.48311428915143084,0.6298123782063454,0.14669808905491455
2017,-0.6205402341748536,0.1259598275289298,-0.029935776328436536,-4.707529512282237e-17,0.5376539001115184,0.60982673286545,0.0721728327539316
2018,-0.7121790020595679,0.20170255090576217,0.010502445922860502,-4.705581031523842e-17,0.49057407007043524,0.6002095401480224,0.10963547007758717
2019,-0.6031996021453517,0.119502478612805,0.03915168450924184,-1.0600720467204148e-16,0.5470584634289646,0.616499896949069,0.06944143352010446
2020,-0.7602781437396349,0.19945994003772793,0.03543096323280731,-7.242224939797171e-17,0.4675363666095806,0.5707418896261129,0.10320552301653235
2021,-0.6869466217156455,0.1824119011361911,-0.0004957072522867105,-2.3557156593786992e-17,0.5031099110515164,0.6037864394865379,0.1006765284350215
2022,-0.8575624456265184,0.28321058861910314,0.010966083873190643,-9.415059024564474e-17,0.4241948210692748,0.5630697002432639,0.13887487917398905
2023,-0.7444681641278126,0.23654999399684862,0.013091989766983553,5.884411890352797e-17,0.4749868478214369,0.6017470106265493,0.12676016280511243
2024,-0.7872387632158259,0.17304633956370122,-0.020113530147373236,0.0,0.45509969997256355,0.541077680454,0.0859779804814364
