game_id,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,oscorer
CHA199305170,CAL,CHA,CHI12,1993/05/17,0,7:05,night,true,brinj901,cousd901,reedr901,mcclt901,pitches,52,ltor,8,dry,none,night,203,21346,sands001,stied001,,,
CHA199305180,CAL,CHA,CHI12,1993/05/18,0,7:06,night,true,cousd901,reedr901,mcclt901,brinj901,pitches,51,fromlf,13,dry,none,night,187,22878,alvaw001,finlc001,hernr001,,
CHA199305190,CAL,CHA,CHI12,1993/05/19,0,7:07,night,true,reedr901,mcclt901,brinj901,cousd901,pitches,55,fromlf,6,dry,none,night,144,22991,langm001,mcdoj001,grahj001,,
CHA199305210,OAK,CHA,CHI12,1993/05/21,0,7:08,night,true,craft901,evanj901,mccol901,hendt901,pitches,60,unknown,8,dry,none,night,217,36760,downk001,hernr001,ecked001,,
CHA199305220,OAK,CHA,CHI12,1993/05/22,0,12:07,day,true,evanj901,mccol901,hendt901,craft901,none,70,unknown,15,dry,none,unknown,206,33205,wittb001,stied001,ecked001,,
CHA199305230,OAK,CHA,CHI12,1993/05/23,0,1:30,day,true,mccol901,hendt901,craft901,evanj901,pitches,64,fromrf,17,soaked,rain,overcast,196,30873,hernr001,gossr001,,,
CHA199305250,KCA,CHA,CHI12,1993/05/25,0,7:05,night,true,fordd901,younl901,meric901,garcr901,pitches,58,fromcf,6,dry,none,night,150,28143,gordt001,mcdoj001,montj002,,
CHA199305260,KCA,CHA,CHI12,1993/05/26,0,7:07,night,true,younl901,meric901,garcr901,fordd901,pitches,76,rtol,8,dry,none,night,166,25451,coned001,ferna001,montj002,,
CHA199305270,KCA,CHA,CHI12,1993/05/27,0,12:35,day,true,meric901,garcr901,fordd901,younl901,pitches,61,rtol,12,dry,none,sunny,169,26530,hanec001,berej002,montj002,,
CHA199306040,BOS,CHA,CHI12,1993/06/04,0,8:07,night,true,morrd901,barnl901,koscg901,clara901,pitches,48,unknown,-1,soaked,rain,night,181,30949,harrg001,hernr001,russj001,,
CHA199306050,BOS,CHA,CHI12,1993/06/05,0,6:05,night,true,barnl901,koscg901,clara901,morrd901,pitches,67,unknown,-1,dry,none,night,192,41144,mcdoj001,violf001,,,
CHA199306060,BOS,CHA,CHI12,1993/06/06,0,1:35,day,true,koscg901,clara901,morrd901,barnl901,pitches,72,fromrf,12,dry,none,cloudy,143,42393,ferna001,melej001,hernr001,,
CHA199306070,DET,CHA,CHI12,1993/06/07,0,7:07,night,true,denkd901,shulj901,tscht901,joycj901,pitches,67,rtol,12,wet,none,night,159,27490,berej002,moorm001,palld001,,
CHA199306080,DET,CHA,CHI12,1993/06/08,0,9:33,night,true,shulj901,tscht901,joycj901,denkd901,pitches,75,fromrf,8,soaked,rain,night,187,25155,leitm001,schwj001,hennm001,,
CHA199306090,DET,CHA,CHI12,1993/06/09,0,7:07,night,true,tscht901,joycj901,denkd901,shulj901,pitches,79,tolf,13,dry,none,night,200,26553,welld001,alvaw001,hennm001,,
CHA199306210,TEX,CHA,CHI12,1993/06/21,0,7:06,night,true,morrd901,barnl901,koscg901,clara901,pitches,70,ltor,7,dry,none,night,170,40614,mcdoj001,browk001,hernr001,,
CHA199306220,TEX,CHA,CHI12,1993/06/22,0,7:26,night,true,barnl901,koscg901,clara901,morrd901,pitches,70,ltor,10,dry,none,night,181,36757,palld001,henkt001,,,
CHA199306230,TEX,CHA,CHI12,1993/06/23,0,12:37,day,true,koscg901,clara901,morrd901,barnl901,pitches,78,ltor,8,dry,none,sunny,178,32612,berej002,pavlr001,,,
CHA199306250,SEA,CHA,CHI12,1993/06/25,0,7:07,night,true,reedr901,merrd901,hirsj901,welkt901,pitches,78,tolf,5,dry,none,night,157,30196,leart001,alvaw001,charn001,,
CHA199306260,SEA,CHA,CHI12,1993/06/26,0,7:05,night,true,merrd901,hirsj901,welkt901,reedr901,pitches,82,ltor,18,wet,rain,overcast,170,43559,mcdoj001,hanse001,hernr001,burke001,
