game_id,inputprogvers,visteam,hometeam,site,date,number,starttime,daynight,usedh,gametype,umphome,ump1b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,ump2b,ump3b
BLS192408031,"""version 7RS(19) of 07/07/92""",BRG,BLS,BAL13,1924/08/03,1,0:00PM,day,false,regular,lyonu901,cromu901,"""Afro-American""","""Dave Lamoureaux""","""Dave Lamoureaux""",2021/08/07 10:14AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,0,willj109,britg103,,,,
BLS192408032,"""version 7RS(19) of 07/07/92""",BRG,BLS,BAL13,1924/08/03,2,0:00PM,day,false,regular,,,"""Afro-American""","""Dave Lamoureaux""","""Dave Lamoureaux""",2021/08/07 10:44AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,0,mcclb103,reddd101,,,,
CAG192405180,"""version 7RS(19) of 07/07/92""",CUW,CAG,CHI09,1924/05/18,0,0:00PM,day,false,regular,,,"""Chi Defender""","""Dave Lamoureaux""","""Dave Lamoureaux""",2021/09/25 3:25PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,0,harng101,martp107,,,,
HIL192410030,"""version 7RS(19) of 07/07/92""",KCM,HIL,PHI09,1924/10/03,0,0:00PM,day,false,championship,mcbrj901,freeb102,"""Pittsburgh Courier""","""Tom Thress""","""Tom Thress""",2020/08/11 6:06PM,park,none,0,unknown,-1,unknown,unknown,unknown,145,5366,rogab101,cockp101,,,doolt901,mcded901
HIL192410040,"""version 7RS(19) of 07/07/92""",KCM,HIL,PHI09,1924/10/04,0,0:00PM,day,false,championship,mcded901,mcbrj901,"""Pittsburgh Courier""","""Tom Thress""","""Tom Thress""",2020/08/11 11:02PM,park,none,0,unknown,-1,unknown,unknown,unknown,115,8661,wintn101,mccab107,,,freeb102,doolt901
HIL192410050,"""version 7RS(19) of 07/07/92""",KCM,HIL,BAL13,1924/10/05,0,0:00PM,day,false,championship,freeb102,doolt901,"""Baltimore Afro-American""","""Tom Thress""","""Tom Thress""",2020/09/10 12:26AM,park,none,0,unknown,-1,unknown,unknown,unknown,0,5503,,,,,mcded901,mcbrj901
HIL192410060,"""version 7RS(19) of 07/07/92""",KCM,HIL,BAL13,1924/10/06,0,0:00PM,day,false,championship,freeb102,doolt901,"""Baltimore Afro-American""","""Tom Thress""","""Tom Thress""",2020/09/10 12:47AM,park,none,0,unknown,-1,unknown,unknown,unknown,0,584,currr101,bellc102,,,mcded901,mcbrj901
KCM192410110,"""version 7RS(19) of 07/07/92""",HIL,KCM,KAN05,1924/10/11,0,0:00PM,day,false,championship,mcgrt901,andeo901,"""Pittsburgh Courier""","""Tom Thress""","""Tom Thress""",2020/08/11 11:32PM,park,none,0,unknown,-1,unknown,unknown,unknown,0,3891,wintn101,rogab101,,,costu901,goece901
KCM192410120,"""version 7RS(19) of 07/07/92""",HIL,KCM,KAN05,1924/10/12,0,0:00PM,day,false,championship,costu901,goece901,"""Pittsburgh Courier""","""Tom Thress""","""Tom Thress""",2020/08/12 12:10AM,park,none,0,unknown,-1,unknown,unknown,unknown,0,8885,bellw101,cockp101,drakb101,,mcgrt901,andeo901
KCM192410140,"""version 7RS(19) of 07/07/92""",HIL,KCM,KAN05,1924/10/14,0,0:00PM,day,false,championship,costu901,goece901,"""Chicago Defender""","""Tom Thress""","""Tom Thress""",2020/09/10 10:58PM,park,none,0,unknown,-1,unknown,unknown,unknown,0,2539,mendj101,wintn101,,,mcgrt901,andeo901
KCM192410180,"""version 7RS(19) of 07/07/92""",HIL,KCM,CHI09,1924/10/18,0,0:00PM,day,false,championship,goece901,mcgrt901,"""Chicago Defender""","""Tom Thress""","""Tom Thress""",2020/09/10 11:27PM,park,none,0,unknown,-1,unknown,unknown,unknown,0,2608,rogab101,currr101,,,costu901,mooru901
KCM192410190,"""version 7RS(19) of 07/07/92""",HIL,KCM,CHI09,1924/10/19,0,0:00PM,day,false,championship,mcgrt901,costu901,"""Chicago Defender""","""Tom Thress""","""Tom Thress""",2020/09/11 12:05AM,park,none,0,unknown,-1,unknown,unknown,unknown,0,6271,wintn101,drakb101,,,mooru901,goece901
KCM192410200,"""version 7RS(19) of 07/07/92""",HIL,KCM,CHI09,1924/10/20,0,0:00PM,day,false,championship,conlj102,costu901,"""Chicago Defender""","""Tom Thress""","""Tom Thress""",2020/09/11 12:24AM,park,none,0,unknown,-1,unknown,unknown,unknown,0,1549,mendj101,lee-s101,,,goece901,mooru901
CLE192404230,"""version 7RS(19) of 07/07/92""",DET,CLE,CLE06,1924/04/23,0,0:00PM,day,false,,owenb901,holmd102,"""39,118""","""D Lamoureaux/RWood""","""D Lamoureaux/RWood""",2005/05/14 8:09PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,155,23815,uhleg101,coleb101,,,(none),(none)
CLE192404240,"""version 7RS(19) of 07/07/92""",DET,CLE,CLE06,1924/04/24,0,0:00PM,day,false,,holmd102,owenb901,"""39""","""D Lamoureaux""","""D Lamoureaux""",2005/05/14 8:03PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,120,0,stonl101,edwaj102,,,(none),(none)
CLE192404250,"""version 7RS(19) of 07/07/92""",DET,CLE,CLE06,1924/04/25,0,0:00PM,day,false,,owenb901,holmd102,"""39""","""D Lamoureaux""","""D Lamoureaux""",2005/05/14 8:18PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,115,0,shauj101,daush101,,,(none),(none)
