game_id,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,inputter,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,translator,oscorer
HOU198604080,SFN,HOU,HOU02,1986/04/08,0,0:00PM,night,false,weyel901,rennd901,monte901,brocf901,"""C. Mueller""","""Don Gunning""",unknown,none,0,unknown,-1,unknown,unknown,unknown,140,22935,krukm001,ryann001,davim001,maldc001,,
HOU198604090,SFN,HOU,HOU02,1986/04/09,0,0:00PM,night,false,rennd901,monte901,brocf901,weyel901,"""Steven Copley""","""Don Gunning""",unknown,none,0,unknown,-1,unknown,unknown,unknown,153,6875,garrs001,scotm001,mintg001,clarw001,,
HOU198604100,SFN,HOU,HOU02,1986/04/10,0,0:00PM,night,false,monte901,brocf901,weyel901,rennd901,"""Steven Copley""","""Don Gunning""",unknown,none,0,unknown,-1,unknown,unknown,unknown,147,6070,knepb001,bluev001,,bassk001,,
HOU198604110,ATL,HOU,HOU02,1986/04/11,0,0:00PM,night,false,willb901,mcshj901,pullf901,westj901,"""Stacy Kaneshiro""","""Don Gunning""",unknown,none,0,unknown,-1,unknown,unknown,unknown,134,9357,kerfc001,palmd001,smitd001,davig001,,
HOU198604120,ATL,HOU,HOU02,1986/04/12,0,0:00PM,night,false,mcshj901,pullf901,westj901,willb901,"""Stacy Kaneshiro""","""Don Gunning""",unknown,none,0,unknown,-1,unknown,unknown,unknown,150,19803,ryann001,mahlr001,smitd001,reync001,,
HOU198604130,ATL,HOU,HOU02,1986/04/13,0,0:00PM,day,false,pullf901,westj901,willb901,mcshj901,"""Stacy Kaneshiro""","""Don Gunning""",unknown,none,0,unknown,-1,unknown,unknown,unknown,176,8739,johnj003,scotm001,garbg001,oberk001,,
HOU198604240,CIN,HOU,HOU02,1986/04/24,0,0:00PM,night,false,harvd901,steld901,grege901,davig901,"""Leeper/Jones""","""Don Gunning""",unknown,none,0,unknown,-1,unknown,unknown,unknown,155,10245,sotom001,maddm001,,,,
HOU198604250,CIN,HOU,HOU02,1986/04/25,0,0:00PM,night,false,steld901,grege901,davig901,harvd901,"""Bob Bailey""","""Don Gunning""",unknown,none,0,unknown,-1,unknown,unknown,unknown,127,16296,ryann001,browt001,,thond001,,
HOU198604260,CIN,HOU,HOU02,1986/04/26,0,0:00PM,night,false,grege901,davig901,harvd901,steld901,"""Bob Bailey""","""Don Gunning""",unknown,none,0,unknown,-1,unknown,unknown,unknown,126,38442,scotm001,gullb001,,,,
HOU198604270,CIN,HOU,HOU02,1986/04/27,0,0:00PM,day,false,davig901,harvd901,steld901,grege901,"""Clint Mueller""","""Don Gunning""",unknown,none,0,unknown,-1,unknown,unknown,unknown,126,12185,knepb001,dennj001,,cruzj001,,
HOU198605120,PHI,HOU,HOU02,1986/05/12,0,0:00PM,night,false,rennd901,brocf901,monte901,weyel901,"""Pat McCann""","""Don Gunning""",unknown,none,0,unknown,-1,unknown,unknown,unknown,138,8354,rawls001,deshj001,,samuj001,,
HOU198605130,PHI,HOU,HOU02,1986/05/13,0,0:00PM,night,false,brocf901,monte901,weyel901,rennd901,"""Leeper/Jones/James""","""Don Gunning""",unknown,none,0,unknown,-1,unknown,unknown,unknown,171,7087,solaj001,ruckd001,,walld001,,
HOU198605140,NYN,HOU,HOU02,1986/05/14,0,0:00PM,night,false,monte901,weyel901,rennd901,brocf901,"""Steve Mattan""","""Don Gunning""",unknown,none,0,unknown,-1,unknown,unknown,unknown,143,11626,knepb001,ojedb001,,bassk001,,
