,coef,std_err,z,p_value,conf_low,conf_high
const,-2.7251078741692067,0.08497397265576433,-32.0699125743928,1.1587247670920533e-225,-2.8916538001977963,-2.558561948140617
visitor_batters_top1,0.003771890838281018,0.03140745162305455,0.12009541186437019,0.9044075668887329,-0.05778558318908996,0.065329364865652
visitor_pitches_top1,-0.00047460384421603473,0.006408971510942214,-0.07405304320759275,0.9409681787087734,-0.013035957183606027,0.012086749495173958
top1_elapsed_seconds_final,1.7214923683579078e-07,8.424508171669594e-08,2.0434336738458376,0.04100952687486231,7.0319107964329435e-09,3.372665628751486e-07
