year,E[Y_away],E[Y_home],alpha,home_advantage
1911,0.5773026315789473,0.6472039473684211,1.9667585350672658,0.06990131578947378
1912,0.5836038961038962,0.6331168831168832,1.830922903128659,0.04951298701298701
1913,0.517522412387938,0.5541972290138552,2.1182667505924235,0.036674816625917206
1914,0.515743756786102,0.5542888165038002,2.0170894439185987,0.03854505971769828
1915,0.49227373068432667,0.48068432671081673,2.4326154561012556,-0.011589403973509937
1916,0.43944353518821627,0.5155482815057283,2.2484177063132975,0.07610474631751202
1917,0.43495934959349597,0.4983739837398374,2.1694366056295538,0.06341463414634141
1918,0.4783047426841575,0.4863773965691221,2.1076588987003633,0.008072653884964587
1919,0.49638336347197104,0.5533453887884267,2.0879630626342003,0.05696202531645561
1920,0.5239273927392739,0.6047854785478549,1.8650030156172885,0.080858085808581
1921,0.6064356435643565,0.6732673267326733,1.8972437648843332,0.06683168316831678
1922,0.5594059405940595,0.6328382838283828,1.968132330584501,0.07343234323432335
1923,0.5604770017035775,0.6592844974446338,1.9189585784019492,0.0988074957410563
1924,0.606990622335891,0.6760443307757885,2.0681823455099617,0.06905370843989755
1925,0.5632478632478632,0.676923076923077,1.9966749993692914,0.11367521367521372
1926,0.5134453781512605,0.6596638655462185,1.8779374807216558,0.14621848739495802
1927,0.554421768707483,0.5476190476190477,2.068299631525199,-0.006802721088435382
1928,0.5220458553791886,0.6481481481481481,2.009334187373948,0.12610229276895957
1929,0.5874476987447701,0.6677824267782426,2.062486658287923,0.08033472803347252
1930,0.6517706576728499,0.7192242833052277,2.0811877035533213,0.06745362563237778
1931,0.5943637916310844,0.7216054654141759,1.9653487532003853,0.12724167378309148
1932,0.6172624237140366,0.6591107236268527,2.1177263291492587,0.041848299912816134
1933,0.5784482758620689,0.6077586206896551,2.3762543615693907,0.02931034482758621
1934,0.6085836909871244,0.6626609442060086,2.108553113749886,0.054077253218884236
1935,0.5160729800173761,0.5586446568201564,2.193364298464306,0.04257167680278029
1936,0.6127819548872182,0.7263157894736841,2.024929518370715,0.11353383458646593
1937,0.5605318404478656,0.6962911126662001,2.189376485610017,0.1357592722183345
1938,0.5362752430815259,0.6896035901271503,2.299711607644238,0.15332834704562448
1939,0.5968109339407744,0.6302201974183751,2.1609371166467786,0.03340926347760065
1940,0.5569070373588183,0.6655082536924415,2.3263486473182464,0.10860121633362319
1941,0.49374999999999997,0.6723214285714286,2.2518022344587614,0.17857142857142866
1942,0.42551293487957176,0.5548617305976806,2.42803397856881,0.12934879571810887
1943,0.4690415606446141,0.5250212044105176,2.489227302687803,0.055979643765903475
1944,0.5299374441465593,0.5790884718498661,2.2526585044716168,0.049151027703306815
1945,0.5202578268876611,0.6206261510128913,2.128160134055186,0.10036832412523022
1946,0.4911986588432522,0.5632858340318525,2.3613712081079874,0.0720871751886003
1947,0.5930232558139534,0.5847176079734219,2.409225808678465,-0.00830564784053156
1948,0.5560859188544154,0.6555290373906125,2.5196278961699647,0.09944311853619714
1949,0.5808997632202053,0.6164167324388318,2.329686313931549,0.03551696921862646
1950,0.5499557913351018,0.748894783377542,2.6182000962791343,0.19893899204244025
1951,0.5233564013840829,0.5899653979238755,2.344465800433844,0.06660899653979258
1952,0.4999999999999999,0.5601374570446737,2.4584853277378924,0.06013745704467377
1953,0.5125418060200669,0.6120401337792643,1.8551499147471597,0.09949832775919731
1954,0.5588972431077696,0.6140350877192983,2.103576533479158,0.05513784461152871
1955,0.4796342477140484,0.6517040731504572,2.2332675529879418,0.1720698254364088
1956,0.5685785536159601,0.6525353283458022,2.17572310074202,0.08395677472984209
1957,0.44263628966639545,0.5614320585842149,2.1917144732283154,0.1187957689178194
1958,0.5332792207792207,0.5405844155844156,2.299662686695543,0.00730519480519487
1959,0.5230396119644302,0.5909458367016975,2.066136895425028,0.06790622473726737
1960,0.5129449838187701,0.5566343042071198,2.5028309599196934,0.04368932038834972
1961,0.4940600978336828,0.6037735849056604,2.450651530117178,0.10971348707197753
1962,0.5250463821892394,0.6017316017316017,2.3164939962834055,0.07668521954236229
1963,0.4028465346534652,0.5327970297029702,2.559821594620145,0.12995049504950495
1964,0.5129310344827587,0.5572660098522166,2.506197193044743,0.04433497536945796
1965,0.46996904024767805,0.5739938080495356,2.2973984611063933,0.10402476780185754
1966,0.4596273291925466,0.5416149068322982,2.226550160538131,0.08198757763975156
1967,0.4359925788497218,0.5510204081632654,2.245536940278752,0.11502782931354355
1968,0.3732919254658385,0.4925465838509316,2.5170159576458917,0.11925465838509308
1969,0.47070914696813965,0.6027749229188079,2.147315039663329,0.1320657759506682
1970,0.5025720164609054,0.6085390946502057,2.165077851649762,0.10596707818930029
1971,0.4535603715170278,0.5696594427244582,2.3241138283466527,0.1160990712074304
1972,0.4265734265734266,0.5260892953200644,2.2844044839407274,0.09951586874663781
1973,0.5023160061760166,0.584148224395265,2.354047336568775,0.08183221821924846
1974,0.5239074550128536,0.568637532133676,2.313384291002045,0.04473007712082233
1975,0.4503619441571872,0.6194415718717683,2.243807119061585,0.16907962771458107
1976,0.4765342960288808,0.5636926250644662,2.3029811283738644,0.08715832903558535
1977,0.5126010461245838,0.6314788397527341,2.040731841387741,0.11887779362815032
1978,0.439105613701237,0.6027592768791626,2.38556087417182,0.16365366317792562
1979,0.4837940896091516,0.6587225929456625,2.2213197753554397,0.1749285033365109
1980,0.5448931116389548,0.607125890736342,2.262305263455465,0.062232779097387225
1981,0.47345767575322817,0.5523672883787661,2.370966652986073,0.07890961262553797
1982,0.4921689606074987,0.5752254390128144,2.1761370714626085,0.08305647840531571
1983,0.519203413940256,0.5637743006164059,2.068597674751806,0.044570886676149835
1984,0.4883610451306414,0.6194774346793349,2.133992347421899,0.13111638954869353
1985,0.47265810746552545,0.5991440798858773,1.9319673688789958,0.1264859724203518
1986,0.4864479315263908,0.6019971469329528,2.077657836767399,0.11554921540656199
1987,0.5391923990498813,0.6109263657957245,1.8317415310404102,0.0717339667458432
1988,0.4690476190476191,0.5580952380952381,2.132881261779863,0.08904761904761899
1989,0.5170940170940173,0.5944919278252612,2.1046863586156315,0.07739791073124391
1990,0.49216152019002385,0.6308788598574823,2.1550067596808007,0.13871733966745842
1991,0.5955323193916349,0.7019961977186312,2.723951434651452,0.10646387832699633
1992,0.5531813865147198,0.6415004748338082,2.702499787445437,0.08831908831908841
1993,0.5244601145879242,0.6557955046275893,2.000068283153912,0.1313353900396651
1994,0.5981249999999999,0.6237499999999999,1.9883227918086779,0.02562500000000001
1995,0.6023797719385227,0.6579077838373821,2.055883042325957,0.055528011898859475
1996,0.6029995588883987,0.7295985884428761,2.306388171595976,0.12659902955447733
1997,0.587819947043248,0.6866725507502206,2.076045885289576,0.09885260370697257
1998,0.5160361842105263,0.6204769736842104,2.069967862199539,0.10444078947368407
1999,0.6062602965403624,0.6350906095551894,1.961625406330325,0.02883031301482697
2000,0.5969534787978591,0.7142857142857144,2.082906947570258,0.11733223548785532
2001,0.5434335117332235,0.6047756278303827,2.1671329592263477,0.06134211609715923
2002,0.5325638911788955,0.6145919208573783,2.21928400032597,0.08202802967848288
2003,0.5691358024691358,0.6547325102880658,2.191598227398252,0.08559670781893003
2004,0.5189456342668863,0.6322075782537068,2.2380097797435394,0.11326194398682043
2005,0.5335252982311804,0.6182640888523241,2.056440765700715,0.08473879062114364
2006,0.572251955537258,0.6615891313297654,2.1043265809161817,0.08933717579250733
2007,0.5503907856849034,0.6519950637597697,1.9019122824615071,0.10160427807486627
2008,0.5160626029654037,0.6268533772652389,2.0001737806282915,0.11079077429983519
2009,0.4917695473251028,0.6061728395061727,1.9951592713527417,0.11440329218106993
2010,0.48683127572016466,0.5695473251028808,2.0840600428241904,0.0827160493827161
2011,0.49526554137505135,0.5586661177439276,2.1946293512001516,0.06340057636887625
2012,0.5209876543209877,0.6053497942386831,1.9076956108377294,0.08436213991769537
2013,0.4689428218839984,0.5405183052241875,2.224617308227413,0.07157548334018915
2014,0.42674897119341565,0.5452674897119343,2.2166457125264496,0.11851851851851863
2015,0.5034993824619185,0.5916014820913956,2.1639430930023846,0.08810209962947713
2016,0.4851729818780891,0.6256177924217463,1.9612062558057184,0.1404448105436572
2017,0.5337448559670782,0.6106995884773663,2.092188318581787,0.07695473251028806
2018,0.49197860962566853,0.6001645413410119,2.1840238054303245,0.10818593171534341
2019,0.547550432276657,0.6125977768629064,2.0594525261316785,0.06504734458624939
2020,0.4688195991091313,0.5634743875278397,2.1152542113339465,0.09465478841870845
2021,0.506381226842322,0.6039522437216961,2.3631536498400982,0.09757101687937408
2022,0.4263374485596707,0.5604938271604938,2.2752075823850455,0.13415637860082308
2023,0.4753086419753087,0.5991769547325103,2.1564799789891773,0.12386831275720162
2024,0.4516261836146563,0.5438452037875668,2.4324057745916816,0.09221902017291056
