elapsed_bin,games,pct_scored,avg_elapse_sec,visitor_escape_rate
1,5144,0.0159409020217729,136.70986586314154,0.9840590979782271
2,5144,0.0332426127527216,197.2349965007776,0.9667573872472784
3,5144,0.0404354587869362,248.05013297045105,0.9595645412130638
4,5144,0.0633748055987558,317.65571967340594,0.9366251944012443
5,5144,0.1570762052877138,7160.977953926905,0.8429237947122862
