game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,scorer,translator,inputter,inputtime,umphome,ump1b,ump2b,ump3b,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,gametype
NYA192704120,"""version 7RS(19) of 07/07/92""",PHA,NYA,1927/04/12,NYC16,0,0:00PM,day,false,"""97,107,312""","""David W. Smith""","""David W. Smith""",1993/05/03 10:03PM,evanb901,hildg101,(none),mcgob901,park,none,0,unknown,-1,unknown,unknown,unknown,125,72000,hoytw101,grovl101,,,
NYA192704130,"""version 7RS(19) of 07/07/92""",PHA,NYA,1927/04/13,NYC16,0,3:30PM,day,false,"""97""","""David W. Smith""","""David W. Smith""",1993/05/03 10:11PM,hildg101,mcgob901,(none),evanb901,park,none,0,unknown,-1,unknown,unknown,unknown,135,8000,ruetd101,grays102,,,
NYA192704140,"""version 7RS(19) of 07/07/92""",PHA,NYA,1927/04/14,NYC16,0,3:30PM,day,false,"""97,73""","""David W. Smith""","""David W. Smith""",1993/05/03 10:45PM,mcgob901,evanb901,(none),hildg101,park,none,0,unknown,-1,unknown,unknown,unknown,170,9000,,,,,
NYA192704150,"""version 7RS(19) of 07/07/92""",PHA,NYA,1927/04/15,NYC16,0,3:30PM,day,false,"""97""","""David W. Smith""","""David W. Smith""",1993/05/03 11:49PM,mcgob901,evanb901,(none),hildg101,park,none,0,unknown,-1,unknown,unknown,unknown,147,16000,pennh101,ehmkh101,,,
NYA192704160,"""version 7RS(19) of 07/07/92""",BOS,NYA,1927/04/16,NYC16,0,0:00PM,day,false,"""97""","""David W. Smith""","""David W. Smith""",1993/05/03 11:57PM,hildg101,mcgob901,(none),evanb901,park,none,0,unknown,-1,unknown,unknown,unknown,125,25000,shocu101,ruffr101,,,
NYA192704170,"""version 7RS(19) of 07/07/92""",BOS,NYA,1927/04/17,NYC16,0,0:00PM,day,false,"""312""","""Fischthal""","""Fischthal""",2011/08/08 7:05PM,mcgob901,evanb901,(none),hildg101,unknown,none,0,unknown,-1,unknown,unknown,unknown,121,35000,hoytw101,russj103,,,
NYA192704180,"""version 7RS(19) of 07/07/92""",BOS,NYA,1927/04/18,NYC16,0,0:00PM,day,false,"""97""","""David W. Smith""","""David W. Smith""",1993/05/04 12:06AM,evanb901,hildg101,(none),mcgob901,park,none,0,unknown,-1,unknown,unknown,unknown,89,10000,ruetd101,harrs101,,,
NYA192704190,"""version 7RS(19) of 07/07/92""",BOS,NYA,1927/04/19,NYC16,0,0:00PM,day,false,"""97""","""David W. Smith""","""David W. Smith""",1993/05/04 12:16AM,hildg101,mcgob901,(none),evanb901,park,none,0,unknown,-1,unknown,unknown,unknown,119,8000,wilth101,shawb102,,,
NYA192704250,"""version 7RS(19) of 07/07/92""",WS1,NYA,1927/04/25,NYC16,0,0:00PM,day,false,"""97,312""","""David W. Smith""","""David W. Smith""",1993/05/09 12:03PM,owenb901,hildg101,(none),ormsr901,park,none,0,unknown,-1,unknown,unknown,overcast,159,3000,liseh101,hoytw101,,,
NYA192705010,"""version 7RS(19) of 07/07/92""",PHA,NYA,1927/05/01,NYC16,0,0:00PM,day,false,"""312""","""Fischthal""","""Fischthal""",2011/08/08 10:01PM,owenb901,ormsr901,(none),hildg101,unknown,none,0,unknown,-1,unknown,unknown,unknown,122,70000,pennh101,quinj102,,,
NYA192705271,"""version 7RS(19) of 07/07/92""",WS1,NYA,1927/05/27,NYC16,1,0:00PM,day,false,"""312""","""Fischthal""","""Fischthal""",2011/08/08 10:38PM,dinnb101,nalld901,(none),(none),unknown,none,0,unknown,-1,unknown,unknown,unknown,144,0,liseh101,pennh101,,,
NYA192705272,"""version 7RS(19) of 07/07/92""",WS1,NYA,1927/05/27,NYC16,2,0:00PM,day,false,"""65,312""","""David W. Smith""","""David W. Smith""",1993/05/14 6:50PM,nalld901,dinnb101,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,105,25000,hoytw101,hadlb101,,,
NYA192705281,"""version 7RS(19) of 07/07/92""",WS1,NYA,1927/05/28,NYC16,1,0:00PM,day,false,"""73""","""Tim Cashion""","""Tim Cashion""",1997/03/22 2:51PM,dinnb101,nalld901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,120,0,shocu101,thurs101,,,
NYA192705282,"""version 7RS(19) of 07/07/92""",WS1,NYA,1927/05/28,NYC16,2,0:00PM,day,false,"""65,73,312""","""David W. Smith""","""David W. Smith""",1993/05/14 7:03PM,nalld901,dinnb101,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,137,45000,marbf101,moorw101,,,
NYA192705290,"""version 7RS(19) of 07/07/92""",BOS,NYA,1927/05/29,NYC16,0,0:00PM,day,false,"""96,107,80,65,387,104,395""","""David W. Smith""","""David W. Smith""",2012/02/24 3:54PM,rowlp801,connt901,(none),vangr901,park,none,0,unknown,-1,unknown,unknown,unknown,137,35000,thomm101,wingt101,,,
NYA192706020,"""version 7RS(19) of 07/07/92""",DET,NYA,1927/06/02,NYC16,0,0:00PM,day,false,"""65""","""David W. Smith""","""David W. Smith""",1993/05/15 3:38PM,ormsr901,owenb901,(none),geish901,park,none,0,unknown,-1,unknown,unknown,unknown,91,15000,ruetd101,stonl101,,,
NYA192706030,"""version 7RS(19) of 07/07/92""",DET,NYA,1927/06/03,NYC16,0,0:00PM,day,false,"""65""","""David W. Smith""","""David W. Smith""",1993/05/15 3:49PM,owenb901,geish901,(none),ormsr901,park,none,0,unknown,-1,unknown,unknown,unknown,125,10000,hollk101,pennh101,,,
NYA192706050,"""version 7RS(19) of 07/07/92""",DET,NYA,1927/06/05,NYC16,0,0:00PM,day,false,"""312""","""Comly""","""Comly""",2012/01/30 3:07PM,geish901,ormsr901,(none),owenb901,park,none,0,unknown,-1,unknown,unknown,unknown,140,35000,thomm101,white102,,,
NYA192706070,"""version 7RS(19) of 07/07/92""",CHA,NYA,1927/06/07,NYC16,0,0:00PM,day,false,"""65,109""","""David W. Smith""","""David W. Smith""",1993/05/15 4:01PM,ormsr901,owenb901,(none),geish901,park,none,0,unknown,-1,unknown,unknown,unknown,125,15000,hoytw101,thomt103,,,
NYA192706080,"""version 7RS(19) of 07/07/92""",CHA,NYA,1927/06/08,NYC16,0,0:00PM,day,false,"""65,109,312""","""David W. Smith""","""David W. Smith""",1993/05/15 4:18PM,owenb901,geish901,(none),ormsr901,park,none,0,unknown,-1,unknown,unknown,unknown,195,25000,thomm101,conns101,,,
NYA192706090,"""version 7RS(19) of 07/07/92""",CHA,NYA,1927/06/09,NYC16,0,0:00PM,day,false,"""65,109""","""David W. Smith""","""David W. Smith""",1993/05/15 5:30PM,geish901,ormsr901,(none),owenb901,park,none,0,unknown,-1,unknown,unknown,unknown,130,15000,pennh101,blant101,,,
NYA192706100,"""version 7RS(19) of 07/07/92""",CHA,NYA,1927/06/10,NYC16,0,0:00PM,day,false,"""65,109""","""David W. Smith""","""David W. Smith""",1993/05/15 5:47PM,ormsr901,owenb901,(none),geish901,park,none,0,unknown,-1,unknown,unknown,unknown,110,12500,lyont102,shocu101,,,
NYA192706110,"""version 7RS(19) of 07/07/92""",CLE,NYA,1927/06/11,NYC16,0,0:00PM,day,false,"""65,39""","""David W. Smith""","""David W. Smith""",1993/05/15 6:07PM,hildg101,mcgob901,(none),evanb901,park,none,0,unknown,-1,unknown,unknown,unknown,135,27500,thomm101,buckg101,moorw101,,
NYA192706120,"""version 7RS(19) of 07/07/92""",CLE,NYA,1927/06/12,NYC16,0,0:00PM,day,false,"""39""","""Tim Cashion""","""Tim Cashion""",1997/03/25 12:01AM,mcgob901,evanb901,(none),hildg101,park,none,0,unknown,-1,unknown,unknown,unknown,127,45000,hudlw101,hoytw101,uhleg101,,
NYA192706130,"""version 7RS(19) of 07/07/92""",CLE,NYA,1927/06/13,NYC16,0,0:00PM,day,false,"""65,39""","""David W. Smith""","""David W. Smith""",1993/05/15 6:30PM,evanb901,hildg101,(none),mcgob901,park,none,0,unknown,-1,unknown,unknown,unknown,130,12000,pennh101,shauj101,,,
NYA192706160,"""version 7RS(19) of 07/07/92""",SLA,NYA,1927/06/16,NYC16,0,0:00PM,day,false,"""65,102""","""David W. Smith""","""David W. Smith""",1993/05/15 9:34PM,hildg101,mcgob901,(none),evanb901,park,none,0,unknown,-1,unknown,unknown,unknown,102,20000,hoytw101,zacht101,,,
NYA192706170,"""version 7RS(19) of 07/07/92""",SLA,NYA,1927/06/17,NYC16,0,0:00PM,day,false,"""65,102,128""","""David W. Smith""","""David W. Smith""",1993/05/16 10:54AM,mcgob901,evanb901,(none),hildg101,park,none,0,unknown,-1,unknown,unknown,unknown,112,8000,shocu101,nevee101,,,
NYA192706180,"""version 7RS(19) of 07/07/92""",SLA,NYA,1927/06/18,NYC16,0,0:00PM,day,false,"""65,102,128""","""David W. Smith""","""David W. Smith""",1993/05/16 11:09AM,evanb901,hildg101,(none),mcgob901,park,none,0,unknown,-1,unknown,unknown,unknown,140,22000,thomm101,vange101,moorw101,,
NYA192706251,"""version 7RS(19) of 07/07/92""",PHA,NYA,1927/06/25,NYC16,1,0:00PM,day,false,"""73""","""Tim Cashion""","""Tim Cashion""",1997/03/28 3:47PM,rowlp801,connt901,(none),vangr901,park,none,0,unknown,-1,unknown,unknown,unknown,145,0,grovl101,pennh101,patej101,,
NYA192706252,"""version 7RS(19) of 07/07/92""",PHA,NYA,1927/06/25,NYC16,2,0:00PM,day,false,"""73,65""","""David W. Smith""","""David W. Smith""",1993/05/16 9:43PM,vangr901,connt901,(none),rowlp801,park,none,0,unknown,-1,unknown,unknown,unknown,110,55000,walbr101,hoytw101,patej101,,
NYA192706261,"""version 7RS(19) of 07/07/92""",PHA,NYA,1927/06/26,NYC16,1,0:00PM,day,false,"""312""","""Comly""","""Comly""",2012/01/30 7:15PM,rowlp801,connt901,(none),vangr901,park,none,0,unknown,-1,unknown,unknown,unknown,110,0,quinj102,thomm101,,,
NYA192706262,"""version 7RS(19) of 07/07/92""",PHA,NYA,1927/06/26,NYC16,2,0:00PM,day,false,"""312""","""Comly""","""Comly""",2012/01/30 9:33PM,vangr901,connt901,(none),rowlp801,park,none,0,unknown,-1,unknown,none,sunny,105,61000,moorw101,grays102,,,
NYA192706270,"""version 7RS(19) of 07/07/92""",PHA,NYA,1927/06/27,NYC16,0,0:00PM,day,false,"""65""","""David W. Smith""","""David W. Smith""",1993/05/16 9:58PM,rowlp801,connt901,(none),vangr901,park,none,0,unknown,-1,unknown,unknown,unknown,107,12000,ruetd101,ehmkh101,pennh101,,
NYA192706280,"""version 7RS(19) of 07/07/92""",PHA,NYA,1927/06/28,NYC16,0,0:00PM,day,false,"""65,73""","""David W. Smith""","""David W. Smith""",1993/05/16 10:14PM,vangr901,connt901,(none),rowlp801,park,none,0,unknown,-1,unknown,unknown,unknown,138,15000,shocu101,walbr101,thomm101,,
NYA192706290,"""version 7RS(19) of 07/07/92""",BOS,NYA,1927/06/29,NYC16,0,0:00PM,day,false,"""65""","""David W. Smith""","""David W. Smith""",1993/05/16 10:28PM,rowlp801,connt901,(none),vangr901,park,none,0,unknown,-1,unknown,unknown,unknown,101,18000,pipgg101,wilth101,,,
NYA192706300,"""version 7RS(19) of 07/07/92""",BOS,NYA,1927/06/30,NYC16,0,0:00PM,day,false,"""65""","""David W. Smith""","""David W. Smith""",1993/05/16 10:45PM,vangr901,connt901,(none),rowlp801,park,none,0,unknown,-1,unknown,unknown,unknown,140,3000,moorw101,harrs101,,,
NYA192707010,"""version 7RS(19) of 07/07/92""",BOS,NYA,1927/07/01,NYC16,0,0:00PM,day,false,"""65""","""David W. Smith""","""David W. Smith""",1993/05/17 2:50PM,rowlp801,connt901,(none),vangr901,park,none,0,unknown,-1,unknown,unknown,unknown,120,10000,pennh101,macfd101,shawb102,,
NYA192707020,"""version 7RS(19) of 07/07/92""",BOS,NYA,1927/07/02,NYC16,0,0:00PM,day,false,"""65""","""David W. Smith""","""David W. Smith""",1993/05/17 3:06PM,vangr901,connt901,(none),rowlp801,park,none,0,unknown,-1,unknown,unknown,unknown,105,18000,ruetd101,russj103,,,
NYA192707041,"""version 7RS(19) of 07/07/92""",WS1,NYA,1927/07/04,NYC16,1,0:00PM,day,false,"""312""","""Comly""","""Comly""",2012/01/30 10:32PM,geish901,nalld901,(none),dinnb101,park,none,0,unknown,-1,unknown,unknown,unknown,127,0,pipgg101,thurs101,,,
NYA192707042,"""version 7RS(19) of 07/07/92""",WS1,NYA,1927/07/04,NYC16,2,0:00PM,day,false,"""312""","""Comly""","""Comly""",2012/01/30 11:13PM,nalld901,dinnb101,(none),geish901,park,none,0,unknown,-1,unknown,unknown,unknown,140,72641,moorw101,crowg102,,,
NYA192707050,"""version 7RS(19) of 07/07/92""",WS1,NYA,1927/07/05,NYC16,0,0:00PM,day,false,"""65""","""David W. Smith""","""David W. Smith""",1993/05/17 3:27PM,dinnb101,geish901,(none),nalld901,park,none,0,unknown,-1,unknown,unknown,unknown,157,12000,shawb102,liseh101,,,
NYA192707261,"""version 7RS(19) of 07/07/92""",SLA,NYA,1927/07/26,NYC16,1,1:50PM,day,false,"""65,102""","""Wayne Townsend""","""Wayne Townsend""",2004/08/05 10:34PM,dinnb101,ormsr901,(none),nalld901,park,none,0,unknown,-1,unknown,unknown,unknown,110,0,ruetd101,gastm101,,,
NYA192707262,"""version 7RS(19) of 07/07/92""",SLA,NYA,1927/07/26,NYC16,2,0:00PM,day,false,"""65""","""Wayne Townsend""","""Wayne Townsend""",2004/08/05 11:45PM,ormsr901,nalld901,(none),dinnb101,park,none,0,unknown,-1,unknown,unknown,unknown,110,25000,hoytw101,jones104,,,
NYA192707270,"""version 7RS(19) of 07/07/92""",SLA,NYA,1927/07/27,NYC16,0,0:00PM,day,false,"""102,65""","""Tim Cashion""","""Tim Cashion""",1997/03/30 9:55PM,nalld901,dinnb101,(none),ormsr901,park,none,0,unknown,-1,unknown,unknown,unknown,105,7000,pennh101,ballw101,,,
NYA192707280,"""version 7RS(19) of 07/07/92""",SLA,NYA,1927/07/28,NYC16,0,0:00PM,day,false,"""102,65""","""Wayne Townsend""","""Wayne Townsend""",2004/08/08 10:10PM,dinnb101,ormsr901,(none),nalld901,park,none,0,unknown,-1,unknown,unknown,unknown,110,8000,shocu101,vange101,,,
NYA192707290,"""version 7RS(19) of 07/07/92""",CLE,NYA,1927/07/29,NYC16,0,0:00PM,day,false,"""65,39""","""Tim Cashion""","""Tim Cashion""",1996/10/15 11:54PM,ormsr901,nalld901,(none),dinnb101,park,none,0,unknown,-1,unknown,unknown,unknown,144,7000,hudlw101,pipgg101,,,
NYA192707301,"""version 7RS(19) of 07/07/92""",CLE,NYA,1927/07/30,NYC16,1,0:00PM,day,false,"""39,65""","""Tim Cashion""","""Tim Cashion""",1996/11/25 7:43AM,nalld901,dinnb101,(none),ormsr901,park,none,0,unknown,-1,unknown,unknown,unknown,131,0,ruetd101,browj110,,,
NYA192707302,"""version 7RS(19) of 07/07/92""",CLE,NYA,1927/07/30,NYC16,2,0:00PM,day,false,"""39""","""David W. Smith""","""David W. Smith""",2012/02/03 11:31AM,dinnb101,ormsr901,(none),nalld901,park,none,0,unknown,-1,unknown,unknown,unknown,110,33000,hoytw101,shauj101,,,
NYA192708010,"""version 7RS(19) of 07/07/92""",CLE,NYA,1927/08/01,NYC16,0,0:00PM,day,false,"""65,39""","""Tim Cashion""","""Tim Cashion""",1996/12/10 12:05AM,nalld901,dinnb101,(none),(none),park,none,0,unknown,-1,wet,rain,overcast,84,15000,millj109,pennh101,,,
NYA192708031,"""version 7RS(19) of 07/07/92""",DET,NYA,1927/08/03,NYC16,1,0:00PM,day,false,"""65""","""Tim Cashion""","""Tim Cashion""",1995/08/09 4:54PM,vangr901,rowlp801,(none),connt901,unknown,none,0,unknown,-1,unknown,unknown,sunny,122,0,stonl101,shocu101,,,
NYA192708032,"""version 7RS(19) of 07/07/92""",DET,NYA,1927/08/03,NYC16,2,0:00PM,day,false,"""65,312""","""Tim Cashion/Smith""","""Tim Cashion/Smith""",1995/08/09 1:45PM,rowlp801,vangr901,(none),connt901,park,none,0,unknown,-1,unknown,unknown,sunny,137,40000,pipgg101,gibss101,moorw101,,
NYA192708040,"""version 7RS(19) of 07/07/92""",DET,NYA,1927/08/04,NYC16,0,0:00PM,day,false,"""65,312""","""Tim Cashion""","""Tim Cashion""",1995/08/09 7:47PM,vangr901,rowlp801,(none),connt901,park,none,0,unknown,-1,unknown,unknown,unknown,116,20000,carro101,ruetd101,,,
NYA192708050,"""version 7RS(19) of 07/07/92""",DET,NYA,1927/08/05,NYC16,0,0:00PM,day,false,"""65""","""Tim Cashion""","""Tim Cashion""",1995/08/09 9:10PM,rowlp801,vangr901,(none),connt901,unknown,none,0,unknown,-1,unknown,unknown,unknown,110,8000,hoytw101,hollk101,,,
NYA192708060,"""version 7RS(19) of 07/07/92""",CHA,NYA,1927/08/06,NYC16,0,0:00PM,day,false,"""65,109""","""Tim Cashion""","""Tim Cashion""",1995/08/21 10:57PM,vangr901,rowlp801,(none),connt901,park,none,0,unknown,-1,unknown,unknown,unknown,132,30000,lyont102,pennh101,,,
