game_id,inputprogvers,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,translator,oscorer,gametype
KC1195804210,"""version 7RS(19) of 07/07/92""",CLE,KC1,KAN05,1958/04/21,0,0:00PM,night,false,stevj901,nappl901,ricej901,romme101,"""CLE,39""","""Chris Chestnut/RWood""",1999/06/20 8:56PM,park,none,0,unknown,-1,unknown,unknown,unknown,153,6416,dickm101,ridzs101,gormt102,,"""Chris Chestnut/RWood""",,
KC1195804220,"""version 7RS(19) of 07/07/92""",CLE,KC1,KAN05,1958/04/22,0,0:00PM,day,false,nappl901,ricej901,romme101,stevj901,"""CLE,39""","""Chris Chestnut/RWood""",1999/06/21 7:16PM,park,none,0,unknown,-1,unknown,unknown,unknown,151,5151,garvn102,lemob101,gormt102,,"""Chris Chestnut/RWood""",,
KC1195804230,"""version 7RS(19) of 07/07/92""",DET,KC1,KAN05,1958/04/23,0,0:00PM,night,false,ricej901,romme101,stevj901,nappl901,"""Middlesworth""","""Elliott""",1998/01/12 7:41AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,147,12012,foytp101,maasd101,,,,,
KC1195804240,"""version 7RS(19) of 07/07/92""",DET,KC1,KAN05,1958/04/24,0,0:00PM,day,false,romme101,stevj901,nappl901,ricej901,"""Middlesworth""","""Elliott""",1998/01/13 7:14AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,136,4598,burnw101,shawb103,gormt102,,,,
KC1195805120,"""version 7RS(19) of 07/07/92""",CHA,KC1,KAN05,1958/05/12,0,0:00PM,night,false,honoj901,soarh901,umonf901,summb901,"""CHA""","""Chris Chestnut""",1999/07/01 9:38PM,park,none,0,unknown,-1,unknown,unknown,unknown,185,8238,dickm101,stalg103,,,"""Chris Chestnut""",,
KC1195805130,"""version 7RS(19) of 07/07/92""",CHA,KC1,KAN05,1958/05/13,0,0:00PM,night,false,soarh901,umonf901,summb901,honoj901,"""CHA""","""Chris Chestnut""",1999/07/02 5:16PM,park,none,0,unknown,-1,unknown,unknown,unknown,172,8797,wynne101,burnw101,,,"""Chris Chestnut""",,
KC1195805140,"""version 7RS(19) of 07/07/92""",CHA,KC1,KAN05,1958/05/14,0,0:00PM,night,false,umonf901,summb901,honoj901,soarh901,"""CHA""","""Chris Chestnut""",1999/07/04 12:37PM,park,none,0,unknown,-1,unknown,unknown,unknown,143,6353,donod101,maasd101,,,"""Chris Chestnut""",,
KC1195805150,"""version 7RS(19) of 07/07/92""",CHA,KC1,KAN05,1958/05/15,0,0:00PM,day,false,summb901,honoj901,soarh901,umonf901,"""CHA""","""Chris Chestnut""",1999/07/05 7:41PM,park,none,0,unknown,-1,unknown,unknown,unknown,117,5079,garvn102,wilsj104,,,"""Chris Chestnut""",,
KC1195805160,"""version 7RS(19) of 07/07/92""",DET,KC1,KAN05,1958/05/16,0,0:00PM,night,false,honoj901,soarh901,umonf901,summb901,"""Middlesworth""","""Elliott""",1998/01/23 7:22AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,153,11462,gormt102,morgt101,,,,,
KC1195805170,"""version 7RS(19) of 07/07/92""",DET,KC1,KAN05,1958/05/17,0,0:00PM,night,false,soarh901,umonf901,summb901,honoj901,"""Middlesworth""","""Elliott""",1998/01/24 10:32AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,120,13857,urbaj101,laryf101,,,,,
