player_id,last,first,bats,throws,team_id,pos,player_name,year,team_name
ander001,Anderson,Rick,R,R,KCA,P,Rick Anderson,1988,"A,Kansas City,Royals"
aquil001,Aquino,Luis,R,R,KCA,P,Luis Aquino,1988,"A,Kansas City,Royals"
balbs001,Balboni,Steve,R,R,KCA,1B,Steve Balboni,1988,"A,Kansas City,Royals"
bannf001,Bannister,Floyd,L,L,KCA,P,Floyd Bannister,1988,"A,Kansas City,Royals"
blacb001,Black,Buddy,L,L,KCA,P,Buddy Black,1988,"A,Kansas City,Royals"
boslt001,Bosley,Thad,L,L,KCA,OF,Thad Bosley,1988,"A,Kansas City,Royals"
bretg001,Brett,George,L,R,KCA,1B,George Brett,1988,"A,Kansas City,Royals"
buckb001,Buckner,Bill,L,L,KCA,DH,Bill Buckner,1988,"A,Kansas City,Royals"
caprn001,Capra,Nick,R,R,KCA,OF,Nick Capra,1988,"A,Kansas City,Royals"
dejej001,De Jesus,Jose,R,R,KCA,P,Jose De Jesus,1988,"A,Kansas City,Royals"
delol001,de los Santos,Luis,R,R,KCA,1B,Luis de los Santos,1988,"A,Kansas City,Royals"
eisej001,Eisenreich,Jim,L,L,KCA,OF,Jim Eisenreich,1988,"A,Kansas City,Royals"
farrs001,Farr,Steve,R,R,KCA,P,Steve Farr,1988,"A,Kansas City,Royals"
garbg001,Garber,Gene,R,R,KCA,P,Gene Garber,1988,"A,Kansas City,Royals"
gleaj001,Gleaton,Jerry,L,L,KCA,P,Jerry Gleaton,1988,"A,Kansas City,Royals"
gordt001,Gordon,Tom,R,R,KCA,P,Tom Gordon,1988,"A,Kansas City,Royals"
gubim001,Gubicza,Mark,R,R,KCA,P,Mark Gubicza,1988,"A,Kansas City,Royals"
heare001,Hearn,Ed,R,R,KCA,C,Ed Hearn,1988,"A,Kansas City,Royals"
jackb001,Jackson,Bo,R,R,KCA,OF,Bo Jackson,1988,"A,Kansas City,Royals"
lee-m002,Lee,Mark,L,L,KCA,P,Mark Lee,1988,"A,Kansas City,Royals"
leibc001,Leibrandt,Charlie,R,L,KCA,P,Charlie Leibrandt,1988,"A,Kansas City,Royals"
macfm001,Macfarlane,Mike,R,R,KCA,C,Mike Macfarlane,1988,"A,Kansas City,Royals"
madis001,Madison,Scotti,B,R,KCA,C,Scotti Madison,1988,"A,Kansas City,Royals"
montj002,Montgomery,Jeff,R,R,KCA,P,Jeff Montgomery,1988,"A,Kansas City,Royals"
owend001,Owen,Dave,B,R,KCA,SS,Dave Owen,1988,"A,Kansas City,Royals"
owenl001,Owen,Larry,R,R,KCA,C,Larry Owen,1988,"A,Kansas City,Royals"
palar001,Palacios,Rey,R,R,KCA,C,Rey Palacios,1988,"A,Kansas City,Royals"
pecob001,Pecota,Bill,R,R,KCA,SS,Bill Pecota,1988,"A,Kansas City,Royals"
powet001,Power,Ted,R,R,KCA,P,Ted Power,1988,"A,Kansas City,Royals"
quirj001,Quirk,Jamie,L,R,KCA,C,Jamie Quirk,1988,"A,Kansas City,Royals"
quisd001,Quisenberry,Dan,R,R,KCA,P,Dan Quisenberry,1988,"A,Kansas City,Royals"
sabeb001,Saberhagen,Bret,R,R,KCA,P,Bret Saberhagen,1988,"A,Kansas City,Royals"
sanci001,Sanchez,Israel,L,L,KCA,P,Israel Sanchez,1988,"A,Kansas City,Royals"
seitk001,Seitzer,Kevin,R,R,KCA,3B,Kevin Seitzer,1988,"A,Kansas City,Royals"
stilk001,Stillwell,Kurt,B,R,KCA,SS,Kurt Stillwell,1988,"A,Kansas City,Royals"
