game_id,hometeam,visteam,home_first_inning_runs,visiting_first_inning_runs,home_pitcher,away_pitcher,wp,lp,winner
BLS193010051,BLS,ASB,0,0,,,mcdow101,sherr102,
BLS193010120,BLS,ASB,4,0,,,mcdow101,weavj101,
BLS193010191,BLS,ASB,0,0,,,mcdow101,romme101,
BLS193010192,BLS,ASB,0,0,,,heffd101,flouw101,
BOS193004150,BOS,WS1,0,3,,D,browl101,ruffr101,WS1
BOS193004160,BOS,WS1,0,1,,D,hadlb101,gastm101,WS1
BOS193004191,BOS,NYA,0,0,,D,morre102,johnh101,BOS
BOS193004192,BOS,NYA,0,0,,D,russj103,pennh101,BOS
BOS193004200,BOS,PHA,1,1,,D,quinj102,macfd101,PHA
BOS193004280,BOS,PHA,2,1,,D,walbr101,morre102,PHA
BOS193004290,BOS,PHA,0,2,,D,earng101,ruffr101,PHA
BOS193004300,BOS,PHA,1,0,,D,gastm101,quinj102,BOS
BOS193005020,BOS,CLE,0,0,,D,ferrw101,liseh101,CLE
BOS193005030,BOS,CLE,0,2,,D,hardm101,russj103,CLE
BOS193005040,BOS,CLE,3,0,,D,hardm101,morre102,CLE
BOS193005050,BOS,CLE,0,2,,D,gastm101,hudlw101,BOS
BOS193005060,BOS,CHA,0,0,,D,lyont102,morre102,CHA
BOS193005070,BOS,CHA,1,2,,D,liseh101,mckah101,BOS
BOS193005080,BOS,CHA,0,0,,D,russj103,thomt103,BOS
BOS193005090,BOS,SLA,0,0,,D,macfd101,crowg102,BOS
BOS193005100,BOS,SLA,0,0,,D,gastm101,grays102,BOS
BOS193005120,BOS,SLA,0,0,,D,collr104,liseh101,SLA
BOS193005130,BOS,DET,0,0,,D,herra101,russj103,DET
BOS193005160,BOS,NYA,0,0,,D,durhe101,sherr102,BOS
BOS193005170,BOS,NYA,1,0,,D,johnh101,gastm101,NYA
BOS193005180,BOS,NYA,0,1,,D,pipgg101,morre102,NYA
BOS193005200,BOS,NYA,0,0,,D,pennh101,durhe101,NYA
BOS193006190,BOS,SLA,1,0,,D,macfd101,collr104,BOS
BOS193006200,BOS,SLA,0,1,,D,grays102,liseh101,SLA
BOS193006210,BOS,SLA,0,2,,D,russj103,stewl101,BOS
BOS193006221,BOS,DET,0,0,,D,white102,gastm101,DET
BOS193006222,BOS,DET,2,1,,D,hoytw101,durhe101,DET
BOS193006230,BOS,DET,0,0,,D,macfd101,sullc101,BOS
BOS193006241,BOS,DET,1,0,,D,liseh101,uhleg101,BOS
BOS193006242,BOS,DET,0,0,,D,herra101,mulrf101,DET
BOS193006260,BOS,CHA,0,0,,D,gastm101,mckah101,BOS
BOS193006280,BOS,CHA,0,1,,D,macfd101,henrd101,BOS
BOS193006291,BOS,CHA,2,1,,D,liseh101,faber101,BOS
BOS193006292,BOS,CHA,0,0,,D,lyont102,russj103,CHA
BOS193006300,BOS,CLE,0,0,,D,beanb101,durhe101,CLE
BOS193007010,BOS,CLE,0,0,,D,gastm101,hardm101,BOS
BOS193007020,BOS,CLE,0,1,,D,morre102,ferrw101,BOS
BOS193007041,BOS,PHA,0,1,,D,durhe101,walbr101,BOS
BOS193007042,BOS,PHA,1,0,,D,romme101,liseh101,PHA
BOS193007050,BOS,PHA,0,0,,D,mahar101,gastm101,PHA
BOS193007060,BOS,PHA,0,0,,D,earng101,macfd101,PHA
BOS193007070,BOS,WS1,0,1,,D,crowg102,morre102,WS1
BOS193007080,BOS,WS1,0,1,,D,marbf101,liseh101,WS1
BOS193007091,BOS,WS1,0,0,,D,jones104,russj103,WS1
BOS193007092,BOS,WS1,0,0,,D,gastm101,browl101,BOS
BOS193007100,BOS,WS1,1,1,,D,hadlb101,macfd101,WS1
BOS193007301,BOS,NYA,0,0,,D,pennh101,gastm101,NYA
BOS193007302,BOS,NYA,0,1,,D,pipgg101,russj103,NYA
BOS193007310,BOS,NYA,3,2,,D,welle101,morre102,NYA
BOS193008010,BOS,NYA,0,1,,D,ruffr101,liseh101,NYA
BOS193008080,BOS,DET,6,0,,D,russj103,hoytw101,BOS
BOS193008090,BOS,DET,0,0,,D,sorrv101,liseh101,DET
BOS193008110,BOS,DET,1,0,,D,macfd101,uhleg101,BOS
BOS193008120,BOS,SLA,0,0,,D,liseh101,kimsc101,BOS
BOS193008130,BOS,SLA,0,1,,D,stewl101,russj103,SLA
BOS193008140,BOS,SLA,2,0,,D,durhe101,blaeg101,BOS
BOS193008171,BOS,CLE,0,1,,D,hudlw101,liseh101,CLE
BOS193008172,BOS,CLE,0,1,,D,browc103,macfd101,CLE
BOS193008191,BOS,CLE,0,2,,D,ferrw101,gastm101,CLE
BOS193008192,BOS,CLE,1,0,,D,lawsr101,russj103,CLE
BOS193008210,BOS,CHA,0,1,,D,liseh101,thomt103,BOS
BOS193008220,BOS,CHA,1,0,,D,lyont102,macfd101,CHA
BOS193008242,BOS,CHA,0,2,,D,carap101,durhe101,CHA
BOS193008280,BOS,PHA,0,0,,D,liseh101,earng101,BOS
BOS193008300,BOS,PHA,0,1,,D,grovl101,gastm101,PHA
BOS193008310,BOS,PHA,1,0,,D,shorb102,macfd101,PHA
BOS193009240,BOS,WS1,0,0,,D,liseh101,crowg102,BOS
BOS193009250,BOS,WS1,0,0,,D,liska101,macfd101,WS1
BOS193009260,BOS,WS1,1,0,,D,gastm101,hadlb101,BOS
BOS193009270,BOS,WS1,0,0,,D,fiscc101,durhe101,WS1
BOS193009280,BOS,NYA,0,0,,D,ruthb101,liseh101,NYA
BRO193004150,BRO,PHI,0,0,,D,sweel101,clarw101,PHI
BRO193004190,BRO,BSN,0,4,,D,smitb110,vancd101,BSN
BRO193004200,BRO,BSN,0,0,,D,seibs101,clarw101,BSN
BRO193004210,BRO,BSN,4,0,,D,luqud101,brane101,BRO
BRO193004270,BRO,NY1,0,0,,D,fitzf101,clarw101,NY1
BRO193005110,BRO,PIT,3,0,,D,vancd101,frenl101,BRO
BRO193005181,BRO,PHI,1,0,,D,ellij103,bengr101,BRO
BRO193005182,BRO,PHI,1,0,,D,phelr101,ellih102,BRO
BRO193005250,BRO,NY1,1,0,,D,luqud101,mitcc102,BRO
BRO193005260,BRO,NY1,1,0,,D,vancd101,fitzf101,BRO
BRO193005270,BRO,NY1,0,1,,D,walkb101,ellij103,NY1
BRO193005290,BRO,NY1,0,0,,D,clarw101,hubbc101,BRO
BRO193005301,BRO,PHI,5,0,,D,dudlc101,willc102,BRO
BRO193005302,BRO,PHI,0,2,,D,morrj105,bengr101,BRO
BRO193005310,BRO,PHI,0,2,,D,collh104,vancd101,PHI
BRO193006010,BRO,PHI,1,0,,D,luqud101,sweel101,BRO
BRO193006030,BRO,PIT,2,0,,D,clarw101,speng101,BRO
BRO193006040,BRO,PIT,0,4,,D,frenl101,dudlc101,PIT
BRO193006050,BRO,PIT,1,1,,D,ellij103,pettj103,BRO
BRO193006060,BRO,CHN,0,0,,D,rootc101,vancd101,CHN
BRO193006070,BRO,CHN,0,3,,D,clarw101,nelsl101,BRO
BRO193006080,BRO,CHN,0,0,,D,luqud101,teacb101,BRO
BRO193006110,BRO,CIN,0,0,,D,vancd101,rixee101,BRO
BRO193006120,BRO,CIN,0,1,,D,mossr101,freyb101,BRO
BRO193006130,BRO,CIN,0,5,,D,campa102,luqud101,CIN
BRO193006140,BRO,SLN,0,1,,D,clarw101,rhemf101,BRO
BRO193006150,BRO,SLN,0,0,,D,graba101,vancd101,SLN
BRO193006160,BRO,SLN,1,0,,D,phelr101,johns101,BRO
BRO193006220,BRO,PIT,0,0,,D,luqud101,frenl101,BRO
BRO193007060,BRO,BSN,2,1,,D,ellij103,seibs101,BRO
BRO193007070,BRO,BSN,0,0,,D,mossr101,smitb110,BRO
BRO193007080,BRO,BSN,0,2,,D,zacht101,clarw101,BSN
BRO193007091,BRO,BSN,0,0,,D,vancd101,franf101,BRO
BRO193007092,BRO,BSN,0,1,,D,phelr101,sherb101,BRO
BRO193007130,BRO,PIT,0,0,,D,frenl101,ellij103,PIT
BRO193007140,BRO,PIT,4,0,,D,vancd101,speng101,BRO
BRO193007150,BRO,PIT,0,0,,D,clarw101,brame101,BRO
BRO193007161,BRO,CHN,0,3,,D,malop103,mossr101,CHN
BRO193007162,BRO,CHN,0,0,,D,luqud101,rootc101,BRO
BRO193007170,BRO,CHN,0,1,,D,bushg101,vancd101,CHN
BRO193007180,BRO,CHN,0,0,,D,blaks101,ellij103,CHN
BRO193007190,BRO,CHN,1,0,,D,osbob102,vancd101,CHN
BRO193007200,BRO,SLN,2,0,,D,haidh101,clarw101,SLN
BRO193007211,BRO,SLN,0,0,,D,mossr101,rhemf101,BRO
BRO193007212,BRO,SLN,2,2,,D,graba101,luqud101,SLN
BRO193007220,BRO,SLN,0,0,,D,thurs101,hallb104,BRO
BRO193007230,BRO,SLN,0,0,,D,luqud101,johns101,BRO
BRO193007241,BRO,CIN,0,2,,D,kolpr101,vancd101,CIN
BRO193007242,BRO,CIN,2,0,,D,phelr101,freyb101,BRO
BRO193007250,BRO,CIN,0,0,,D,mossr101,lucar102,BRO
BRO193007260,BRO,CIN,1,0,,D,phelr101,may-j102,BRO
BRO193007271,BRO,PHI,0,0,,D,ellij103,sweel101,BRO
BRO193007272,BRO,PHI,0,0,,D,luqud101,hanss101,BRO
BRO193008020,BRO,NY1,0,2,,D,walkb101,mossr101,NY1
BRO193008030,BRO,NY1,0,0,,D,vancd101,hubbc101,BRO
BRO193008040,BRO,NY1,0,1,,D,fitzf101,clarw101,NY1
BRO193008050,BRO,NY1,1,0,,D,phelr101,walkb101,BRO
BRO193008170,BRO,PIT,2,0,,D,vancd101,frenl101,BRO
BRO193008310,BRO,PHI,3,0,,D,luqud101,sweel101,BRO
BRO193009060,BRO,PHI,3,0,,D,luqud101,sweel101,BRO
BRO193009070,BRO,NY1,2,0,,D,vancd101,prueh101,BRO
BRO193009090,BRO,CHN,1,0,,D,phelr101,malop103,BRO
BRO193009100,BRO,CHN,5,0,,D,luqud101,rootc101,BRO
BRO193009110,BRO,CHN,2,0,,D,vancd101,bushg101,BRO
BRO193009120,BRO,CIN,1,0,,D,mossr101,kolpr101,BRO
BRO193009130,BRO,CIN,1,0,,D,phelr101,freyb101,BRO
BRO193009140,BRO,CIN,2,3,,D,ellij103,rixee101,BRO
BRO193009150,BRO,CIN,6,3,,D,clarw101,lucar102,BRO
BRO193009160,BRO,SLN,0,0,,D,hallb104,vancd101,SLN
BRO193009170,BRO,SLN,1,0,,D,graba101,luqud101,SLN
BRO193009180,BRO,SLN,0,0,,D,grimb101,phelr101,SLN
BRO193009200,BRO,PIT,1,0,,D,frenl101,ellij103,PIT
BRO193009210,BRO,PIT,0,0,,D,brame101,clarw101,PIT
BRO193009230,BRO,NY1,0,1,,D,fitzf101,vancd101,NY1
BRO193009271,BRO,BSN,1,0,,D,vancd101,brane101,BRO
BRO193009272,BRO,BSN,0,1,,D,zacht101,ellij103,BSN
BRO193009280,BRO,BSN,0,2,,D,thurs101,seibs101,BRO
BSN193004250,BSN,BRO,1,2,,D,vancd101,cantb102,BRO
BSN193004260,BSN,BRO,0,0,,D,seibs101,ellij103,BSN
BSN193004270,BSN,PHI,0,0,,D,grimb101,willc102,BSN
BSN193005210,BSN,BRO,0,4,,D,vancd101,grimb101,BRO
BSN193005220,BSN,BRO,0,1,,D,seibs101,morrj105,BSN
BSN193005230,BSN,BRO,0,0,,D,clarw101,brane101,BRO
BSN193005240,BSN,BRO,0,0,,D,phelr101,smitb110,BRO
BSN193005280,BSN,PHI,1,0,,D,seibs101,collp102,BSN
BSN193005301,BSN,NY1,0,1,,D,cantb102,prueh101,BSN
BSN193005302,BSN,NY1,0,1,,D,cunnb104,genej101,BSN
BSN193005310,BSN,NY1,0,0,,D,smitb110,mitcc102,BSN
BSN193006011,BSN,NY1,2,0,,D,walkb101,brane101,NY1
BSN193006012,BSN,NY1,0,0,,D,fitzf101,seibs101,NY1
BSN193006030,BSN,CHN,0,0,,D,teacb101,grimb101,CHN
BSN193006040,BSN,CHN,0,3,,D,bushg101,seibs101,CHN
BSN193006050,BSN,CHN,3,0,,D,osbob102,smitb110,CHN
BSN193006060,BSN,PIT,0,0,,D,meinh101,cantb102,PIT
BSN193006070,BSN,PIT,1,0,,D,zacht101,kremr101,BSN
BSN193006080,BSN,PIT,0,0,,D,seibs101,frenl101,BSN
BSN193006100,BSN,SLN,0,0,,D,franf101,smitb110,SLN
BSN193006130,BSN,SLN,0,4,,D,grimb101,bellh101,BSN
BSN193006140,BSN,CIN,0,0,,D,seibs101,bentl101,BSN
BSN193006150,BSN,CIN,0,0,,D,cantb102,kolpr101,BSN
BSN193006160,BSN,CIN,0,0,,D,freyb101,grimb101,CIN
BSN193006171,BSN,CIN,3,0,,D,franf101,may-j102,BSN
BSN193006172,BSN,CIN,0,3,,D,brane101,rixee101,BSN
BSN193007120,BSN,CHN,0,0,,D,teacb101,cantb102,CHN
BSN193007131,BSN,CHN,0,0,,D,seibs101,blaks101,BSN
BSN193007132,BSN,CHN,0,0,,D,smitb110,bushg101,BSN
