game_id,inning,batting_home,batter_id,count_raw,balls,strikes,pitches,event_raw
PHA193004150,1.0,0.0,combe101,??,,,,S6
PHA193004150,1.0,0.0,koenm101,??,,,,43.1-2
PHA193004150,1.0,0.0,ruthb101,??,,,,8/L
PHA193004150,1.0,0.0,gehrl101,??,,,,31
PHA193004150,1.0,1.0,bishm102,??,,,,43
PHA193004150,1.0,1.0,haasm101,??,,,,W
PHA193004150,1.0,1.0,cochm101,??,,,,13.1-2
PHA193004150,1.0,1.0,simma101,??,,,,HR/9.2-H
PHA193004150,1.0,1.0,foxxj101,??,,,,43
PHA193004150,2.0,0.0,lazzt101,??,,,,43
PHA193004150,2.0,0.0,cookd102,??,,,,W
PHA193004150,2.0,0.0,chapb102,??,,,,36(1)/FO
PHA193004150,2.0,0.0,dickb101,??,,,,S8.1-3
PHA193004150,2.0,0.0,pipgg101,??,,,,13
PHA193004150,2.0,1.0,millb110,??,,,,63
PHA193004150,2.0,1.0,dykej101,??,,,,S8
PHA193004150,2.0,1.0,bolej101,??,,,,9
PHA193004150,2.0,1.0,grovl101,??,,,,K
PHA193004150,3.0,0.0,combe101,??,,,,7
PHA193004150,3.0,0.0,koenm101,??,,,,W
PHA193004150,3.0,0.0,ruthb101,??,,,,DGR/89.1-3
PHA193004150,3.0,0.0,gehrl101,??,,,,E3/TH1.3-H(RBI);2-H(NR)(UR)
PHA193004150,3.0,0.0,lazzt101,??,,,,K
PHA193004150,3.0,0.0,cookd102,??,,,,K
PHA193004150,3.0,1.0,bishm102,??,,,,S3
PHA193004150,3.0,1.0,haasm101,??,,,,PB.1-2
PHA193004150,3.0,1.0,haasm101,??,,,,S8.2-H
PHA193004150,3.0,1.0,cochm101,??,,,,7
PHA193004150,3.0,1.0,simma101,??,,,,64(1)/FO.B-2
PHA193004150,3.0,1.0,foxxj101,??,,,,S8.2-H
PHA193004150,3.0,1.0,millb110,??,,,,63
PHA193004150,4.0,0.0,chapb102,??,,,,K
PHA193004150,4.0,0.0,dickb101,??,,,,6/L
PHA193004150,4.0,0.0,pipgg101,??,,,,W
PHA193004150,4.0,0.0,combe101,??,,,,K/C
PHA193004150,4.0,1.0,dykej101,??,,,,5/FL
PHA193004150,4.0,1.0,bolej101,??,,,,8
PHA193004150,4.0,1.0,grovl101,??,,,,K
PHA193004150,5.0,0.0,koenm101,??,,,,S9
PHA193004150,5.0,0.0,ruthb101,??,,,,K
PHA193004150,5.0,0.0,gehrl101,??,,,,S7.1-2
PHA193004150,5.0,0.0,lazzt101,??,,,,64(1)3/GDP
PHA193004150,5.0,1.0,bishm102,??,,,,W
PHA193004150,5.0,1.0,haasm101,??,,,,54/SH.1-2
PHA193004150,5.0,1.0,cochm101,??,,,,S8.2-H
PHA193004150,5.0,1.0,simma101,??,,,,54(1)/FO.B-2(E4/TH)
PHA193004150,5.0,1.0,foxxj101,??,,,,53
PHA193004150,6.0,0.0,cookd102,??,,,,2/FL
PHA193004150,6.0,0.0,chapb102,??,,,,4/P
PHA193004150,6.0,0.0,dickb101,??,,,,K/C
PHA193004150,6.0,1.0,millb110,??,,,,9
PHA193004150,6.0,1.0,dykej101,??,,,,FLE2
PHA193004150,6.0,1.0,dykej101,??,,,,7
PHA193004150,6.0,1.0,bolej101,??,,,,7
PHA193004150,7.0,0.0,pipgg101,??,,,,NP
PHA193004150,7.0,0.0,hargb101,??,,,,K
PHA193004150,7.0,0.0,combe101,??,,,,E6/TH1
PHA193004150,7.0,0.0,koenm101,??,,,,46(1)3/GDP
PHA193004150,7.0,1.0,grovl101,??,,,,NP
PHA193004150,7.0,1.0,grovl101,??,,,,K/C
PHA193004150,7.0,1.0,bishm102,??,,,,W
PHA193004150,7.0,1.0,haasm101,??,,,,S9.1-3
PHA193004150,7.0,1.0,cochm101,??,,,,K
PHA193004150,7.0,1.0,simma101,??,,,,WP.3-H;1-2
PHA193004150,7.0,1.0,simma101,??,,,,K
PHA193004150,8.0,0.0,ruthb101,??,,,,9/FL
PHA193004150,8.0,0.0,gehrl101,??,,,,S9
PHA193004150,8.0,0.0,lazzt101,??,,,,K
PHA193004150,8.0,0.0,cookd102,??,,,,K
PHA193004150,8.0,1.0,foxxj101,??,,,,63
PHA193004150,8.0,1.0,millb110,??,,,,9
PHA193004150,8.0,1.0,dykej101,??,,,,S7
