game_id,player_id,is_home,batting_order,field_pos_code,field_pos,event
MIN200704020,robeb003,0,0,1,P,start
MIN200704020,moram002,0,0,2,C,start
MIN200704020,markn001,0,0,3,1B,start
MIN200704020,tejam001,0,0,4,2B,start
MIN200704020,huffa001,0,0,5,3B,start
MIN200704020,gibbj002,0,0,6,SS,start
MIN200704020,millk005,0,0,7,LF,start
MIN200704020,pattc001,0,0,8,CF,start
MIN200704020,bakop001,0,0,9,RF,start
MIN200704020,bedae001,0,0,0,0,start
MIN200704020,castl001,0,1,1,P,start
MIN200704020,puntn001,0,1,2,C,start
MIN200704020,mauej001,0,1,3,1B,start
MIN200704020,cuddm001,0,1,4,2B,start
MIN200704020,mornj001,0,1,5,3B,start
MIN200704020,huntt001,0,1,6,SS,start
MIN200704020,whitr001,0,1,7,LF,start
MIN200704020,cirij001,0,1,8,CF,start
MIN200704020,bartj001,0,1,9,RF,start
MIN200704020,santj003,0,1,0,0,start
MIN200704020,wills002,0,0,0,0,sub
MIN200704020,tynej001,0,1,8,CF,sub
MIN200704020,parrj003,0,0,0,0,sub
MIN200704020,reyed001,0,1,0,0,sub
MIN200704020,craij001,0,1,0,0,sub
MIN200704020,rincj001,0,1,0,0,sub
MIN200704020,baezd001,0,0,0,0,sub
MIN200704020,nathj001,0,1,0,0,sub
MIN200704020,bynuf001,0,0,9,RF,sub
MIN200704030,robeb003,0,0,1,P,start
MIN200704030,moram002,0,0,2,C,start
MIN200704030,markn001,0,0,3,1B,start
MIN200704030,tejam001,0,0,4,2B,start
MIN200704030,huffa001,0,0,5,3B,start
MIN200704030,gibbj002,0,0,6,SS,start
MIN200704030,millk005,0,0,7,LF,start
MIN200704030,pattc001,0,0,8,CF,start
MIN200704030,casta001,0,0,9,RF,start
MIN200704030,cabrd001,0,0,0,0,start
MIN200704030,castl001,0,1,1,P,start
MIN200704030,puntn001,0,1,2,C,start
MIN200704030,mauej001,0,1,3,1B,start
MIN200704030,cuddm001,0,1,4,2B,start
MIN200704030,mornj001,0,1,5,3B,start
MIN200704030,huntt001,0,1,6,SS,start
MIN200704030,whitr001,0,1,7,LF,start
MIN200704030,kubej002,0,1,8,CF,start
MIN200704030,bartj001,0,1,9,RF,start
MIN200704030,bonsb001,0,1,0,0,start
MIN200704030,neshp001,0,1,0,0,sub
MIN200704030,tynej001,0,1,7,LF,sub
MIN200704030,tynej001,0,1,7,LF,sub
MIN200704030,rincj001,0,1,0,0,sub
MIN200704030,reyed001,0,1,0,0,sub
MIN200704030,craij001,0,1,0,0,sub
MIN200704030,walkj001,0,0,0,0,sub
MIN200704030,bradc001,0,0,0,0,sub
MIN200704030,nathj001,0,1,0,0,sub
MIN200704030,bynuf001,0,0,9,RF,sub
MIN200704040,robeb003,0,0,1,P,start
MIN200704040,moram002,0,0,2,C,start
MIN200704040,markn001,0,0,3,1B,start
MIN200704040,tejam001,0,0,4,2B,start
MIN200704040,huffa001,0,0,5,3B,start
MIN200704040,gibbj002,0,0,6,SS,start
MIN200704040,gomec001,0,0,7,LF,start
MIN200704040,pattc001,0,0,8,CF,start
MIN200704040,bakop001,0,0,9,RF,start
MIN200704040,wrigj002,0,0,0,0,start
MIN200704040,castl001,0,1,1,P,start
MIN200704040,puntn001,0,1,2,C,start
MIN200704040,mauej001,0,1,3,1B,start
MIN200704040,cuddm001,0,1,4,2B,start
MIN200704040,mornj001,0,1,5,3B,start
MIN200704040,huntt001,0,1,6,SS,start
MIN200704040,whitr001,0,1,7,LF,start
MIN200704040,kubej002,0,1,8,CF,start
MIN200704040,bartj001,0,1,9,RF,start
MIN200704040,ortir002,0,1,0,0,start
MIN200704040,guthj001,0,0,0,0,sub
MIN200704040,tynej001,0,1,4,2B,sub
MIN200704040,parrj003,0,0,0,0,sub
MIN200704040,walkj001,0,0,0,0,sub
MIN200704040,guerm001,0,1,0,0,sub
