game_id,hometeam,visteam,home_first_inning_runs,visiting_first_inning_runs
ASW193309100,ASW,ASE,0,0
BOS193304210,BOS,NYA,0,3
BOS193304220,BOS,NYA,0,0
BOS193304230,BOS,PHA,3,0
BOS193304240,BOS,PHA,2,0
BOS193304250,BOS,PHA,1,0
BOS193304270,BOS,WS1,0,1
BOS193305160,BOS,SLA,0,0
BOS193305170,BOS,SLA,0,0
BOS193305180,BOS,SLA,0,0
BOS193305190,BOS,DET,1,0
BOS193305200,BOS,DET,0,0
BOS193305210,BOS,DET,0,0
BOS193305220,BOS,CHA,1,0
BOS193305230,BOS,CHA,0,2
BOS193305250,BOS,CLE,1,1
BOS193305260,BOS,CLE,0,0
BOS193305270,BOS,CLE,0,0
BOS193305281,BOS,CLE,1,1
BOS193305282,BOS,CLE,0,1
BOS193305301,BOS,PHA,0,0
BOS193305302,BOS,PHA,2,1
BOS193306081,BOS,WS1,0,0
BOS193306090,BOS,WS1,0,3
BOS193306100,BOS,WS1,0,0
BOS193306111,BOS,NYA,0,0
BOS193306112,BOS,NYA,1,4
BOS193306130,BOS,NYA,0,2
BOS193306140,BOS,NYA,0,0
BOS193306150,BOS,NYA,2,0
BOS193306171,BOS,PHA,0,4
BOS193306172,BOS,PHA,1,0
BOS193307080,BOS,SLA,0,1
BOS193307100,BOS,SLA,3,0
BOS193307110,BOS,DET,0,0
BOS193307130,BOS,DET,0,0
BOS193307140,BOS,DET,1,1
BOS193307150,BOS,CLE,3,1
BOS193307160,BOS,CLE,0,0
BOS193307180,BOS,CLE,0,0
BOS193307190,BOS,CLE,0,0
BOS193307200,BOS,CHA,0,0
BOS193307210,BOS,CHA,0,0
BOS193307220,BOS,CHA,0,0
BOS193307231,BOS,CHA,0,1
BOS193307232,BOS,CHA,2,0
BOS193307261,BOS,NYA,0,0
BOS193307262,BOS,NYA,2,0
BOS193307270,BOS,PHA,2,0
BOS193307290,BOS,PHA,0,0
BOS193307300,BOS,PHA,5,0
BOS193308100,BOS,WS1,0,0
BOS193308110,BOS,WS1,0,1
BOS193308120,BOS,WS1,0,0
BOS193308130,BOS,PHA,10,0
BOS193309051,BOS,WS1,0,0
BOS193309060,BOS,DET,1,1
BOS193309081,BOS,DET,2,0
BOS193309090,BOS,DET,0,0
BOS193309101,BOS,SLA,0,0
BOS193309102,BOS,SLA,0,0
BOS193309120,BOS,SLA,1,1
BOS193309130,BOS,SLA,0,0
BOS193309180,BOS,CLE,0,3
BOS193309190,BOS,CLE,0,1
BOS193309230,BOS,NYA,0,2
BOS193309240,BOS,NYA,3,0
BRO193304160,BRO,NY1,0,0
BRO193304200,BRO,PHI,0,0
BRO193304220,BRO,PHI,2,1
BRO193304230,BRO,BSN,0,0
BRO193304260,BRO,BSN,0,0
BRO193304270,BRO,BSN,0,0
BRO193304290,BRO,NY1,0,0
BRO193304300,BRO,PHI,0,0
BRO193305020,BRO,SLN,1,0
BRO193305040,BRO,PIT,0,0
BRO193305050,BRO,PIT,0,1
BRO193305071,BRO,SLN,1,2
BRO193305072,BRO,SLN,0,0
BRO193305110,BRO,CIN,2,0
BRO193305120,BRO,CIN,0,6
BRO193305130,BRO,CIN,0,1
BRO193305140,BRO,PHI,2,0
BRO193305280,BRO,NY1,1,0
BRO193306041,BRO,NY1,0,0
BRO193306042,BRO,NY1,0,3
BRO193306060,BRO,NY1,0,0
BRO193306100,BRO,BSN,1,1
BRO193306111,BRO,BSN,0,1
BRO193306112,BRO,BSN,0,0
BRO193306180,BRO,PHI,0,0
BRO193306190,BRO,SLN,0,1
BRO193306200,BRO,SLN,0,4
BRO193306210,BRO,SLN,5,0
BRO193306220,BRO,PIT,2,0
BRO193306230,BRO,PIT,0,1
BRO193306240,BRO,PIT,0,0
BRO193306251,BRO,PIT,0,3
BRO193306252,BRO,PIT,4,0
BRO193306270,BRO,CIN,3,1
BRO193306281,BRO,CIN,0,0
BRO193306282,BRO,CIN,0,0
BRO193306290,BRO,CHN,0,1
BRO193306300,BRO,CHN,1,2
BRO193307010,BRO,CHN,0,0
BRO193307021,BRO,CHN,0,0
BRO193307022,BRO,CHN,0,0
BRO193307041,BRO,PHI,0,0
BRO193307042,BRO,PHI,0,0
BRO193307230,BRO,NY1,0,1
BRO193307300,BRO,PHI,0,0
BRO193308061,BRO,NY1,0,0
BRO193308062,BRO,NY1,0,2
BRO193308080,BRO,NY1,0,0
BRO193308120,BRO,BSN,0,1
BRO193308131,BRO,BSN,0,0
BRO193308132,BRO,BSN,7,0
BRO193308161,BRO,PIT,0,0
BRO193308162,BRO,PIT,0,0
BRO193308190,BRO,SLN,0,0
BRO193308201,BRO,SLN,1,0
BRO193308202,BRO,SLN,0,0
BRO193308241,BRO,CIN,1,0
BRO193308242,BRO,CIN,1,2
BRO193308251,BRO,CIN,1,0
BRO193308252,BRO,CIN,3,0
BRO193308261,BRO,CIN,0,0
BRO193308262,BRO,CIN,0,0
BRO193308271,BRO,CHN,0,1
BRO193308272,BRO,CHN,0,0
BRO193308291,BRO,CHN,0,0
BRO193308292,BRO,CHN,0,0
BRO193308301,BRO,CHN,0,0
BRO193308302,BRO,CHN,0,1
BRO193308311,BRO,SLN,0,6
BRO193308312,BRO,SLN,0,3
BRO193309020,BRO,PHI,0,0
BRO193309101,BRO,PIT,0,0
BRO193309102,BRO,PIT,0,0
BRO193309241,BRO,PHI,1,1
BRO193309242,BRO,PHI,0,0
BRO193309281,BRO,BSN,0,1
BRO193309282,BRO,BSN,0,0
BRO193309290,BRO,BSN,0,2
BRO193309300,BRO,NY1,0,1
BRO193310010,BRO,NY1,0,0
BSN193304160,BSN,PHI,0,1
BSN193304190,BSN,BRO,0,0
BSN193304280,BSN,PHI,2,0
BSN193304290,BSN,PHI,0,0
BSN193304301,BSN,NY1,0,0
BSN193304302,BSN,NY1,2,0
BSN193305020,BSN,CIN,0,0
BSN193305030,BSN,CIN,0,0
BSN193305040,BSN,CIN,0,1
BSN193305050,BSN,CHN,0,0
BSN193305060,BSN,CHN,0,0
BSN193305080,BSN,PIT,0,0
BSN193305090,BSN,PIT,0,0
BSN193305110,BSN,SLN,0,0
BSN193305120,BSN,SLN,0,0
BSN193305130,BSN,SLN,0,5
BSN193306021,BSN,BRO,0,0
BSN193306022,BSN,BRO,0,0
BSN193306031,BSN,BRO,0,0
BSN193306032,BSN,BRO,0,0
BSN193306070,BSN,PHI,0,0
BSN193306181,BSN,PIT,0,5
BSN193306182,BSN,PIT,0,0
BSN193306200,BSN,PIT,0,0
BSN193306211,BSN,PIT,3,0
BSN193306212,BSN,PIT,0,0
BSN193306220,BSN,CHN,0,1
BSN193306240,BSN,CHN,0,0
BSN193306252,BSN,CHN,1,3
BSN193306270,BSN,SLN,0,0
BSN193306281,BSN,SLN,0,0
BSN193306282,BSN,SLN,0,0
BSN193306300,BSN,CIN,3,0
BSN193307010,BSN,CIN,1,0
BSN193307021,BSN,CIN,0,0
BSN193307022,BSN,CIN,0,0
BSN193307030,BSN,NY1,0,0
BSN193307041,BSN,NY1,2,0
BSN193307042,BSN,NY1,0,0
BSN193308021,BSN,BRO,0,0
BSN193308022,BSN,BRO,0,0
BSN193308030,BSN,BRO,0,0
BSN193308041,BSN,BRO,3,0
BSN193308042,BSN,BRO,1,0
BSN193308050,BSN,BRO,0,0
BSN193308090,BSN,PHI,0,0
BSN193308150,BSN,CHN,0,0
BSN193308160,BSN,CHN,0,0
BSN193308180,BSN,CHN,2,3
BSN193308190,BSN,PIT,1,0
BSN193308201,BSN,PIT,0,3
BSN193308202,BSN,PIT,3,0
BSN193308220,BSN,PIT,2,0
BSN193308230,BSN,SLN,3,0
BSN193308240,BSN,SLN,2,2
BSN193308260,BSN,SLN,0,0
BSN193308271,BSN,CIN,0,0
BSN193308272,BSN,CIN,0,0
BSN193308280,BSN,CIN,0,0
BSN193308300,BSN,CIN,1,0
BSN193308310,BSN,NY1,2,0
BSN193309011,BSN,NY1,0,0
BSN193309012,BSN,NY1,0,0
BSN193309020,BSN,NY1,0,2
BSN193309032,BSN,NY1,0,0
BSN193309300,BSN,PHI,0,0
BSN193310010,BSN,PHI,0,0
CHA193304190,CHA,SLA,1,0
CHA193304200,CHA,SLA,0,0
CHA193304210,CHA,SLA,0,0
CHA193304220,CHA,CLE,0,0
CHA193304230,CHA,CLE,0,0
CHA193304240,CHA,CLE,2,0
CHA193304260,CHA,DET,1,0
CHA193304270,CHA,DET,1,1
CHA193305040,CHA,PHA,2,0
CHA193305071,CHA,BOS,0,0
CHA193305072,CHA,BOS,0,1
CHA193305080,CHA,NYA,1,2
CHA193305100,CHA,NYA,2,0
CHA193305130,CHA,WS1,2,0
CHA193305141,CHA,WS1,3,0
CHA193305142,CHA,WS1,0,4
CHA193305301,CHA,CLE,1,0
CHA193305302,CHA,CLE,0,2
CHA193306080,CHA,DET,0,0
CHA193306090,CHA,DET,1,3
CHA193306100,CHA,DET,0,2
CHA193306112,CHA,DET,0,1
CHA193306120,CHA,SLA,0,1
CHA193306130,CHA,SLA,0,0
CHA193306140,CHA,SLA,0,2
CHA193306170,CHA,NYA,0,0
CHA193306181,CHA,NYA,0,3
CHA193306182,CHA,NYA,0,3
CHA193306190,CHA,NYA,0,1
CHA193306200,CHA,NYA,0,0
CHA193306210,CHA,WS1,0,3
CHA193306220,CHA,WS1,1,3
CHA193306230,CHA,WS1,1,0
CHA193306240,CHA,WS1,0,0
