Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA▲,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Hyun Jin Ryu,32,LAD,NL,5.1,14,5,.737,2.32,29,29,0,1,1,0,182.2,160,53,47,17,24,2,163,4,0,0,723,179,3.10,1.007,7.9,0.8,1.2,8.0,6.79,ASCYA-2MVP-19,ryuhy01
2,Jacob deGrom,31,NYM,NL,7.2,11,8,.579,2.43,32,32,0,0,0,0,204.0,154,59,55,19,44,1,255,7,0,2,804,169,2.67,0.971,6.8,0.8,1.9,11.3,5.80,ASCYA-1MVP-10,degroja01
3,Gerrit Cole,28,HOU,AL,6.7,20,5,.800,2.50,33,33,0,0,0,0,212.1,142,66,59,29,48,0,326,3,3,4,817,185,2.64,0.895,6.0,1.2,2.0,13.8,6.79,ASCYA-2MVP-10,colege01
4,Justin Verlander,36,HOU,AL,7.4,21,6,.778,2.58,34,34,0,2,1,0,223.0,137,66,64,36,42,0,300,6,0,4,847,179,3.27,0.803,5.5,1.5,1.7,12.1,7.14,ASCYA-1MVP-11,verlaju01
5,Michael Soroka,21,ATL,NL,6.0,13,4,.765,2.68,29,29,0,0,0,0,174.2,153,56,52,14,41,1,142,7,0,3,701,171,3.45,1.111,7.9,0.7,2.1,7.3,3.46,ASCYA-6ROY-2,sorokmi01
6,Jack Flaherty,23,STL,NL,5.7,11,8,.579,2.75,33,33,0,0,0,0,196.1,135,62,60,25,55,2,231,7,0,6,772,152,3.46,0.968,6.2,1.1,2.5,10.6,4.20,CYA-4MVP-13,flaheja01
7,Sonny Gray,29,CIN,NL,6.2,11,8,.579,2.87,31,31,0,0,0,0,175.1,122,59,56,17,68,1,205,7,1,7,708,162,3.42,1.084,6.3,0.9,3.5,10.5,3.01,ASCYA-7,grayso01
8,Max Scherzer,34,WSN,NL,5.3,11,7,.611,2.92,27,27,0,0,0,0,172.1,144,59,56,18,33,2,243,7,0,0,693,154,2.45,1.027,7.5,0.9,1.7,12.7,7.36,ASCYA-3MVP-22,scherma01
9,Zack Greinke,35,2TM,2LG,5.4,18,5,.783,2.93,33,33,0,0,0,0,208.2,175,73,68,21,30,2,187,4,1,2,810,154,3.22,0.982,7.5,0.9,1.3,8.1,6.23,ASGGSS,greinza01
10,Clayton Kershaw,31,LAD,NL,3.3,16,5,.762,3.03,29,28,0,0,0,0,178.1,145,63,60,28,41,0,189,2,1,7,706,137,3.86,1.043,7.3,1.4,2.1,9.5,4.61,ASCYA-8,kershcl01
11,Charlie Morton,35,TBR,AL,4.9,16,6,.727,3.05,33,33,0,0,0,0,194.2,154,71,66,15,57,0,240,12,1,5,790,144,2.81,1.084,7.1,0.7,2.6,11.1,4.21,ASCYA-3MVP-21,mortoch02
12,Marcus Stroman,28,2TM,2LG,4.1,10,13,.435,3.22,32,32,0,0,0,0,184.1,183,77,66,18,58,1,159,1,0,7,774,137,3.72,1.307,8.9,0.9,2.8,7.8,2.74,AS,stromma01
13,Patrick Corbin,29,WSN,NL,5.1,14,7,.667,3.25,33,33,0,1,1,0,202.0,169,81,73,24,70,2,238,3,0,4,835,138,3.49,1.183,7.5,1.1,3.1,10.6,3.40,CYA-11,corbipa01
14,Walker Buehler,24,LAD,NL,2.3,14,4,.778,3.26,30,30,0,2,0,0,182.1,153,77,66,20,37,0,215,7,0,4,737,127,3.01,1.042,7.6,1.0,1.8,10.6,5.81,ASCYA-9,buehlwa01
15,Shane Bieber,24,CLE,AL,4.8,15,8,.652,3.28,34,33,1,3,2,0,214.1,186,86,78,31,40,1,259,6,1,6,859,144,3.32,1.054,7.8,1.3,1.7,10.9,6.48,ASCYA-4,biebesh01
16,Stephen Strasburg,30,WSN,NL,5.7,18,6,.750,3.32,33,33,0,0,0,0,209.0,161,79,77,24,56,4,251,10,0,8,841,135,3.25,1.038,6.9,1.0,2.4,10.8,4.48,CYA-5MVP-15,strasst01
17,Dakota Hudson,24,STL,NL,2.1,16,7,.696,3.35,33,32,1,0,0,1,174.2,160,80,65,22,86,8,136,9,0,5,757,125,4.93,1.408,8.2,1.1,4.4,7.0,1.58,ROY-5,hudsoda02
18,Luis Castillo,26,CIN,NL,5.2,15,8,.652,3.40,32,32,0,0,0,0,190.2,139,76,72,22,79,0,226,7,3,5,781,137,3.70,1.143,6.6,1.0,3.7,10.7,2.86,AS,castilu02
19,Lucas Giolito,24,CHW,AL,5.4,14,9,.609,3.41,29,29,0,3,2,0,176.2,131,69,67,24,57,1,228,4,0,6,705,134,3.43,1.064,6.7,1.2,2.9,11.6,4.00,ASCYA-6,giolilu01
20,Kyle Hendricks,29,CHC,NL,3.3,11,10,.524,3.46,30,30,0,1,1,0,177.0,168,78,68,19,32,1,150,9,0,1,730,127,3.61,1.130,8.5,1.0,1.6,7.6,4.69,,hendrky01
21,Jeff Samardzija,34,SFG,NL,3.4,11,12,.478,3.52,32,32,0,0,0,0,181.1,152,78,71,28,49,4,140,6,0,5,740,119,4.59,1.108,7.5,1.4,2.4,6.9,2.86,,samarje01
22,Mike Minor,31,TEX,AL,8.0,14,10,.583,3.59,32,32,0,2,1,0,208.1,190,86,83,30,68,1,200,7,0,2,863,144,4.25,1.238,8.2,1.3,2.9,8.6,2.94,ASCYA-8,minormi01
23,Lance Lynn,32,TEX,AL,7.7,16,11,.593,3.67,33,33,0,0,0,0,208.1,195,89,85,21,59,0,246,8,0,18,875,141,3.13,1.219,8.4,0.9,2.5,10.6,4.17,CYA-5,lynnla01
24,José Berríos,25,MIN,AL,3.6,14,8,.636,3.68,32,32,0,1,0,0,200.1,194,94,82,26,51,0,195,9,1,8,842,123,3.85,1.223,8.7,1.2,2.3,8.8,3.82,AS,berrijo01
25,Eduardo Rodríguez,26,BOS,AL,5.5,19,6,.760,3.81,34,34,0,0,0,0,203.1,195,88,86,24,75,2,213,7,0,3,859,128,3.86,1.328,8.6,1.1,3.3,9.4,2.84,CYA-6,rodried05
26,Julio Teheran,28,ATL,NL,3.1,10,11,.476,3.81,33,33,0,0,0,0,174.2,148,81,74,22,83,3,162,14,1,5,754,120,4.66,1.323,7.6,1.1,4.3,8.3,1.95,,teherju01
27,Aníbal Sánchez,35,WSN,NL,3.2,11,8,.579,3.85,30,30,0,0,0,0,166.0,153,77,71,22,58,10,134,4,3,1,712,117,4.44,1.271,8.3,1.2,3.1,7.3,2.31,,sanchan01
28,Aaron Nola,26,PHI,NL,3.6,12,7,.632,3.87,34,34,0,0,0,0,202.1,176,91,87,27,80,3,229,11,0,3,852,115,4.03,1.265,7.8,1.2,3.6,10.2,2.86,,nolaaa01
29,Sandy Alcantara,23,MIA,NL,3.3,6,14,.300,3.88,32,32,0,2,2,0,197.1,179,94,85,23,81,5,151,8,1,4,838,110,4.55,1.318,8.2,1.0,3.7,6.9,1.86,AS,alcansa01
30,Brett Anderson,31,OAK,AL,2.9,13,9,.591,3.89,31,31,0,0,0,0,176.0,181,80,76,20,49,2,90,4,0,4,743,111,4.57,1.307,9.3,1.0,2.5,4.6,1.84,,anderbr04
31,Anthony DeSclafani,29,CIN,NL,3.3,9,9,.500,3.89,31,31,0,0,0,0,166.2,151,77,72,29,49,5,167,4,1,2,696,120,4.43,1.200,8.2,1.6,2.6,9.0,3.41,,desclan01
32,Mike Fiers,34,OAK,AL,3.4,15,4,.789,3.90,33,33,0,1,1,0,184.2,166,82,80,30,53,0,126,9,1,13,754,110,4.97,1.186,8.1,1.5,2.6,6.1,2.38,,fiersmi01
33,Madison Bumgarner,29,SFG,NL,2.9,9,9,.500,3.90,34,34,0,0,0,0,207.2,191,99,90,30,43,3,203,10,0,3,844,107,3.90,1.127,8.3,1.3,1.9,8.8,4.72,,bumgama01
34,Zack Wheeler,29,NYM,NL,3.2,11,8,.579,3.96,31,31,0,0,0,0,195.1,196,93,86,22,50,4,195,2,0,5,828,103,3.48,1.259,9.0,1.0,2.3,9.0,3.90,,wheelza01
35,Yu Darvish,32,CHC,NL,3.0,6,8,.429,3.98,31,31,0,0,0,0,178.2,140,82,79,33,56,1,229,11,0,11,731,111,4.18,1.097,7.1,1.7,2.8,11.5,4.09,,darviyu01
36,Wade Miley,32,HOU,AL,1.6,14,6,.700,3.98,33,33,0,0,0,0,167.1,164,83,74,23,61,0,140,5,2,4,720,116,4.51,1.345,8.8,1.2,3.3,7.5,2.30,,mileywa01
37,Marco Gonzales,27,SEA,AL,3.0,16,13,.552,3.99,34,34,0,0,0,0,203.0,210,106,90,23,56,1,147,6,1,2,866,109,4.15,1.310,9.3,1.0,2.5,6.5,2.63,,gonzama02
38,Max Fried,25,ATL,NL,3.0,17,6,.739,4.02,33,30,1,1,0,0,165.2,174,80,74,21,47,3,173,5,1,11,702,114,3.72,1.334,9.5,1.1,2.6,9.4,3.68,,friedma01
39,Zach Eflin,25,PHI,NL,1.3,10,13,.435,4.13,32,28,3,2,1,0,163.1,172,88,75,28,48,5,129,6,0,1,705,108,4.85,1.347,9.5,1.5,2.6,7.1,2.69,,eflinza01
40,Miles Mikolas,30,STL,NL,1.7,9,14,.391,4.16,32,32,0,1,1,0,184.0,193,90,85,27,32,1,144,12,2,5,764,101,4.27,1.223,9.4,1.3,1.6,7.0,4.50,,mikolmi01
41,Joey Lucchesi,26,SDP,NL,2.3,10,10,.500,4.18,30,30,0,0,0,0,163.2,144,78,76,23,56,0,158,2,0,8,686,100,4.17,1.222,7.9,1.3,3.1,8.7,2.82,,lucchjo01
42,Brad Keller,23,KCR,AL,3.0,7,14,.333,4.19,28,28,0,0,0,0,165.1,154,80,77,15,70,2,122,9,1,9,709,114,4.35,1.355,8.4,0.8,3.8,6.6,1.74,,kellebr01
43,Adam Wainwright,37,STL,NL,1.7,14,10,.583,4.19,31,31,0,0,0,0,171.2,181,83,80,22,64,7,153,8,0,2,745,100,4.36,1.427,9.5,1.2,3.4,8.0,2.39,,wainwad01
44,Noah Syndergaard,26,NYM,NL,2.1,10,8,.556,4.28,32,32,0,1,1,0,197.2,194,101,94,24,50,2,202,6,0,4,825,96,3.60,1.234,8.8,1.1,2.3,9.2,4.04,,syndeno01
45,Mike Leake,31,2TM,2LG,1.3,12,11,.522,4.29,32,32,0,2,1,0,197.0,227,114,94,41,27,2,127,10,0,2,835,102,5.19,1.289,10.4,1.9,1.2,5.8,4.70,GG,leakemi01
46,Robbie Ray,27,ARI,NL,1.6,12,8,.600,4.34,33,33,0,0,0,0,174.1,150,91,84,30,84,5,235,5,0,7,747,103,4.29,1.342,7.7,1.5,4.3,12.1,2.80,,rayro02
47,Tanner Roark,32,2TM,2LG,2.5,10,10,.500,4.35,31,31,0,0,0,0,165.1,180,84,80,28,51,1,158,13,0,3,722,105,4.67,1.397,9.8,1.5,2.8,8.6,3.10,,roarkta01
48,Merrill Kelly,30,ARI,NL,1.2,13,14,.481,4.42,32,32,0,0,0,0,183.1,184,95,90,29,57,4,158,2,0,4,777,101,4.51,1.315,9.0,1.4,2.8,7.8,2.77,,kellyme01
49,Joe Musgrove,26,PIT,NL,1.7,11,12,.478,4.44,32,31,0,0,0,0,170.1,168,98,84,21,39,1,157,9,0,2,718,97,3.82,1.215,8.9,1.1,2.1,8.3,4.03,,musgrjo01
