rank,team,curr_year,last_3,last_1,home,away,prev_year
1,HOU,0.348,0.313,0.333,0.356,0.341,0.331
2,BOS,0.34,0.345,0.421,0.345,0.335,0.338
3,WAS,0.339,0.3,0.359,0.35,0.33,0.335
4,NYA,0.338,0.287,0.359,0.335,0.341,0.328
5,MIN,0.337,0.301,0.333,0.336,0.337,0.318
6,LAN,0.337,0.311,0.231,0.338,0.336,0.33
7,ATL,0.335,0.284,0.229,0.343,0.328,0.322
8,CHN,0.331,0.339,0.143,0.344,0.319,0.332
9,MIL,0.329,0.278,0.286,0.338,0.321,0.322
10,NYN,0.328,0.333,0.362,0.327,0.33,0.312
11,OAK,0.327,0.264,0.297,0.33,0.324,0.325
12,COL,0.326,0.341,0.277,0.362,0.289,0.32
13,TBA,0.324,0.342,0.133,0.326,0.323,0.333
14,ANA,0.324,0.233,0.325,0.326,0.322,0.313
15,CLE,0.323,0.257,0.278,0.32,0.326,0.33
16,ARI,0.323,0.308,0.242,0.323,0.323,0.31
17,PIT,0.321,0.261,0.235,0.325,0.317,0.317
18,TEX,0.319,0.4,0.405,0.333,0.306,0.318
19,PHI,0.319,0.359,0.372,0.331,0.308,0.314
20,SLN,0.319,0.216,0.27,0.324,0.315,0.321
21,SEA,0.316,0.303,0.333,0.315,0.316,0.314
22,CIN,0.315,0.368,0.333,0.323,0.307,0.328
23,CHA,0.314,0.314,0.25,0.312,0.316,0.302
24,BAL,0.31,0.328,0.222,0.314,0.306,0.298
25,KCA,0.309,0.303,0.324,0.316,0.302,0.305
26,SDN,0.308,0.29,0.265,0.302,0.313,0.297
27,TOR,0.305,0.333,0.385,0.3,0.31,0.312
28,SFN,0.302,0.277,0.194,0.291,0.313,0.3
29,MIA,0.298,0.281,0.212,0.306,0.291,0.303
30,DET,0.294,0.262,0.294,0.296,0.291,0.3
