game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,oscorer,howentered,gametype,umplf,umprf
DET195205290,"""version 7RS(19) of 07/07/92""",CLE,DET,1952/05/29,DET04,0,0:00PM,day,false,robbs901,hurle901,papaj901,passa901,"""CLE""","""D Lamoureaux""","""D Lamoureaux""",2002/12/23 2:16PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,179,6870,fellb101,littd102,,,,,,,
DET195206140,"""version 7RS(19) of 07/07/92""",WS1,DET,1952/06/14,DET04,0,0:00PM,day,false,duffj901,romme101,(none),berrc103,"""WS1""","""D Lamoureaux""","""D Lamoureaux""",2002/12/30 7:24AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,134,9997,whith101,ferrt101,hoefb101,,,,,,
DET195206151,"""version 7RS(19) of 07/07/92""",WS1,DET,1952/06/15,DET04,1,0:00PM,day,false,romme101,berrc103,(none),duffj901,"""WS1""","""D Lamoureaux""","""D Lamoureaux""",2002/12/30 7:54AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,126,0,grayt101,gumpr101,,,,,,,
DET195206152,"""version 7RS(19) of 07/07/92""",WS1,DET,1952/06/15,DET04,2,0:00PM,day,false,berrc103,duffj901,(none),romme101,"""WS1""","""D Lamoureaux""","""D Lamoureaux""",2002/12/30 8:01AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,140,25541,mastw101,trucv101,,,,,,,
DET195206170,"""version 7RS(19) of 07/07/92""",NYA,DET,1952/06/17,DET04,0,0:00PM,night,false,duffj901,romme101,(none),berrc103,"""104""","""David W. Smith""","""David W. Smith""",2010/10/27 10:46PM,park,none,0,unknown,-1,unknown,unknown,unknown,203,47544,hutcf101,mcdoj104,,,,,,,
DET195206180,"""version 7RS(19) of 07/07/92""",NYA,DET,1952/06/18,DET04,0,0:00PM,day,false,romme101,berrc103,(none),duffj901,"""253""","""Comly""","""Comly""",2008/05/11 11:01AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,157,9756,sainj101,houta101,hogub101,,,,,,
DET195206222,,PHA,DET,1952/06/22,DET04,2,0:00PM,day,false,robbs901,hurle901,mcgob901,soarh901,"""276,611""","""Mark Pankin,Wayne Townsend""","""Mark Pankin,Wayne Townsend""",2013/02/14 1:16,park,none,0,unknown,-1,unknown,unknown,unknown,140,13958,schec101,houta101,,,,,,,
DET195206230,"""version 7RS(19) of 07/07/92""",BOS,DET,1952/06/23,DET04,0,0:00PM,day,false,hurle901,mcgob901,robbs901,soarh901,"""115""","""Tim Cashion""","""Tim Cashion""",1999/07/21 12:06AM,park,none,0,unknown,-1,dry,none,sunny,162,6290,deloi101,grayt101,scarr102,,,,,,
DET195206240,"""version 7RS(19) of 07/07/92""",BOS,DET,1952/06/24,DET04,0,0:00PM,night,false,mcgob901,soarh901,robbs901,hurle901,"""115""","""115  ""","""Tim Cashion""",1999/07/24 9:42AM,park,none,85,unknown,-1,dry,none,sunny,168,38698,trucv101,henrb101,,,,,,,
DET195206250,"""version 7RS(19) of 07/07/92""",BOS,DET,1952/06/25,DET04,0,0:00PM,day,false,soarh901,robbs901,hurle901,mcgob901,"""115""","""Tim Cashion""","""Tim Cashion""",1999/08/01 12:05PM,park,none,96,unknown,-1,dry,none,sunny,132,6840,brodd101,hutcf101,,,,,,,
DET195206300,"""version 7RS(19) of 07/07/92""",CHA,DET,1952/06/30,DET04,0,0:00PM,night,false,berrc103,duffj901,romme101,froeg901,"""CHA""","""D Lamoureaux""","""D Lamoureaux""",2003/01/05 10:25AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,150,28740,dobsj101,houta101,,,,,,,
DET195207010,"""version 7RS(19) of 07/07/92""",CHA,DET,1952/07/01,DET04,0,0:00PM,day,false,duffj901,romme101,froeg901,berrc103,"""CHA""","""D Lamoureaux""","""D Lamoureaux""",2003/01/05 11:16AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,136,5398,hutcf101,judsh101,hoefb101,,,,,,
DET195207020,"""version 7RS(19) of 07/07/92""",CHA,DET,1952/07/02,DET04,0,0:00PM,day,false,romme101,froeg901,berrc103,duffj901,"""CHA""","""D Lamoureaux""","""D Lamoureaux""",2003/01/05 11:35AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,125,4273,pierb101,newhh101,dorif101,,,,,,
DET195207041,"""version 7RS(19) of 07/07/92""",CLE,DET,1952/07/04,DET04,1,0:00PM,day,false,summb901,grieb901,(none),stevj901,"""CLE""","""D Lamoureaux""","""D Lamoureaux""",2003/01/05 1:05PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,127,0,wynne101,grayt101,,,,,,,
DET195207042,"""version 7RS(19) of 07/07/92""",CLE,DET,1952/07/04,DET04,2,0:00PM,day,false,grieb901,stevj901,(none),summb901,"""CLE""","""D Lamoureaux""","""D Lamoureaux""",2003/01/05 1:13PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,142,42035,lemob101,trucv101,,,,,,,
DET195207060,"""version 7RS(19) of 07/07/92""",SLA,DET,1952/07/06,DET04,0,0:00PM,day,false,berrc103,duffj901,romme101,froeg901,"""253""","""Comly""","""Comly""",2008/05/13 11:16PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,136,11344,newhh101,paigs101,houta101,,,,,,
DET195207220,"""version 7RS(19) of 07/07/92""",WS1,DET,1952/07/22,DET04,0,0:00PM,night,false,robbs901,grieb901,passa901,honoj901,"""WS1""","""D Lamoureaux""","""D Lamoureaux""",2003/01/18 8:18PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,106,18706,trucv101,mastw101,,,,,,,
DET195207230,"""version 7RS(19) of 07/07/92""",WS1,DET,1952/07/23,DET04,0,0:00PM,day,false,grieb901,passa901,honoj901,robbs901,"""WS1""","""D Lamoureaux""","""D Lamoureaux""",2003/01/19 11:02AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,141,4351,conss101,littd102,,,,,,,
DET195207240,"""version 7RS(19) of 07/07/92""",WS1,DET,1952/07/24,DET04,0,0:00PM,day,false,passa901,honoj901,robbs901,grieb901,"""WS1""","""D Lamoureaux""","""D Lamoureaux""",2003/01/19 11:09AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,134,4027,wighb101,gumpr101,whith101,,,,,,
DET195207250,"""version 7RS(19) of 07/07/92""",NYA,DET,1952/07/25,DET04,0,8:30PM,night,false,honoj901,robbs901,grieb901,passa901,"""56,96,104,270,611""","""Richard Weston,Wayne Townsend""","""David W. Smith,Wayne Townsend""",2011/10/23 2:31PM,park,none,0,unknown,-1,unknown,unknown,unknown,128,41538,houta101,kuzab101,,,,,,,
DET195207260,"""version 7RS(19) of 07/07/92""",NYA,DET,1952/07/26,DET04,0,0:00PM,day,false,robbs901,grieb901,passa901,honoj901,"""253""","""Comly""","""Comly""",2008/05/11 11:36AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,194,13060,grayt101,hogub101,,,,,,,
DET195207271,"""version 7RS(19) of 07/07/92""",NYA,DET,1952/07/27,DET04,1,0:00PM,day,false,grieb901,passa901,honoj901,robbs901,"""56,94,104,276""","""Richard Weston/RWood""","""David W. Smith/RWood""",2011/10/23 4:01PM,park,none,0,unknown,-1,unknown,unknown,unknown,170,0,hoefb101,reyna102,whith101,,,,,,
DET195207272,"""version 7RS(19) of 07/07/92""",NYA,DET,1952/07/27,DET04,2,0:00PM,day,false,passa901,honoj901,robbs901,grieb901,"""56,96,104,611""","""Richard Weston/RWood""","""David W. Smith/RWood""",2011/10/23 10:59PM,park,none,0,unknown,-1,unknown,unknown,unknown,144,40315,millb104,trucv101,,,,,,,
DET195207280,"""version 7RS(19) of 07/07/92""",NYA,DET,1952/07/28,DET04,0,0:00PM,day,false,honoj901,robbs901,grieb901,passa901,"""253""","""Comly""","""Comly""",2008/05/11 11:47PM,park,none,0,unknown,-1,unknown,unknown,unknown,140,8046,newhh101,schah102,,,,,,,
DET195207292,"""version 7RS(19) of 07/07/92""",PHA,DET,1952/07/29,DET04,2,0:00PM,night,false,mckib901,stevj901,nappl901,summb901,"""56,266,119,276""","""Richard Weston/Smith""","""David W. Smith""",2011/10/24 8:07PM,park,none,0,unknown,-1,unknown,unknown,unknown,154,30654,stuam101,hoopb101,whith101,,,,,,
DET195207300,"""version 7RS(19) of 07/07/92""",PHA,DET,1952/07/30,DET04,0,0:00PM,day,false,stevj901,nappl901,summb901,mckib901,"""253""","""Comly""","""Comly""",2008/05/14 10:12AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,119,4490,fowld101,grayt101,,,,,,,
DET195207311,"""version 7RS(19) of 07/07/92""",PHA,DET,1952/07/31,DET04,1,0:00PM,day,false,nappl901,summb901,mckib901,stevj901,"""150""","""D Lamoureaux""","""D Lamoureaux""",2003/08/07 3:28AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,109,0,shanb102,hoefb101,,,,,,,
DET195207312,"""version 7RS(19) of 07/07/92""",PHA,DET,1952/07/31,DET04,2,0:00PM,day,false,summb901,mckib901,stevj901,nappl901,"""253""","""Comly""","""Comly""",2008/05/14 10:34AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,122,13180,kella103,trucv101,kucaj101,,,,,,
