game_id,inputprogvers,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,oscorer
MIL198104160,"""version 7RS(19) of 07/07/92""",CLE,MIL,MIL05,1981/04/16,0,1:37PM,day,true,kunkb101,coont901,voltv901,shulj901,"""Brewers""","""Dobrow""","""Dobrow""",1995/04/03 3:56AM,park,none,61,unknown,15,unknown,unknown,unknown,119,54296,garlw101,caldm001,,diazb001,
MIL198104180,"""version 7RS(19) of 07/07/92""",CLE,MIL,MIL05,1981/04/18,0,1:38PM,day,true,coont901,voltv901,shulj901,kunkb101,,"""JIM LEOPARDI""","""JIM LEOPARDI""",1995/05/24 7:26PM,park,none,41,unknown,10,unknown,unknown,unknown,131,18250,blylb001,slatj001,,diazb001,
MIL198104240,"""version 7RS(19) of 07/07/92""",KCA,MIL,MIL05,1981/04/24,0,7:40PM,night,true,reilm901,dimul901,(none),bremn901,"""Royals""","""Tom Shrimplin""","""Bob Kapla""",1996/01/27 9:58AM,park,count,44,tocf,13,unknown,unknown,unknown,155,12397,slatj001,galer001,,oglib001,
MIL198104250,"""version 7RS(19) of 07/07/92""",KCA,MIL,MIL05,1981/04/25,0,12:28PM,day,true,dimul901,bremn901,(none),reilm901,"""Royals""","""Tom Shrimplin with pitches by Wigley NBC GOW""","""Bob Kapla""",1996/01/27 1:32PM,park,pitches,45,ltor,15,unknown,unknown,unknown,144,18858,gural001,vuckp001,,bretg001,
MIL198104260,"""version 7RS(19) of 07/07/92""",KCA,MIL,MIL05,1981/04/26,0,1:37PM,day,true,bremn901,reilm901,(none),dimul901,"""Royals""","""Tom Shrimplin""","""Bob Kapla""",1996/02/01 7:52PM,park,count,50,fromrf,14,unknown,unknown,unknown,154,24398,lercr001,leond001,,simmt001,
MIL198104270,"""version 7RS(19) of 07/07/92""",TOR,MIL,MIL05,1981/04/27,0,6:08PM,night,true,reilm901,dimul901,bremn901,barnl901,"""Jays/Brewers""","""M. Pankin""","""M. Pankin""",1995/05/10 11:23PM,park,none,49,unknown,15,unknown,unknown,night,232,6692,clevr101,garvj101,,hisll101,
MIL198104280,"""version 7RS(19) of 07/07/92""",TOR,MIL,MIL05,1981/04/28,0,6:10PM,night,true,dimul901,bremn901,barnl901,reilm901,"""Brewers/Jays""","""M. Pankin""","""M. Pankin""",1995/05/16 10:27PM,park,none,45,unknown,-1,wet,rain,night,145,6433,bombm101,caldm001,,bonnb001,
MIL198104290,"""version 7RS(19) of 07/07/92""",TOR,MIL,MIL05,1981/04/29,0,6:09PM,night,true,bremn901,barnl901,(none),reilm901,"""Brewers/Jays""","""M. Pankin""","""M. Pankin""",1995/05/16 11:21PM,park,none,46,unknown,6,unknown,unknown,night,232,7320,leall001,eastj001,,bonnb001,
MIL198105120,"""version 7RS(19) of 07/07/92""",CAL,MIL,MIL05,1981/05/12,0,7:38PM,night,true,coont901,shulj901,voltv901,kunkb101,"""Brewers/Angels""","""Chris Chestnut""","""Chris Chestnut""",1995/05/14 8:51PM,park,pitches,50,unknown,-1,unknown,unknown,unknown,149,8420,forsk001,haasm001,,ott-e101,
MIL198105130,"""version 7RS(19) of 07/07/92""",CAL,MIL,MIL05,1981/05/13,0,7:42PM,night,true,shulj901,voltv901,kunkb101,coont901,"""Brewers/Angels""","""Chris Chestnut""","""Chris Chestnut""",1995/05/14 9:29PM,park,pitches,48,unknown,6,unknown,unknown,unknown,161,8851,renks101,caldm001,hassa001,gricb001,
MIL198105140,"""version 7RS(19) of 07/07/92""",CAL,MIL,MIL05,1981/05/14,0,1:34PM,day,true,voltv901,kunkb101,coont901,shulj901,"""Brewers/Angels""","""Chris Chestnut""","""Chris Chestnut""",1995/06/11 10:47PM,park,none,46,unknown,20,unknown,unknown,unknown,157,10969,zahng001,slatj001,,bayld001,
MIL198105150,"""version 7RS(19) of 07/07/92""",OAK,MIL,MIL05,1981/05/15,0,7:37PM,night,true,kunkb101,coont901,shulj901,parkd901,"""Brewers/A's""","""Chris Chestnut""","""Chris Chestnut""",1995/06/12 12:56AM,park,pitches,61,unknown,-1,unknown,unknown,unknown,180,29667,vuckp001,mccas001,fingr001,oglib001,
MIL198105160,"""version 7RS(19) of 07/07/92""",OAK,MIL,MIL05,1981/05/16,0,7:38PM,night,true,coont901,shulj901,parkd901,kunkb101,"""Mil & Oakland""","""Steve Hamilton""","""Steve Hamilton""",1995/07/05 2:50AM,unknown,none,46,unknown,15,unknown,unknown,night,196,33937,clevr101,owchb001,fingr001,oglib001,
MIL198105170,"""version 7RS(19) of 07/07/92""",OAK,MIL,MIL05,1981/05/17,0,1:37PM,day,true,shulj901,parkd901,kunkb101,coont901,"""Mil & Oakland""","""Steve Hamilton""","""Steve Hamilton""",1995/07/05 3:50AM,unknown,none,45,unknown,15,unknown,unknown,unknown,136,33142,haasm001,langr001,,hower001,
MIL198105190,"""version 7RS(19) of 07/07/92""",MIN,MIL,MIL05,1981/05/19,0,7:37PM,night,true,clara901,pales901,hendt901,evanj901,,"""Steve Hamilton""","""Steve Hamilton""",1995/07/22 3:38PM,unknown,none,54,unknown,7,unknown,unknown,night,141,8979,caldm001,arrof001,fingr001,coopc001,
MIL198105200,"""version 7RS(19) of 07/07/92""",MIN,MIL,MIL05,1981/05/20,0,7:36PM,night,true,pales901,hendt901,evanj901,clara901,"""Brewers/Twins""","""M. Pankin""","""M. Pankin""",1995/11/01 10:17PM,park,none,66,unknown,10,unknown,none,night,154,10463,slatj001,willa001,fingr001,romee001,
MIL198105210,"""version 7RS(19) of 07/07/92""",MIN,MIL,MIL05,1981/05/21,0,1:36PM,day,true,hendt901,evanj901,clara901,pales901,"""MIL,MIN""","""David W. Smith""","""David W. Smith""",1997/04/16 9:38AM,park,none,0,unknown,-1,unknown,unknown,unknown,139,16120,vuckp001,redfp101,,simmt001,
MIL198105220,"""version 7RS(19) of 07/07/92""",BOS,MIL,MIL05,1981/05/22,0,7:36PM,night,true,mckej901,garcr901,koscg901,denkd901,"""Brewers""","""M. Pankin""","""M. Pankin""",1995/06/26 11:05PM,park,none,72,unknown,5,unknown,unknown,night,157,23007,tudoj001,haasm001,,ricej001,
MIL198105230,"""version 7RS(19) of 07/07/92""",BOS,MIL,MIL05,1981/05/23,0,1:24PM,day,true,garcr901,koscg901,denkd901,mckej901,"""Brewers""","""M. Pankin""","""M. Pankin""",1995/10/17 10:39PM,park,none,74,unknown,24,unknown,rain,overcast,154,35254,torrm001,lercr001,cleam001,,
MIL198105241,"""version 7RS(19) of 07/07/92""",BOS,MIL,MIL05,1981/05/24,1,1:08PM,day,true,koscg901,denkd901,mckej901,garcr901,"""Brewers""","""M. Pankin""","""M. Pankin""",1995/07/21 2:38PM,park,none,72,unknown,-1,unknown,unknown,unknown,236,0,eastj001,stanb001,,simmt001,
MIL198105242,"""version 7RS(19) of 07/07/92""",BOS,MIL,MIL05,1981/05/24,2,5:34PM,night,true,denkd901,mckej901,garcr901,koscg901,"""Brewers""","""M. Pankin""","""M. Pankin""",1995/07/21 3:04PM,park,none,76,unknown,17,unknown,unknown,unknown,158,34992,haasm001,stanb001,,hower001,
MIL198105250,"""version 7RS(19) of 07/07/92""",DET,MIL,MIL05,1981/05/25,0,1:37PM,day,true,hallb901,goetr901,malog901,kaisk901,"""Brewers""","""M. Pankin""","""M. Pankin""",1995/06/26 10:42PM,park,none,74,unknown,22,unknown,unknown,unknown,154,25072,morrj001,auguj001,,broot001,
MIL198105260,"""version 7RS(19) of 07/07/92""",DET,MIL,MIL05,1981/05/26,0,7:37PM,night,true,goetr901,malog901,kaisk901,hallb901,"""Brewers""","""Dobrow""","""Dobrow""",1995/06/25 1:45PM,park,none,57,unknown,-1,unknown,unknown,unknown,145,9518,vuckp001,wilcm001,,coopc001,
