game_id,inputprogvers,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,gametype,innings
BSN194204170,"""version 7RS(19) of 07/07/92""",NY1,BSN,BOS08,1942/04/17,0,0:00PM,day,false,stewb901,searz901,(none),dunnt901,"""141,270,71""","""Jim Herdman""","""Jim Herdman""",2017/03/27 3:41PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,120,4083,errid101,schuh103,sainj101,,,
BSN194204180,"""version 7RS(19) of 07/07/92""",NY1,BSN,BOS08,1942/04/18,0,0:00PM,day,false,searz901,dunnt901,(none),stewb901,"""98""","""Howard Johnson""","""Howard Johnson""",2016/01/08 1:31PM,park,none,0,unknown,-1,unknown,unknown,unknown,127,5482,adama101,lamah101,,,,
BSN194204190,"""version 7RS(19) of 07/07/92""",NY1,BSN,BOS08,1942/04/19,0,0:00PM,day,false,dunnt901,stewb901,(none),searz901,"""209""","""Dick Cramer""","""Dick Cramer""",2017/03/05 8:30AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,128,13694,meltc101,tobij103,,,,
BSN194204220,"""version 7RS(19) of 07/07/92""",BRO,BSN,BOS08,1942/04/22,0,0:00PM,day,false,goetl901,conlj102,(none),rearb901,346,"""Dick Cramer""","""Dick Cramer""",2011/12/10 7:00PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,152,3813,caseh101,tobij103,,,,
BSN194204230,"""version 7RS(19) of 07/07/92""",BRO,BSN,BOS08,1942/04/23,0,0:00PM,day,false,conlj102,rearb901,(none),goetl901,346,"""Dick Cramer""","""Dick Cramer""",2011/12/10 8:00PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,150,3815,kimbn101,salvm101,caseh101,,,
BSN194205090,"""version 7RS(19) of 07/07/92""",PHI,BSN,BOS08,1942/05/09,0,0:00PM,day,false,mageg901,conlj102,(none),barrg901,115,"""Dick Cramer""","""Dick Cramer""",2013/11/08 9:00AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,102,3828,tobij103,hoerl101,,,,
BSN194205101,"""version 7RS(19) of 07/07/92""",PHI,BSN,BOS08,1942/05/10,1,0:00PM,day,false,conlj102,barrg901,(none),mageg901,"""266,119,71,163""","""Tom Thress""","""David W. Smith""",2017/03/05 11:14AM,park,none,0,unknown,-1,unknown,unknown,unknown,120,0,javea101,meltr101,,,,
BSN194205102,"""version 7RS(19) of 07/07/92""",PHI,BSN,BOS08,1942/05/10,2,0:00PM,day,false,barrg901,mageg901,(none),conlj102,"""266,119,71,163,274""","""Tom Thress""","""David W. Smith""",2017/03/21 9:10AM,park,none,0,unknown,-1,unknown,unknown,unknown,125,20657,hught101,walll102,,,,
BSN194205110,"""version 7RS(19) of 07/07/92""",PHI,BSN,BOS08,1942/05/11,0,0:00PM,day,false,mageg901,conlj102,(none),barrg901,271,"""Dick Cramer""","""Dick Cramer""",2013/11/06 5:10PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,106,1596,earlt101,podgj101,,,,
BSN194205120,"""version 7RS(19) of 07/07/92""",CHN,BSN,BOS08,1942/05/12,0,0:00PM,day,false,pineb101,balll901,(none),barla901,"""277,68,111,71,163""","""Tom Thress""","""David W. Smith""",2017/03/14 11:35AM,park,none,0,unknown,-1,unknown,unknown,unknown,148,1669,hanye101,tostl101,prest101,,,
