rank,team,curr_year,last_3,last_1,home,away,prev_year
1,ARI,0.337,0.333,0.476,0.347,0.328,0.322
2,LAN,0.335,0.31,0.326,0.33,0.339,0.339
3,NYA,0.333,0.366,0.4,0.337,0.33,0.304
4,MIL,0.325,0.302,0.278,0.317,0.333,0.32
5,PHI,0.324,0.304,0.27,0.33,0.319,0.328
6,SDN,0.323,0.204,0.103,0.315,0.33,0.329
7,HOU,0.322,0.304,0.286,0.326,0.317,0.331
8,NYN,0.321,0.415,0.4,0.325,0.317,0.316
9,BOS,0.319,0.255,0.303,0.321,0.317,0.324
10,CHN,0.317,0.275,0.256,0.302,0.331,0.33
11,MIN,0.315,0.24,0.257,0.328,0.303,0.326
12,BAL,0.314,0.248,0.243,0.313,0.316,0.32
13,TOR,0.313,0.295,0.229,0.314,0.313,0.328
14,SLN,0.312,0.383,0.333,0.315,0.309,0.326
15,SEA,0.311,0.321,0.361,0.307,0.315,0.321
16,WAS,0.309,0.388,0.333,0.309,0.308,0.314
17,ATL,0.308,0.245,0.206,0.313,0.304,0.342
18,CLE,0.308,0.374,0.3,0.317,0.299,0.313
19,KCA,0.306,0.267,0.188,0.319,0.293,0.303
20,TEX,0.305,0.352,0.357,0.31,0.301,0.337
21,SFN,0.305,0.306,0.212,0.307,0.304,0.312
22,CIN,0.305,0.24,0.317,0.311,0.298,0.327
23,COL,0.304,0.271,0.229,0.332,0.276,0.31
24,TBA,0.302,0.31,0.297,0.303,0.301,0.33
25,OAK,0.301,0.265,0.229,0.3,0.303,0.298
26,PIT,0.301,0.306,0.333,0.306,0.297,0.315
27,ANA,0.301,0.283,0.2,0.302,0.301,0.317
28,DET,0.301,0.321,0.35,0.303,0.299,0.305
29,MIA,0.3,0.385,0.278,0.308,0.292,0.315
30,CHA,0.278,0.243,0.356,0.283,0.273,0.291
