game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,scorer,translator,inputter,inputtime,umphome,ump1b,ump2b,ump3b,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi
CLE192804180,"""version 7RS(19) of 07/07/92""",CHA,CLE,1928/04/18,CLE06,0,0:00PM,day,false,"""39""","""Doug Burks""","""Doug Burks""",2004/04/04 5:09PM,ormsr901,guthb901,(none),hildg101,unknown,none,0,unknown,-1,unknown,unknown,unknown,112,20000,shauj101,adkig101,,
CLE192804190,"""version 7RS(19) of 07/07/92""",CHA,CLE,1928/04/19,CLE06,0,0:00PM,day,false,277,"""Dick Cramer""","""Dick Cramer""",2015/07/04 4:00PM,guthb901,hildg101,(none),ormsr901,unknown,none,0,unknown,-1,unknown,unknown,unknown,104,0,hudlw101,barnc101,,
CLE192804200,"""version 7RS(19) of 07/07/92""",CHA,CLE,1928/04/20,CLE06,0,0:00PM,day,false,"""39""","""Doug Burks""","""Doug Burks""",2004/08/20 5:34PM,hildg101,ormsr901,(none),guthb901,unknown,none,0,unknown,-1,unknown,unknown,unknown,120,3000,thomt103,millj109,,
CLE192804260,"""version 7RS(19) of 07/07/92""",DET,CLE,1928/04/26,CLE06,0,0:00PM,day,false,"""39""","""Doug Burks""","""Doug Burks""",2005/02/12 3:31PM,mcgob901,connt901,(none),vangr901,unknown,none,0,unknown,-1,unknown,unknown,unknown,119,700,grang101,sorrv101,,
CLE192804270,"""version 7RS(19) of 07/07/92""",DET,CLE,1928/04/27,CLE06,0,0:00PM,day,false,"""39""","""Doug Burks""","""Doug Burks""",2005/03/27 1:57PM,vangr901,mcgob901,(none),connt901,unknown,none,0,unknown,-1,unknown,unknown,unknown,128,1500,uhleg101,billj102,baynb101,
CLE192804280,"""version 7RS(19) of 07/07/92""",DET,CLE,1928/04/28,CLE06,0,0:00PM,day,false,"""39""","""Doug Burks""","""Doug Burks""",2005/07/11 9:28AM,mcgob901,connt901,(none),vangr901,unknown,none,0,unknown,-1,unknown,unknown,unknown,115,7000,shauj101,carro101,,
CLE192804290,"""version 7RS(19) of 07/07/92""",DET,CLE,1928/04/29,CLE06,0,0:00PM,day,false,"""39""","""Doug Burks""","""Doug Burks""",2005/11/13 3:01PM,vangr901,connt901,(none),mcgob901,unknown,none,0,unknown,-1,unknown,unknown,unknown,140,22000,vange101,hardm101,,
CLE192804300,"""version 7RS(19) of 07/07/92""",SLA,CLE,1928/04/30,CLE06,0,0:00PM,day,false,"""39""","""Doug Burks""","""Doug Burks""",2005/11/20 6:32PM,mcgob901,connt901,(none),vangr901,unknown,none,0,unknown,-1,unknown,unknown,unknown,112,3500,blaeg101,buckg101,,
CLE192805010,"""version 7RS(19) of 07/07/92""",SLA,CLE,1928/05/01,CLE06,0,0:00PM,day,false,"""39""","""Doug Burks""","""Doug Burks""",2005/11/27 1:26PM,vangr901,connt901,(none),mcgob901,unknown,none,0,unknown,-1,unknown,unknown,unknown,114,4000,shauj101,beckb104,,
CLE192805020,"""version 7RS(19) of 07/07/92""",SLA,CLE,1928/05/02,CLE06,0,0:00PM,day,false,"""39""","""Doug Burks""","""Doug Burks""",2005/12/04 2:08PM,mcgob901,connt901,(none),vangr901,unknown,none,0,unknown,-1,unknown,unknown,unknown,91,5000,grays102,uhleg101,,
CLE192805130,"""version 7RS(19) of 07/07/92""",PHA,CLE,1928/05/13,CLE06,0,0:00PM,day,false,"""39""","""Doug Burks""","""Doug Burks""",2006/01/07 2:26PM,nalld901,barrd901,(none),dinnb101,unknown,none,0,unknown,-1,unknown,unknown,unknown,73,25000,uhleg101,romme101,,
CLE192805240,"""version 7RS(19) of 07/07/92""",SLA,CLE,1928/05/24,CLE06,0,0:00PM,day,false,"""39""","""Doug Burks""","""Doug Burks""",2006/05/07 3:19PM,nalld901,barrd901,(none),dinnb101,unknown,none,0,unknown,-1,unknown,unknown,unknown,150,0,grays102,hudlw101,,
CLE192805250,"""version 7RS(19) of 07/07/92""",SLA,CLE,1928/05/25,CLE06,0,0:00PM,day,false,"""39""","""Doug Burks""","""Doug Burks""",2006/02/25 4:57PM,barrd901,dinnb101,(none),nalld901,unknown,none,0,unknown,-1,unknown,unknown,unknown,113,0,uhleg101,coffd101,,
CLE192805260,"""version 7RS(19) of 07/07/92""",SLA,CLE,1928/05/26,CLE06,0,0:00PM,day,false,"""39""","""Doug Burks""","""Doug Burks""",2006/03/05 2:28PM,dinnb101,nalld901,(none),barrd901,unknown,none,0,unknown,-1,unknown,unknown,unknown,104,5000,grang101,ogdej101,,
CLE192805270,"""version 7RS(19) of 07/07/92""",SLA,CLE,1928/05/27,CLE06,0,0:00PM,day,false,"""39""","""Doug Burks""","""Doug Burks""",2006/03/12 4:06PM,nalld901,dinnb101,(none),barrd901,unknown,none,0,unknown,-1,unknown,unknown,unknown,130,12000,blaeg101,uhleg101,grays102,
CLE192805301,"""version 7RS(19) of 07/07/92""",DET,CLE,1928/05/30,CLE06,1,0:00PM,day,false,"""39""","""Doug Burks""","""Doug Burks""",2006/03/19 11:44AM,owenb901,geish901,(none),campb901,unknown,none,0,unknown,-1,unknown,unknown,unknown,113,0,white102,millj109,,
CLE192805302,"""version 7RS(19) of 07/07/92""",DET,CLE,1928/05/30,CLE06,2,0:00PM,day,false,"""39""","""Doug Burks""","""Doug Burks""",2006/03/26 7:35PM,geish901,campb901,(none),owenb901,unknown,none,0,unknown,-1,unknown,unknown,unknown,164,10000,carro101,levsd101,,
CLE192805310,"""version 7RS(19) of 07/07/92""",DET,CLE,1928/05/31,CLE06,0,0:00PM,day,false,"""39""","""Doug Burks""","""Doug Burks""",2006/04/02 3:32PM,campb901,owenb901,(none),geish901,unknown,none,0,unknown,-1,unknown,unknown,unknown,115,0,gibss101,shauj101,,
CLE192806010,"""version 7RS(19) of 07/07/92""",DET,CLE,1928/06/01,CLE06,0,0:00PM,day,false,"""39""","""Doug Burks""","""Doug Burks""",2006/05/14 11:11AM,owenb901,geish901,(none),campb901,unknown,none,0,unknown,-1,unknown,unknown,unknown,110,0,billj102,uhleg101,stonl101,
