game_id,hometeam,visteam,home_first_inning_runs,visiting_first_inning_runs,home_pitcher,away_pitcher,wp,lp,winner
BOS192804110,BOS,WS1,0,0,,D,marbf101,russj103,WS1
BOS192804130,BOS,WS1,0,0,,D,zacht101,wilth101,WS1
BOS192804140,BOS,WS1,0,0,,D,,,WS1
BOS192804160,BOS,NYA,0,0,,D,pipgg101,macfd101,NYA
BOS192804180,BOS,NYA,2,3,,D,hoytw101,bradh102,NYA
BOS192804191,BOS,NYA,0,0,,D,harrs101,moorw101,BOS
BOS192804192,BOS,NYA,0,0,,D,pennh101,wilth101,NYA
BOS192804300,BOS,PHA,1,0,,D,walbr101,ruffr101,PHA
BOS192805010,BOS,PHA,0,0,,D,grovl101,settm101,PHA
BOS192805030,BOS,PHA,1,0,,D,morre102,orwoo101,BOS
BOS192805040,BOS,CLE,0,2,,D,macfd101,hudlw101,BOS
BOS192805050,BOS,CLE,0,1,,D,shauj101,ruffr101,CLE
BOS192805070,BOS,CLE,0,0,,D,millj109,harrs101,CLE
BOS192805080,BOS,CHA,0,0,,D,morre102,conns101,BOS
BOS192805100,BOS,CHA,0,0,,D,blant101,macfd101,CHA
BOS192805110,BOS,CHA,0,0,,D,ruffr101,adkig101,BOS
BOS192805120,BOS,SLA,0,0,,D,russj103,stewl101,BOS
BOS192805140,BOS,SLA,0,0,,D,morre102,grays102,BOS
BOS192805150,BOS,SLA,0,0,,D,ruffr101,ogdej101,BOS
BOS192805160,BOS,DET,2,0,,D,harrs101,sorrv101,BOS
BOS192805250,BOS,WS1,1,0,,D,ruffr101,liseh101,BOS
BOS192805280,BOS,WS1,0,0,,D,zacht101,morre102,WS1
BOS192805290,BOS,PHA,0,3,,D,romme101,russj103,PHA
BOS192805301,BOS,PHA,0,3,,D,ehmkh101,ruffr101,PHA
BOS192805302,BOS,PHA,0,1,,D,quinj102,harrs101,PHA
BOS192806271,BOS,WS1,0,0,,D,ruffr101,burkb102,BOS
BOS192806281,BOS,WS1,1,1,,D,jones104,settm101,WS1
BOS192806301,BOS,NYA,0,0,,D,sheaa101,russj103,NYA
BOS192806302,BOS,NYA,2,2,,D,coves101,ruffr101,NYA
BOS192807071,BOS,DET,0,2,,D,stonl101,harrs101,DET
BOS192807091,BOS,DET,0,0,,D,russj103,white102,BOS
BOS192807092,BOS,DET,2,0,,D,morre102,carro101,BOS
BOS192807100,BOS,SLA,0,0,,D,coffd101,ruffr101,SLA
BOS192807110,BOS,SLA,0,0,,D,harrs101,stewl101,BOS
BOS192807120,BOS,SLA,0,0,,D,crowg102,macfd101,SLA
BOS192807141,BOS,CHA,0,0,,D,thomt103,russj103,CHA
BOS192807142,BOS,CHA,2,0,,D,walse102,morre102,CHA
BOS192807161,BOS,CHA,0,0,,D,faber101,ruffr101,CHA
BOS192807162,BOS,CHA,1,0,,D,blant101,harrs101,CHA
BOS192807170,BOS,CHA,6,2,,D,macfd101,adkig101,BOS
BOS192807180,BOS,CLE,0,1,,D,hudlw101,morre102,CLE
BOS192807190,BOS,CLE,0,0,,D,morre102,shauj101,BOS
BOS192807211,BOS,CLE,0,0,,D,ruffr101,grang101,BOS
BOS192807212,BOS,CLE,0,0,,D,baynb101,harrs101,CLE
BOS192807230,BOS,NYA,2,0,,D,macfd101,sheaa101,BOS
BOS192807240,BOS,NYA,3,0,,D,moorw101,russj103,NYA
BOS192808090,BOS,NYA,1,0,,D,heimf101,morre102,NYA
BOS192808100,BOS,NYA,0,0,,D,pipgg101,ruffr101,NYA
BOS192808110,BOS,NYA,0,0,,D,hoytw101,macfd101,NYA
BOS192808130,BOS,CLE,2,0,,D,morre102,grang101,BOS
BOS192808140,BOS,CLE,1,2,,D,uhleg101,ruffr101,CLE
BOS192808150,BOS,CLE,0,0,,D,shauj101,grifm102,CLE
BOS192808160,BOS,CLE,1,2,,D,hudlw101,ruffr101,CLE
BOS192808170,BOS,CHA,0,0,,D,russj103,lyont102,BOS
BOS192808180,BOS,CHA,1,0,,D,morre102,thomt103,BOS
BOS192808200,BOS,CHA,0,1,,D,faber101,ruffr101,CHA
BOS192808210,BOS,DET,0,0,,D,vange101,harrs101,DET
BOS192808221,BOS,DET,1,0,,D,gibss101,macfd101,DET
BOS192808240,BOS,DET,0,0,,D,ruffr101,stonl101,BOS
BOS192808250,BOS,SLA,0,0,,D,morre102,grays102,BOS
BOS192808271,BOS,SLA,1,0,,D,crowg102,harrs101,SLA
BOS192808272,BOS,SLA,0,0,,D,ogdej101,macfd101,SLA
BOS192808280,BOS,SLA,0,0,,D,grays102,ruffr101,SLA
BOS192808290,BOS,SLA,0,0,,D,stewl101,morre102,SLA
BOS192809071,BOS,PHA,0,0,,D,grovl101,ruffr101,PHA
BOS192809072,BOS,PHA,1,3,,D,romme101,macfd101,PHA
BOS192809081,BOS,PHA,0,0,,D,orwoo101,morre102,PHA
BOS192809082,BOS,PHA,0,0,,D,earng101,russj103,PHA
BRO192804110,BRO,PHI,0,0,,D,ringj101,pettj103,PHI
BRO192804130,BRO,PHI,1,0,,D,vancd101,bengr101,BRO
BRO192804150,BRO,BSN,0,0,,D,clarw101,brane101,BRO
BRO192804160,BRO,BSN,0,0,,D,delaa101,pettj103,BSN
BRO192804180,BRO,BSN,0,0,,D,vancd101,wertj101,BRO
BRO192804240,BRO,PHI,4,3,,D,pettj103,ringj101,BRO
BRO192804250,BRO,PHI,0,0,,D,ehrhr101,sweel101,BRO
BRO192804291,BRO,PHI,0,0,,D,mcwed101,sweel101,BRO
BRO192804292,BRO,PHI,3,0,,D,clarw101,ringj101,BRO
BRO192805130,BRO,PIT,0,0,,D,clarw101,grimb101,BRO
BRO192805200,BRO,PHI,0,0,,D,clarw101,sweel101,BRO
BRO192805220,BRO,NY1,0,0,,D,faulj101,vancd101,NY1
BRO192805231,BRO,NY1,1,0,,D,mcwed101,henrd101,BRO
BRO192805232,BRO,NY1,0,0,,D,bentl101,ellij103,NY1
BRO192805240,BRO,NY1,2,0,,D,pettj103,fitzf101,BRO
BRO192805250,BRO,BSN,2,0,,D,clarw101,genej101,BRO
BRO192805260,BRO,BSN,0,0,,D,vancd101,greek101,BRO
BRO192805271,BRO,BSN,0,1,,D,brane101,mcwed101,BSN
BRO192805272,BRO,BSN,0,0,,D,ellij103,smitb110,BRO
BRO192805290,BRO,NY1,0,0,,D,fitzf101,pettj103,NY1
BRO192805301,BRO,NY1,0,2,,D,faulj101,doakb101,NY1
BRO192805302,BRO,NY1,0,1,,D,,,NY1
BRO192806030,BRO,PIT,0,0,,D,grimb101,pettj103,PIT
BRO192806060,BRO,CIN,3,0,,D,mcwed101,kolpr101,BRO
BRO192806070,BRO,CIN,0,0,,D,doakb101,donop102,BRO
BRO192806080,BRO,CIN,2,1,,D,applp101,vancd101,CIN
BRO192806090,BRO,CIN,0,0,,D,pettj103,rixee101,BRO
BRO192806100,BRO,SLN,0,0,,D,hainj101,clarw101,SLN
BRO192806110,BRO,CHN,0,0,,D,bushg101,mcwed101,CHN
BRO192806120,BRO,CHN,0,0,,D,ellij103,rootc101,BRO
BRO192806130,BRO,CHN,0,1,,D,vancd101,malop103,BRO
BRO192806140,BRO,CHN,0,0,,D,nehfa101,pettj103,CHN
BRO192806150,BRO,SLN,0,0,,D,johns101,clarw101,SLN
BRO192806160,BRO,SLN,0,1,,D,sherb101,ellij103,SLN
BRO192806170,BRO,CHN,2,0,,D,vancd101,rootc101,BRO
BRO192806240,BRO,NY1,0,0,,D,pettj103,faulj101,BRO
BRO192806301,BRO,PHI,1,0,,D,prueh101,vancd101,PHI
BRO192806302,BRO,PHI,2,0,,D,pettj103,willc102,BRO
BRO192807010,BRO,BSN,4,0,,D,greek101,clarw101,BSN
BRO192807221,BRO,PIT,1,0,,D,vancd101,grimb101,BRO
BRO192807222,BRO,PIT,0,3,,D,kremr101,clarw101,PIT
BRO192807230,BRO,PIT,0,0,,D,fussf101,mcwed101,PIT
BRO192807240,BRO,SLN,0,0,,D,sherb101,pettj103,SLN
BRO192807250,BRO,SLN,0,0,,D,ellij103,reina102,BRO
BRO192807260,BRO,SLN,0,0,,D,alexg102,pettj103,SLN
BRO192807270,BRO,SLN,0,0,,D,vancd101,mitcc102,BRO
BRO192807280,BRO,CIN,0,0,,D,luqud101,doakb101,CIN
BRO192807290,BRO,CIN,0,0,,D,may-j102,ellij103,CIN
BRO192807300,BRO,CIN,0,0,,D,pettj103,rixee101,BRO
BRO192807310,BRO,CIN,0,0,,D,vancd101,may-j102,BRO
BRO192808020,BRO,CHN,0,0,,D,carlh101,mcwed101,CHN
BRO192808030,BRO,CHN,0,0,,D,nehfa101,ellij103,CHN
BRO192808040,BRO,CHN,0,5,,D,malop103,clarw101,CHN
BRO192808050,BRO,CHN,3,0,,D,vancd101,jonep101,BRO
BRO192808071,BRO,PIT,1,0,,D,grimb101,mcwed101,PIT
BRO192808072,BRO,PIT,0,0,,D,hillc102,ellij103,PIT
BRO192808080,BRO,PIT,0,0,,D,kremr101,mcwed101,PIT
BRO192808100,BRO,BSN,0,0,,D,vancd101,brane101,BRO
BRO192808110,BRO,BSN,1,0,,D,greek101,clarw101,BSN
BRO192808120,BRO,BSN,0,0,,D,pettj103,coonj101,BRO
BRO192808260,BRO,NY1,0,0,,D,ellij103,hubbc101,BRO
BRO192809081,BRO,NY1,0,0,,D,hubbc101,mcwed101,NY1
BRO192809082,BRO,NY1,3,0,,D,pettj103,faulj101,BRO
BRO192809090,BRO,NY1,0,0,,D,vancd101,bentl101,BRO
BRO192809160,BRO,CIN,0,0,,D,luqud101,mossr101,CIN
BRO192809170,BRO,CIN,0,0,,D,ellij103,donop102,BRO
BRO192809180,BRO,CIN,0,1,,D,rixee101,mcwed101,CIN
BRO192809210,BRO,CHN,1,1,,D,vancd101,nehfa101,BRO
BRO192809220,BRO,CHN,0,0,,D,mcwed101,rootc101,BRO
BRO192809230,BRO,SLN,0,2,,D,hainj101,pettj103,SLN
BRO192809240,BRO,SLN,1,0,,D,alexg102,ellij103,SLN
BRO192809250,BRO,SLN,0,0,,D,sherb101,clarw101,SLN
BRO192809260,BRO,SLN,2,1,,D,vancd101,mitcc102,BRO
BRO192809271,BRO,PIT,0,1,,D,pettj103,grimb101,BRO
BRO192809272,BRO,PIT,0,0,,D,koupl101,blanh101,BRO
BSN192804210,BSN,NY1,1,0,,D,barnv101,robec101,NY1
BSN192804260,BSN,BRO,0,0,,D,brane101,vancd101,BSN
BSN192804270,BSN,BRO,0,0,,D,ellij103,greek101,BRO
BSN192805220,BSN,PHI,0,0,,D,brane101,walsa102,BSN
BSN192806010,BSN,CIN,0,0,,D,kolpr101,genej101,CIN
BSN192806020,BSN,CIN,4,4,,D,donop102,delaa101,CIN
BSN192806040,BSN,CIN,1,1,,D,genej101,rixee101,BSN
BSN192806070,BSN,PIT,2,1,,D,burwb101,smitb110,PIT
BSN192806080,BSN,PIT,2,0,,D,brane101,kremr101,BSN
BSN192806091,BSN,PIT,0,0,,D,grimb101,genej101,PIT
BSN192806092,BSN,PIT,0,4,,D,miljj101,robec101,PIT
BSN192806110,BSN,SLN,0,0,,D,alexg102,greek101,SLN
BSN192806120,BSN,SLN,0,3,,D,franf101,smitb110,SLN
BSN192806130,BSN,SLN,0,0,,D,rhemf101,brane101,SLN
BSN192806140,BSN,SLN,0,1,,D,hainj101,genej101,SLN
BSN192806150,BSN,CHN,0,0,,D,jonep101,delaa101,CHN
BSN192806160,BSN,CHN,0,2,,D,blaks101,brane101,CHN
BSN192806181,BSN,CHN,1,0,,D,barnv101,bushg101,BSN
BSN192806182,BSN,CHN,0,5,,D,malop103,greek101,CHN
BSN192806211,BSN,NY1,1,3,,D,fitzf101,coonj101,NY1
BSN192806212,BSN,NY1,2,0,,D,delaa101,bentl101,BSN
BSN192806231,BSN,BRO,0,0,,D,vancd101,brane101,BRO
BSN192806232,BSN,BRO,0,0,,D,clarw101,barnv101,BRO
BSN192806250,BSN,BRO,0,2,,D,mcwed101,cantb102,BRO
BSN192806261,BSN,BRO,0,0,,D,clarw101,delaa101,BRO
BSN192806262,BSN,BRO,0,1,,D,vancd101,brane101,BRO
BSN192807021,BSN,PHI,1,0,,D,delaa101,bengr101,BSN
BSN192807031,BSN,PHI,0,0,,D,walsa102,hollb102,PHI
BSN192807250,BSN,CHN,0,0,,D,brane101,malop103,BSN
BSN192807260,BSN,CHN,3,1,,D,smitb110,rootc101,BSN
BSN192807270,BSN,CHN,0,0,,D,blaks101,delaa101,CHN
BSN192807301,BSN,PIT,0,0,,D,kremr101,brane101,PIT
BSN192807302,BSN,PIT,1,2,,D,grimb101,barnv101,PIT
BSN192807310,BSN,PIT,5,0,,D,smitb110,meadl101,BSN
BSN192808020,BSN,SLN,0,3,,D,rhemf101,delaa101,SLN
BSN192808030,BSN,SLN,0,1,,D,sherb101,barnv101,SLN
