game_id,visteam,hometeam,site,date,number,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,oscorer,starttime
KCA199204130,OAK,KCA,KAN06,1992/04/13,0,day,true,fordd901,clara901,barnl901,koscg901,STATS Inc.,,STATS Inc.,park,pitches,63,tolf,12,unknown,none,cloudy,181,39428,moorm001,gordt001,,,
KCA199204140,OAK,KCA,KAN06,1992/04/14,0,night,true,clara901,barnl901,koscg901,fordd901,STATS Inc.,,STATS Inc.,park,pitches,63,tolf,8,unknown,none,cloudy,154,17321,heatn001,honer001,montj002,,
KCA199204150,OAK,KCA,KAN06,1992/04/15,0,night,true,barnl901,koscg901,fordd901,clara901,STATS Inc.,,STATS Inc.,park,pitches,73,tolf,9,unknown,none,cloudy,204,16519,parrj001,magnm001,horsv001,,
KCA199204160,OAK,KCA,KAN06,1992/04/16,0,night,true,koscg901,fordd901,clara901,barnl901,STATS Inc.,,STATS Inc.,park,pitches,55,torf,14,unknown,none,overcast,158,22041,stewd001,montj002,ecked001,,
KCA199204170,CAL,KCA,KAN06,1992/04/17,0,night,true,morrd901,welkt901,scotd901,garcr901,STATS Inc.,,STATS Inc.,park,pitches,57,rtol,5,unknown,none,cloudy,141,18296,lewis001,boddm001,,,
KCA199204180,CAL,KCA,KAN06,1992/04/18,0,day,true,welkt901,scotd901,garcr901,morrd901,STATS Inc.,,STATS Inc.,park,pitches,74,rtol,15,unknown,none,cloudy,188,20129,freys001,montj002,,,
KCA199204210,BAL,KCA,KAN06,1992/04/21,0,night,true,cobld901,merrd901,reedr901,mcclt901,STATS Inc.,,STATS Inc.,park,pitches,39,ltor,10,unknown,none,cloudy,185,15258,mesaj001,gubim001,,,
KCA199204220,BAL,KCA,KAN06,1992/04/22,0,night,true,merrd901,reedr901,mcclt901,cobld901,STATS Inc.,,STATS Inc.,park,pitches,63,rtol,8,unknown,none,cloudy,169,16131,sutcr001,appik001,,,
KCA199204230,BAL,KCA,KAN06,1992/04/23,0,night,true,reedr901,mcclt901,cobld901,merrd901,STATS Inc.,,STATS Inc.,park,pitches,64,fromlf,6,unknown,none,cloudy,176,20495,mussm001,davim001,,,
KCA199205060,MIL,KCA,KAN06,1992/05/06,0,night,true,cousd901,brinj901,coont901,reilm901,STATS Inc.,,STATS Inc.,park,pitches,63,rtol,5,unknown,none,sunny,151,17271,gubim001,navaj001,montj002,,
KCA199205070,MIL,KCA,KAN06,1992/05/07,0,night,true,brinj901,coont901,reilm901,cousd901,STATS Inc.,,STATS Inc.,park,pitches,69,rtol,10,unknown,none,sunny,180,21518,younc001,plesd001,montj002,,
KCA199205080,BOS,KCA,KAN06,1992/05/08,0,night,true,evanj901,mccol901,hendt901,meric901,STATS Inc.,,STATS Inc.,park,pitches,74,rtol,15,unknown,none,cloudy,165,22063,appik001,heskj001,montj002,,
KCA199205090,BOS,KCA,KAN06,1992/05/09,0,day,true,mccol901,hendt901,meric901,evanj901,STATS Inc.,,STATS Inc.,park,pitches,81,rtol,10,unknown,none,sunny,157,28444,clemr001,gordt001,,,
