game_id,hometeam,visteam,home_first_inning_runs,visiting_first_inning_runs
ASE193908270,ASE,ASW,1,1
ASW193908060,ASW,ASE,0,0
ATN193904190,ATN,CAG,2,0
ATN193904210,ATN,HOM,0,3
ATN193904230,ATN,NW2,0,0
ATN193904240,ATN,NW2,0,3
ATN193906140,ATN,CV9,0,0
ATN193906150,ATN,CV9,0,0
ATN193906180,ATN,MEM,0,0
BLG193905281,BLG,NY5,3,4
BLG193905282,BLG,NY5,0,0
BLG193907161,BLG,NY6,1,4
BLG193907162,BLG,NY6,0,0
BLG193907231,BLG,NW2,0,0
BLG193907232,BLG,NW2,0,1
BLG193908061,BLG,MEM,0,5
BLG193908062,BLG,MEM,9,0
BLG193908271,BLG,NY6,0,1
BLG193908272,BLG,NY6,4,0
BLG193909031,BLG,PH5,4,0
BLG193909101,BLG,NW2,0,0
BLG193909102,BLG,NW2,2,1
BLG193909171,BLG,HOM,0,2
BLG193909172,BLG,HOM,0,0
BLG193909240,BLG,HOM,0,0
BOS193904210,BOS,PHA,1,0
BOS193904220,BOS,PHA,0,0
BOS193904230,BOS,PHA,4,3
BOS193904240,BOS,WS1,1,0
BOS193904250,BOS,WS1,0,1
BOS193905160,BOS,CHA,0,0
BOS193905170,BOS,CHA,0,0
BOS193905180,BOS,CHA,0,0
BOS193905190,BOS,SLA,0,1
BOS193905200,BOS,SLA,0,2
BOS193905210,BOS,DET,0,0
BOS193905230,BOS,DET,0,1
BOS193905240,BOS,CLE,0,0
BOS193905250,BOS,CLE,0,3
BOS193905260,BOS,WS1,1,0
BOS193905271,BOS,WS1,4,0
BOS193905272,BOS,WS1,0,2
BOS193905280,BOS,WS1,0,0
BOS193905290,BOS,NYA,0,0
BOS193905301,BOS,NYA,4,0
BOS193905302,BOS,NYA,0,0
BOS193906141,BOS,DET,0,0
BOS193906142,BOS,DET,0,0
BOS193906150,BOS,DET,0,4
BOS193906160,BOS,DET,0,1
BOS193906181,BOS,CLE,0,0
BOS193906182,BOS,CLE,0,3
BOS193906200,BOS,SLA,2,0
BOS193906210,BOS,SLA,0,0
BOS193906220,BOS,SLA,2,0
BOS193906240,BOS,CHA,0,0
BOS193906290,BOS,PHA,0,0
BOS193907010,BOS,NYA,2,0
BOS193907021,BOS,NYA,0,1
BOS193907022,BOS,NYA,0,0
BOS193907251,BOS,CHA,0,0
BOS193907252,BOS,CHA,2,0
BOS193907261,BOS,CHA,0,0
BOS193907262,BOS,CHA,0,2
BOS193907270,BOS,CHA,1,3
BOS193907280,BOS,SLA,0,4
BOS193907290,BOS,SLA,0,0
BOS193907300,BOS,SLA,0,0
BOS193908010,BOS,CLE,1,1
BOS193908021,BOS,CLE,1,1
BOS193908022,BOS,CLE,0,0
BOS193908030,BOS,CLE,4,3
BOS193908050,BOS,DET,0,1
BOS193908080,BOS,PHA,0,0
BOS193908091,BOS,PHA,2,0
BOS193908092,BOS,PHA,0,0
BOS193908100,BOS,PHA,3,2
BOS193908120,BOS,WS1,0,0
BOS193908132,BOS,WS1,0,2
BOS193909020,BOS,NYA,4,1
BOS193909031,BOS,NYA,2,3
BOS193909032,BOS,NYA,1,1
BOS193909120,BOS,DET,0,0
BOS193909130,BOS,DET,0,0
BOS193909140,BOS,CLE,0,0
BOS193909150,BOS,CLE,1,1
BOS193909160,BOS,CLE,0,0
BOS193909190,BOS,SLA,0,0
BOS193909210,BOS,SLA,0,0
BOS193909220,BOS,PHA,1,0
BOS193909230,BOS,PHA,0,0
BOS193909240,BOS,PHA,3,0
BRO193904180,BRO,NY1,0,0
BRO193904200,BRO,NY1,1,0
BRO193904240,BRO,BSN,0,0
BRO193904250,BRO,BSN,0,0
BRO193904290,BRO,PHI,1,0
BRO193904300,BRO,PHI,0,0
BRO193905010,BRO,PHI,4,0
BRO193905020,BRO,PIT,0,0
BRO193905040,BRO,CHN,1,1
BRO193905050,BRO,CHN,0,0
BRO193905060,BRO,CHN,2,0
BRO193905070,BRO,SLN,0,0
BRO193905080,BRO,SLN,0,0
BRO193905090,BRO,SLN,0,6
BRO193905100,BRO,CIN,3,2
BRO193905110,BRO,CIN,2,2
BRO193905270,BRO,BSN,1,1
BRO193905280,BRO,BSN,0,1
BRO193905290,BRO,BSN,0,0
BRO193906010,BRO,CHN,0,0
BRO193906030,BRO,CHN,1,1
BRO193906041,BRO,PIT,0,0
BRO193906042,BRO,PIT,2,0
BRO193906050,BRO,PIT,1,0
BRO193906060,BRO,PIT,0,0
BRO193906070,BRO,SLN,0,2
BRO193906090,BRO,SLN,0,1
BRO193906100,BRO,CIN,2,0
BRO193906111,BRO,CIN,0,0
BRO193906112,BRO,CIN,0,0
BRO193907041,BRO,PHI,0,0
BRO193907042,BRO,PHI,1,0
BRO193907050,BRO,PHI,0,1
BRO193907070,BRO,NY1,1,0
BRO193907081,BRO,NY1,0,0
