game_id,date,hometeam,visteam,site,number,home_final,visitor_final,home_win,visitor_travel_km,is_series_opener,tz_change,sig_travel
ARI201807200,2018-07-20,ARI,COL,PHO01,0,1,0,1,1793.5804038732033,True,0,1
ARI201906190,2019-06-19,ARI,COL,PHO01,0,1,0,1,3443.6976589600267,True,0,1
ARI202009260,2020-09-26,ARI,COL,PHO01,0,0,3,0,1050.8161105458894,True,0,1
ARI202104300,2021-04-30,ARI,COL,PHO01,0,2,0,1,1050.8161105458894,True,0,1
ARI202107060,2021-07-06,ARI,COL,PHO01,0,1,0,1,2352.946733972739,True,0,1
ARI202110010,2021-10-01,ARI,COL,PHO01,0,0,3,0,3182.590153156237,True,0,1
ARI202205060,2022-05-06,ARI,COL,PHO01,0,3,0,1,3344.0706669127894,True,0,1
ARI202305300,2023-05-30,ARI,COL,PHO01,0,0,1,0,1374.3070007919648,True,0,1
ARI202309040,2023-09-04,ARI,COL,PHO01,0,0,1,0,3219.4130448980713,True,0,1
ARI201407220,2014-07-22,ARI,DET,PHO01,0,2,0,1,1686.0402789220698,True,-2,1
ARI201705090,2017-05-09,ARI,DET,PHO01,0,0,1,0,1040.304275530281,True,-2,1
ARI202206260,2022-06-26,ARI,DET,PHO01,0,0,1,0,3693.7128393970092,True,-2,1
ARI201406100,2014-06-10,ARI,HOU,PHO01,0,1,0,1,2057.513009320362,True,-1,1
ARI201510020,2015-10-02,ARI,HOU,PHO01,0,2,0,1,1793.5804038732033,True,-1,1
ARI201605300,2016-05-30,ARI,HOU,PHO01,0,1,0,1,2336.340987950822,True,-1,1
ARI201708150,2017-08-15,ARI,HOU,PHO01,0,0,1,0,2336.340987950822,True,-1,1
ARI201805050,2018-05-05,ARI,HOU,PHO01,0,1,0,1,2336.340987950822,True,-1,1
ARI202008050,2020-08-05,ARI,HOU,PHO01,0,2,0,1,1793.5804038732033,True,-1,1
ARI202204120,2022-04-12,ARI,HOU,PHO01,0,0,1,0,1040.304275530281,True,-1,1
ARI202309290,2023-09-29,ARI,HOU,PHO01,0,1,0,1,1793.5804038732033,True,-1,1
ARI201408050,2014-08-05,ARI,KCA,PHO01,0,0,1,0,2336.340987950822,True,-1,1
ARI202304240,2023-04-24,ARI,KCA,PHO01,0,1,0,1,1374.3070007919648,True,-1,1
ARI201304120,2013-04-12,ARI,LAN,PHO01,0,2,0,1,480.8589832027718,True,1,1
ARI201307080,2013-07-08,ARI,LAN,PHO01,0,1,1,0,1050.8161105458894,True,1,1
ARI201307100,2013-07-10,ARI,LAN,PHO01,0,0,2,0,0.0,True,1,1
ARI201309180,2013-09-18,ARI,LAN,PHO01,0,5,1,1,2538.7391290003966,True,1,1
ARI201404120,2014-04-12,ARI,LAN,PHO01,0,3,1,1,480.8589832027718,True,1,1
ARI201405170,2014-05-17,ARI,LAN,PHO01,0,4,0,1,3182.590153156237,True,1,1
ARI201408260,2014-08-26,ARI,LAN,PHO01,0,1,0,1,2556.676208603904,True,1,1
ARI201504100,2015-04-10,ARI,LAN,PHO01,0,1,0,1,2336.340987950822,True,1,1
ARI201504120,2015-04-12,ARI,LAN,PHO01,0,4,2,1,0.0,True,1,1
ARI201506290,2015-06-29,ARI,LAN,PHO01,0,4,0,1,2336.340987950822,True,1,1
ARI201509110,2015-09-11,ARI,LAN,PHO01,0,0,4,0,480.8589832027718,True,1,1
ARI201607150,2016-07-15,ARI,LAN,PHO01,0,0,1,0,1050.8161105458894,True,1,1
ARI201609160,2016-09-16,ARI,LAN,PHO01,0,1,0,1,3443.6976589600267,True,1,1
ARI201704210,2017-04-21,ARI,LAN,PHO01,0,9,0,1,2336.340987950822,True,1,1
ARI201708290,2017-08-29,ARI,LAN,PHO01,0,0,1,0,2937.012811582416,True,1,1
ARI201804020,2018-04-02,ARI,LAN,PHO01,0,2,1,1,942.3364167649689,True,1,1
ARI201804300,2018-04-30,ARI,LAN,PHO01,0,1,0,1,480.8589832027718,True,1,1
ARI201805020,2018-05-02,ARI,LAN,PHO01,0,1,0,1,0.0,True,1,1
ARI201809240,2018-09-24,ARI,LAN,PHO01,0,1,3,0,2043.7540516750682,True,1,1
ARI201906040,2019-06-04,ARI,LAN,PHO01,0,0,3,0,2937.012811582416,True,1,1
ARI201906240,2019-06-24,ARI,LAN,PHO01,0,4,1,1,0.0,True,1,1
ARI201908290,2019-08-29,ARI,LAN,PHO01,0,1,1,0,480.8589832027718,True,1,1
ARI202007310,2020-07-31,ARI,LAN,PHO01,0,4,0,1,1632.166881529229,True,1,1
