decade,E[Y_away],E[Y_home],alpha,home_advantage
1910,0.5039486020532279,0.5470151392574323,2.1087921513428465,0.04306653720420444
1920,0.5597845165167723,0.6446356482344068,1.9732252992276051,0.08485113171763434
1930,0.5872901792241925,0.6671435383747486,2.1517389287958295,0.07985335915055616
1940,0.5216614400649051,0.6037376451969545,2.349614202844839,0.08207620513204936
1950,0.5191919165587076,0.6122274572211241,2.2346382381756036,0.09303554066241651
1960,0.465741905370184,0.5614153160214407,2.3769811833217664,0.09567341065125665
1970,0.4771326265361271,0.5933168495737463,2.2635428529858412,0.11618422303761926
1980,0.5002524281254013,0.5882625111958717,2.109093336716015,0.08801008307047042
1990,0.5678956099305361,0.658366754330739,2.203975942448165,0.09047114440020287
2000,0.5425032508189849,0.6385467852228519,2.0956944595323805,0.09604353440386702
2010,0.4960722526703029,0.586003021321604,2.1088462024567827,0.08993076865130108
2020,0.4656946200202178,0.5741885233860213,2.26850023942799,0.10849390336580356
