visitor_is_angels,dir_label,home_win_pct
0,eastbound,0.5141215892771661
0,same_zone,0.5269214960953555
0,westbound,0.5068159688412853
1,eastbound,0.5540540540540541
1,same_zone,0.5031446540880503
1,westbound,0.5333333333333333
