home_team,fringe_side,quadrant,first_inning,n,csr,exp,ocs
ATL,bottom,Bottom-Left,0,177,0.9830508474576272,0.968793275026001,0.014257572431626175
ATL,bottom,Bottom-Left,1,19,0.9473684210526315,0.967016485884253,-0.019648064831621515
ATL,bottom,Bottom-Right,0,178,0.949438202247191,0.9599127334926957,-0.010474531245504681
ATL,bottom,Bottom-Right,1,19,0.9473684210526315,0.9593447296727755,-0.011976308620143983
ATL,bottom,OZ,0,585,0.517948717948718,0.3092080506232717,0.20874066732544627
ATL,bottom,OZ,1,81,0.49382716049382713,0.3021806842577491,0.19164647623607806
ATL,left,Bottom-Left,0,166,0.9156626506024096,0.9700393338011345,-0.05437668319872491
ATL,left,Bottom-Left,1,26,1.0,0.9656761875915845,0.03432381240841553
ATL,left,OZ,0,631,0.45800316957210774,0.31277071043071186,0.14523245914139588
ATL,left,OZ,1,76,0.3815789473684211,0.301580499990604,0.07999844737781708
ATL,left,Top-Left,0,123,0.8943089430894309,0.9646674088645253,-0.07035846577509441
ATL,left,Top-Left,1,19,0.8421052631578947,0.9609800209092683,-0.11887475775137357
ATL,right,Bottom-Right,0,161,0.84472049689441,0.9589342646869666,-0.11421376779255665
ATL,right,Bottom-Right,1,22,0.9545454545454546,0.9585204929302704,-0.003975038384815832
ATL,right,OZ,0,604,0.40397350993377484,0.30625758496749633,0.09771592496627851
ATL,right,OZ,1,90,0.4444444444444444,0.3030361075646884,0.141408336879756
ATL,right,Top-Right,0,121,0.9173553719008265,0.9686937764718935,-0.051338404571066976
ATL,right,Top-Right,1,18,0.7222222222222222,0.969306069790852,-0.24708384756862978
ATL,top,OZ,0,384,0.4322916666666667,0.3067987241835862,0.12549294248308046
ATL,top,OZ,1,51,0.3137254901960784,0.2895932374396496,0.02413225275642883
ATL,top,Top-Left,0,136,0.9264705882352942,0.964106263510558,-0.03763567527526379
ATL,top,Top-Left,1,20,0.9,0.9617248169502058,-0.06172481695020582
ATL,top,Top-Right,0,98,0.9081632653061225,0.9690539770435336,-0.06089071173741112
ATL,top,Top-Right,1,21,0.9047619047619048,0.968108585524621,-0.06334668076271621
